"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x966471789160353792",2018-02-22 00:36:45,"x2968451607","RepBonnie","Instead of thoughts and prayers, let’s #HonorWithAction and get to work right now on common sense gun safety reform. 

Let’s start with: 
- Ban Assault Rifles 
- Universal Background Checks
- Waiting Period For Purchase 
- Stoping Unregulated Ammunition    
   Sales Online","Twitter for iPhone",,,,FALSE,FALSE,89,31,"HonorWithAction",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964196914962010112",2018-02-15 17:57:13,"x2968451607","RepBonnie","I'm a praying Christian woman. I pray every day. I am also a lawmaker. I have a responsibility to improve the lives of all Americans through policy and action. I'll never stop praying, and we can pray together but @SpeakerRyan, we must ACT now before more people are killed.","Twitter Web Client",,,,FALSE,FALSE,49,16,,,,,,,,,,,,,,"x18916432","SpeakerRyan","en",,,,,,,,,,,,,
"x964180954372890624",2018-02-15 16:53:47,"x2968451607","RepBonnie","Not a single mention of guns in addressing one our nation's most deadly school shootings. What in the hell is wrong with you @realDonaldTrump? How long will you put the @NRA ahead of the lives of innocent Americans?","Twitter Web Client",,,,FALSE,FALSE,66,20,,,,,,,,,,,,,,"x25073877 21829541","realDonaldTrump NRA","en",,,,,,,,,,,,,
"x963897990615363584",2018-02-14 22:09:23,"x2968451607","RepBonnie","Republicans should pray for forgiveness, for not only their complacency and dereliction of duty, but in contrition for the men, women and children we continue to lay to rest because of senseless gun violence and the cowardly inaction from Congress.","Twitter Web Client",,,,FALSE,FALSE,449,179,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963466346666385408",2018-02-13 17:34:12,"x2968451607","RepBonnie","Trump's budget proposal is a manifestation of empty rhetoric and broken promises &amp; exemplifies this Administration's lack of understanding for the needs of the American people. Just take a look at how this budget guts the foundation of the American dream.","Twitter Web Client",,,,FALSE,FALSE,28,12,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x961321473947422720",2018-02-07 19:31:14,"x2968451607","RepBonnie","Every day 120+ #DREAMers lose their protections from deportation. Even more prepare to close their businesses, leave work and school if Congress fails to act. 

I agree with @NancyPelosi - the GOP must allow vote on a bipartisan bill to #ProtectDreamers #GoNancyGo!","Twitter for iPhone",,,,FALSE,FALSE,73,58,"DREAMers ProtectDreamers GoNancyGo",,,,,,,,,,,,,"x15764644","NancyPelosi","en",,,,,,,,,,,,,
"x958550271130587136",2018-01-31 03:59:28,"x2968451607","RepBonnie","Immigrants are the backbone of our nation and instead of getting behind comprehensive immigration reform that includes a path to citizenship for our #Dreamers, @realDonaldTrump doubled down on his isolationist, anti-immigrant ideology. #SOTU","Twitter Web Client",,,,FALSE,FALSE,44,15,"Dreamers SOTU",,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,
"x958547686227173378",2018-01-31 03:49:12,"x2968451607","RepBonnie","We were not fooled by Trump's disingenuous calls to unify the nation when he has spent his entire presidency castigating and scapegoating immigrants,  and stoking fear of violent immigrants terrorizing our communities. #SOTU","Twitter Web Client",,,,FALSE,FALSE,64,34,"SOTU",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x958544320491130882",2018-01-31 03:35:49,"x2968451607","RepBonnie","Trump spoke of his goals of unifying the nation. The first thing he should do is apologize for his racism, xenophobia, and sexism. He should apologize for insulting our allies and partners across the globe. #SOTU","Twitter Web Client",,,,FALSE,FALSE,36,15,"SOTU",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x958536903791439878",2018-01-31 03:06:21,"x2968451607","RepBonnie","If Trump wanted to seriously address the opioid epidemic, he would actually fund programs to combat it and help our struggling families. #SOTU","Twitter Web Client",,,,FALSE,FALSE,36,12,"SOTU",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
