"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x963869925281583105",2018-02-14 20:17:52,"x818713465653051392","RepDarrenSoto","Just informed of shooting in Marjory Stoneman Douglas High School in Parkland, Fla. I’m monitoring @browardsheriff for updates on this horrible situation. Hoping for the safety of everyone.","Twitter for iPhone",,,,FALSE,FALSE,20,5,,,,,,,,,,,,,,"x58488799","browardsheriff","en",,,,,,,,,,,,,
"x931214768484114435",2017-11-16 17:37:56,"x818713465653051392","RepDarrenSoto","We need a tax plan that benefits all Americans! Not a #GOPTaxScam that burdens middle class families by stripping away their health care and offering tax giveaways to the top 1 percent. Join me in the fight to defeat it! @USProgressives","Twitter Web Client",,,,FALSE,FALSE,75,43,"GOPTaxScam",,,,,,,,,,,,,"x246088673","USProgressives","en",,,,,,,,,,,,,
"x921485041548578822",2017-10-20 21:15:28,"x818713465653051392","RepDarrenSoto","Ending cost-sharing reduction payments will leave hard-working Americans w/ few protections &amp; little coverage. Shameful! #ProtectOurCare","Twitter Web Client",,,,FALSE,FALSE,9,7,"ProtectOurCare",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x920045147290832896",2017-10-16 21:53:51,"x818713465653051392","RepDarrenSoto","To close out #HispanicHeritageMonth join me in recognizing Hispanic leaders in Central Florida and their contributions to our community ...","Twitter Web Client",,,,FALSE,FALSE,21,3,"HispanicHeritageMonth",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x918503527898669057",2017-10-12 15:48:00,"x818713465653051392","RepDarrenSoto","Americans want #TaxReform that puts the middle class first, not more deficit-exploding tax cuts for billionaires. #NotOnePenny","Twitter Web Client",,,,FALSE,FALSE,63,34,"TaxReform NotOnePenny",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x916347719043645440",2017-10-06 17:01:35,"x818713465653051392","RepDarrenSoto","Our nation comes together during crises. #PuertoRico &amp; #USVI should be no different. We must stand with #OurFellowAmericans as they recover.","Twitter Web Client",,,,FALSE,FALSE,25,14,"PuertoRico USVI OurFellowAmericans",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x914625022223937536",2017-10-01 22:56:12,"x818713465653051392","RepDarrenSoto","Met w Gov @ricardorossello &amp; Sen Prez @trschatz51 about devastation, need for @fema pkg &amp; #PuertoRicoRelief @MSNBC @CNN @FoxNews #flapol","Twitter for iPhone",,,,FALSE,FALSE,15,8,"PuertoRicoRelief flapol",,,,,,,,,,,,,"x80013913 390197006 16669075 2836421 759251 1367531","ricardorossello trschatz51 fema MSNBC CNN FoxNews","en",,,,,,,,,,,,,
"x913093716344229889",2017-09-27 17:31:21,"x818713465653051392","RepDarrenSoto","The collapse of #Trumpcare is a testament to the power of American families telling their Congress to #ProtectOurCare","Twitter for iPhone",,,,FALSE,FALSE,15,3,"Trumpcare ProtectOurCare",,,,,,,,,,,,,,,"en",,,,,"https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json","Washington","Washington, DC","city","United States","US",,,"-77.119401 -76.909396 -76.909396 -77.119401 38.801826 38.801826 38.9953797 38.9953797"
"x908796743034261505",2017-09-15 20:56:42,"x818713465653051392","RepDarrenSoto","911-Immediate safety threat
311-Debris, flooding, non-emergency safety threat
211-Food/housing issues/unemployment #IrmaRecovery #Irma","Twitter for iPhone",,,,FALSE,FALSE,7,6,"IrmaRecovery Irma",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x899807442976088064",2017-08-22 01:36:26,"x818713465653051392","RepDarrenSoto","Trump's vision of endless war in Afganistan with more troops will not make America great again #sayfie #flapol @orlpolitics @HispanicCaucus","Twitter for iPhone",,,,FALSE,FALSE,19,5,"sayfie flapol",,,,,,,,,,,,,"x326777538 33530012","orlpolitics HispanicCaucus","en",,,,,,,,,,,,,
"x892871474729627652",2017-08-02 22:15:22,"x818713465653051392","RepDarrenSoto","RAISE Act goes against American values. Slashing legal #immigration would unjustly tear families apart and simply hurt the American economy.","Twitter Web Client",,,,FALSE,FALSE,102,57,"immigration",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x890256043003060224",2017-07-26 17:02:35,"x818713465653051392","RepDarrenSoto","Rather than sensationalizing division, we should focus on our troops &amp; taking care of our veterans when they return home #ProtectTransTroops","Twitter Web Client",,,,FALSE,FALSE,280,100,"ProtectTransTroops",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x887799416907866112",2017-07-19 22:20:50,"x818713465653051392","RepDarrenSoto","New #CBO score estimates that 32 MILLION Americans will be uninsured by 2026 if we repeal the ACA. Repealing will only hurt Americans!","Twitter for iPhone",,,,FALSE,FALSE,10,6,"CBO",,,,,,,,,,,,,,,"en",,,,,"https://api.twitter.com/1.1/geo/id/d6819fe60643ebc1.json","Alexandria","Alexandria, VA","city","United States","US",,,"-77.144435 -77.037304 -77.037304 -77.144435 38.789907 38.789907 38.8448531 38.8448531"
"x887770483449638914",2017-07-19 20:25:51,"x818713465653051392","RepDarrenSoto","We must #defendDACA because students shouldn't need to worry about being torn away from their families and communities. #HereToStay","Twitter Web Client",,,,FALSE,FALSE,34,15,"defendDACA HereToStay",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x885620743584833536",2017-07-13 22:03:33,"x818713465653051392","RepDarrenSoto","Our students deserve #TitleIX! The voices of sexual assault victims should not be silenced and our students should be protected.","Twitter Web Client",,,,FALSE,FALSE,11,6,"TitleIX",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x880497863528255488",2017-06-29 18:47:04,"x818713465653051392","RepDarrenSoto","An overwhelming 89% of Latinos support protecting our nat'l monuments #MonumentsForAll #LatinosForHeritage #CastillodeSanMarcos","Twitter Web Client",,,,FALSE,FALSE,32,11,"MonumentsForAll LatinosForHeritage CastillodeSanMarcos",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x880488445583478789",2017-06-29 18:09:38,"x818713465653051392","RepDarrenSoto","National monuments have been protected by 16 presidents since 1906. Protecting our natural history is NOT debatable! #MonumentsForAll","Twitter Web Client",,,,FALSE,FALSE,84,46,"MonumentsForAll",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x879817223296167936",2017-06-27 21:42:26,"x818713465653051392","RepDarrenSoto","#PTSDAwarenessDay SPOTLIGHT: This month we helped secure $3M in funding for @UCF RESTORES Clinic. Here are 3 reasons why it’s SO important:","Twitter Web Client",,,,FALSE,FALSE,22,11,"PTSDAwarenessDay",,,,,,,,,,,,,"x18999501","UCF","en",,,,,,,,,,,,,
"x877992162704723968",2017-06-22 20:50:18,"x818713465653051392","RepDarrenSoto","I've proudly co-sponsored the Voting Rights Advancement Act because your voice should not be silenced. We must speak up &amp; #RestoreTheVote!","Twitter Web Client",,,,FALSE,FALSE,40,30,"RestoreTheVote",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x876935927473614848",2017-06-19 22:53:12,"x818713465653051392","RepDarrenSoto","On #Juneteenth, we celebrate emancipation &amp; recommit to equal opportunity for all! #Sayfie #fdp #flapol @NAACP @OfficialCBC @HispanicCaucus","Twitter for iPhone",,,,FALSE,FALSE,26,12,"Juneteenth Sayfie fdp flapol",,,,,,,,,,,,,"x44988185 233783568 33530012","NAACP OfficialCBC HispanicCaucus","en",,,,,,,,,,,,,
