"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x966486545078411265",2018-02-22 01:35:23,"x239949176","RepKarenBass","Right now, someone can get kicked out of a bar because they are too young to drink and then go buy a semi-automatic assault rifle made for war. Where is the courage of lawmakers in this country? Why have we been doing more to arm people than protect them?","Twitter for iPhone",,,,FALSE,FALSE,564,178,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x966462206991917056",2018-02-21 23:58:40,"x239949176","RepKarenBass","The way to keep guns OUT of our schools is not to put guns in them. Trump’s suggestion today is absolutely unfathomable and must be stopped.","Twitter for iPhone",,,,FALSE,FALSE,330,99,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x965436041736925185",2018-02-19 04:01:03,"x239949176","RepKarenBass","To the young people of Marjory Stoneman Douglas High: I look forward to fighting alongside you. Please use my office as a resource. This battle will be won. #MarchForOurLives","Twitter for iPhone",,,,FALSE,FALSE,8334,2272,"MarchForOurLives",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964698060608720896",2018-02-17 03:08:35,"x239949176","RepKarenBass","It’s been 17 days since Trump decided to NOT sanction Russia. Since then, he’s released the #NunesMemo, stopped the release of the correcting memo, and continued to call Russia’s SUCCESSFUL operation to interfere with our elections a hoax.","Twitter for iPhone",,,,FALSE,FALSE,335,148,"NunesMemo",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963936485174075392",2018-02-15 00:42:21,"x239949176","RepKarenBass","There were more kids shot to death at a high school in #Parkland today than meaningful actions taken by Congress to stop mass shootings. 

Think and pray on that.","Twitter for iPhone",,,,FALSE,FALSE,703,288,"Parkland",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963888423017877507",2018-02-14 21:31:22,"x239949176","RepKarenBass","Soul wrenching. #Parkland is no different from LA. This could happen anywhere, in any school, to anyone’s kids. Our hearts are with Parkland, our hearts are with Las Vegas, our hearts are with Sutherland Springs, Orlando, San Bernardino &amp; Sandy Hook. When will we stop asking why?","Twitter Web Client",,,,FALSE,FALSE,183,61,"Parkland",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963600928854151169",2018-02-14 02:28:58,"x239949176","RepKarenBass","Letters &amp; calls to my offices concerned about Russian interference: 46,345
Intel officials who testified today that Russia will interfere with our 2018 elections: 6
Actions taken by the Trump administration to stop any of it: 0","Twitter for iPhone",,,,FALSE,FALSE,2375,1554,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963219421031317504",2018-02-13 01:13:00,"x239949176","RepKarenBass","Congratulations to @BCrusade for being selected by @StephenCurry30 &amp; #TeamStephen and @ASASLosAngeles for being selected by @KingJames and #TeamLebron. Truly deserving organizations that do phenomenal work for LA.","TweetDeck",,,,FALSE,FALSE,26,13,"TeamStephen TeamLebron",,,,,,,,,,,,,"x287942148 42562446 67152192 23083404","BCrusade StephenCurry30 ASASLosAngeles KingJames","en",,,,,,,,,,,,,
"x963190432829181959",2018-02-12 23:17:49,"x239949176","RepKarenBass","The #TrumpBudget proposes to pay for his corporate tax cuts by cutting funding for nursing homes and assisted living facilities in addition to abandoning millions around the world seeking relief from starvation and war. We will not abandon our elderly, nor our poor.","Twitter Web Client",,,,FALSE,FALSE,126,78,"TrumpBudget",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963153485884616704",2018-02-12 20:51:00,"x239949176","RepKarenBass","Today the @NAACP celebrates 109 years of activism on behalf of people throughout this country. Here’s to 109 more. #BlackHistoryMonth","Twitter Web Client",,,,FALSE,FALSE,91,31,"BlackHistoryMonth",,,,,,,,,,,,,"x44988185","NAACP","en",,,,,,,,,,,,,
