"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x966375230171119616",2018-02-21 18:13:03,"x2970462034","RepKathleenRice","If Congress had a shred of the courage we're seeing from #Parkland survivors &amp; students across America, we wouldn't still be debating whether there's anything we can do to prevent gun violence. You are speaking truth to power &amp; we need to keep hearing it.","Twitter Web Client",,,,FALSE,FALSE,157,48,"Parkland",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x957454078581321733",2018-01-28 03:23:35,"x2970462034","RepKathleenRice","On #InternationalHolocaustRememberanceDay, #WeRemember the six million Jewish men, woman &amp; children who were murdered and we pledge #NeverAgain.","Twitter for iPhone",,,,FALSE,FALSE,59,14,"InternationalHolocaustRememberanceDay WeRemember NeverAgain",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x953384097044488194",2018-01-16 21:50:56,"x2970462034","RepKathleenRice",".@RepPeteKing &amp; I just signed on as original cosponsors of the #USAact, bipartisan legislation to protect #Dreamers. Clock is ticking &amp; we need to get it done.","Twitter Web Client",,,,FALSE,FALSE,187,50,"USAact Dreamers",,,,,,,,,,,,,"x18277655","RepPeteKing","en",,,,,,,,,,,,,
"x943197505369632771",2017-12-19 19:13:03,"x2970462034","RepKathleenRice","On my way to vote AGAINST the #GOPTaxScam. The leaders of the ""People's House"" are about to cut taxes for corporations &amp; the rich, add trillions to the deficit &amp; make the middle class pay for it. Every American should be outraged.","Twitter Web Client",,,,FALSE,FALSE,177,45,"GOPTaxScam",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x943126829430398976",2017-12-19 14:32:13,"x2970462034","RepKathleenRice","Remember when Republicans set out to make the tax code simpler?","Twitter Web Client",,,,FALSE,FALSE,122,20,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x940683523547156486",2017-12-12 20:43:23,"x2970462034","RepKathleenRice","Wishing a #HappyHanukkah to all those celebrating in #NY04 &amp; around the world!","Twitter Web Client",,,,FALSE,FALSE,48,5,"HappyHanukkah NY04",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x940249173286375424",2017-12-11 15:57:26,"x2970462034","RepKathleenRice","Praying for those injured in the attempted attack this morning in NYC. Grateful as always for NYPD, FDNY, Port Authority Police &amp; all the men &amp; women who go to work every day ready to risk their lives to protect us.","Twitter Web Client",,,,FALSE,FALSE,74,12,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x933084221824028674",2017-11-21 21:26:29,"x2970462034","RepKathleenRice","Fully support an immediate Ethics investigation into allegations of sexual harassment against Rep. Conyers. Don't care about party politics when it comes to sexual harassment &amp; assault. Just the truth.","Twitter Web Client",,,,FALSE,FALSE,708,216,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x930814567218909184",2017-11-15 15:07:41,"x2970462034","RepKathleenRice","Headed to the House floor to speak out against the #GOPTaxScam, a deficit-exploding tax cut for the rich that will hurt middle-class families in #NY04","Twitter Web Client",,,,FALSE,FALSE,125,24,"GOPTaxScam NY04",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x930504321824903169",2017-11-14 18:34:52,"x2970462034","RepKathleenRice","#NY04 has been speaking out loud &amp; clear against #GOPTaxScam. Calls &amp; letters so far:

OPPOSE: 1,316
SUPPORT: 3","Twitter Web Client",,,,FALSE,FALSE,393,141,"NY04 GOPTaxScam",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
