"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x966749557827756033",2018-02-22 19:00:30,"x258900199","RepMaloney","AAPI women work 2 extra months to be paid what a white man is paid in a year. Unacceptable. 58% of Asian American women and 63% of Native Hawaiian and Pacific Islander women are mothers with children under the age of 19. They need #AAPIEqualPay now.","Hootsuite",,,,FALSE,FALSE,18,9,"AAPIEqualPay",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x966368257014927360",2018-02-21 17:45:21,"x258900199","RepMaloney","What will it take for @GOP to finally say #EnoughIsEnough? For years I have been fighting for #gunsafety bills - including 5 that I wrote and I'm currently working on a 6th. @SpeakerRyan needs to listen to the American people who are shouting #GunReformNow and let us vote.","Twitter Web Client",,,,FALSE,FALSE,21,11,"EnoughIsEnough gunsafety GunReformNow",,,,,,,,,,,,,"x11134252 18916432","GOP SpeakerRyan","en",,,,,,,,,,,,,
"x966135620765708288",2018-02-21 02:20:56,"x258900199","RepMaloney","What a pleasure to join so many engaged constituents at @CB1queens 
tonight. Your commitment to the community is awesome. Looking forward to continuing our work together on the critical issues facing #Queens","Twitter for iPhone",,,,FALSE,FALSE,4,4,"Queens",,,,,,,,,,,,,"x3362452864","Cb1Queens","en",,,,,,,,,,,,,
"x963885435599708160",2018-02-14 21:19:30,"x258900199","RepMaloney","Heartbroken over another school shooting. Schools must be a safe space for all students &amp; teachers, not the scenes of tragedy. Monitoring the situation. When will my @GOP colleagues finally agree #EnoughIsEnough &amp; act on #gunsafety? Thoughts &amp; prayers are meaningless w/o action.","Twitter for iPhone",,,,FALSE,FALSE,58,25,"EnoughIsEnough gunsafety",,,,,,,,,,,,,"x11134252","GOP","en",,,,,,,,,,,,,
"x963811241423712256",2018-02-14 16:24:41,"x258900199","RepMaloney","Calling all #LTrain riders! Tonight is the Westside L Train Open House! These open houses are a great opportunity to get info about the #LTrainShutdown and ask important questions about how it will impact you. 5-8 pm @ Our Lady of Guadalupe (328 W 14th St)","Twitter for iPhone",,,,FALSE,FALSE,4,5,"LTrain LTrainShutdown",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963159575787659264",2018-02-12 21:15:12,"x258900199","RepMaloney","Every day that passes is another day that #Dreamers live in agonizing limbo. @SpeakerRyan, we owe them an answer. 9 out of 10 Americans agree that their future is here, making our great nation even greater, let’s listen and make it a reality.","Hootsuite",,,,FALSE,FALSE,23,9,"Dreamers",,,,,,,,,,,,,"x18916432","SpeakerRyan","en",,,,,,,,,,,,,
"x961683158038085632",2018-02-08 19:28:26,"x258900199","RepMaloney","Calling all #LTrain riders! Tonight is the #Williamsburg L Train Open House! These open houses are a great opportunity to get info about the #LTrainShutdown and ask important questions about how it will impact you. 5pm-8pm at the Williamsburg Community Center (195 Graham Ave)","Hootsuite",,,,FALSE,FALSE,8,2,"LTrain Williamsburg LTrainShutdown",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x960685916225523713",2018-02-06 01:25:45,"x258900199","RepMaloney","Great meeting today w @GretchenCarlson about combating sexual harassment together. It took a woman of true courage to reveal Roger Ailes’s predatory behavior. I’m honored to have her support for my bills to end harassment in the workplace &amp; can’t wait to see her back on TV soon.","Twitter for iPhone",,,,FALSE,FALSE,14,5,,,,,,,,,,,,,,"x1487846678","GretchenCarlson","en",,,,,,,,,,,,,
"x959437220556963840",2018-02-02 14:43:53,"x258900199","RepMaloney","So glad to welcome the new @LGBTNetworkNY Center to my district in #LIC.  It will bring much needed support and resources to members of the LGBT community. Thanks to @DavidKilmnick, my fellow elected officials, #NYPD @QueensDABrown for making this new initiative a reality.","Hootsuite",,,,FALSE,FALSE,23,9,"LIC NYPD",,,,,,,,,,,,,"x22107873 41697163 2968192469","LGBTNetworkNY DavidKilmnick QueensDABrown","en",,,,,,,,,,,,,
"x959165761234374657",2018-02-01 20:45:12,"x258900199","RepMaloney","Love that our city hosted the #GRAMMYs this year. Seeing @OfficialStingSunday night reminded me of when we met during @AndreaBocelli's performance in @CentralParkNYC. #ThrowbackThursday","Hootsuite",,,,FALSE,FALSE,5,3,"GRAMMYs ThrowbackThursday",,,,,,,,,,,,,"x83352390 96795310","AndreaBocelli CentralParkNYC","en",,,,,,,,,,,,,
