"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x963916011018825728",2018-02-14 23:21:00,"x84119348","RepPaulTonko","My heart is broken after learning of today’s tragic school shooting in Florida. The victims, their loved ones, and all those grieving remain in my thoughts tonight.","Twitter for iPhone",,,,FALSE,FALSE,19,9,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x958746943609597952",2018-01-31 17:00:58,"x84119348","RepPaulTonko","I’m told a group of my @GOP colleagues were in a train accident this morning. It is my great hope that all involved are safe and unharmed.","Twitter for iPhone",,,,FALSE,FALSE,15,4,,,,,,,,,,,,,,"x11134252","GOP","en",,,,,,,,,,,,,
"x955649816436137984",2018-01-23 03:54:06,"x84119348","RepPaulTonko","Today marks the 45th anniversary of Roe v. Wade securing rights of every American to govern our own bodies, make our own healthcare choices &amp; plan our families &amp; futures. These choices are deeply personal. The government has no business telling anyone how to make them
#RiseUp4Roe","Twitter for iPhone",,,,FALSE,FALSE,47,15,"RiseUp4Roe",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x955542108424859649",2018-01-22 20:46:06,"x84119348","RepPaulTonko","Senate leaders have reportedly struck a short-term funding deal with promises &amp; delays on many urgent priorities. House leaders have not offered any such commitments. I have no confidence that this chamber is prepared to address our region’s most urgent priorities. I’m voting no.","Twitter for iPhone",,,,FALSE,FALSE,46,8,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x955085323930750976",2018-01-21 14:31:00,"x84119348","RepPaulTonko","Today marks 8 yrs since the Supreme Court ruled 5-4 in #CitizensUnited v. FEC to allow  unlimited spending by corporations &amp; wealthy individuals to flood our elections.It's time to overturn this wrong decision and stop wealthy special interests from corrupting our democracy!","TweetDeck",,,,FALSE,FALSE,302,159,"CitizensUnited",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x954847660745379841",2018-01-20 22:46:37,"x84119348","RepPaulTonko","Republicans spent all last year giving themselves tax breaks &amp; sabotaging the U.S. healthcare system. Now they’re playing politics with children’s health (#CHIP), threatening to deport #Dreamers who came here as kids, and still doing nothing on the #OpioidEpidemic. #TrumpShutdown","Twitter for iPhone",,,,FALSE,FALSE,78,53,"CHIP Dreamers OpioidEpidemic TrumpShutdown",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x954844470226366465",2018-01-20 22:33:56,"x84119348","RepPaulTonko","The priorities Americans want to see addressed, #pensions, #Dreamers #healthcare for kids (#CHIP), combatting the #OpioidEpidemic, etc. aren’t controversial. Why did Republicans in Congress &amp; the White House choose a #TrumpShutdown over meaningful bipartisan progress?","Twitter for iPhone",,,,FALSE,FALSE,11,8,"pensions Dreamers healthcare CHIP OpioidEpidemic TrumpShutdown",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x954804751463583745",2018-01-20 19:56:06,"x84119348","RepPaulTonko","Here’s what comes from a #TrumpShutdown:
-Threatens public health &amp; consumer safety
-Disrupts our economy &amp; job creation
-Blocks services &amp; investments critical to our families &amp; our communities
- Undermines faith in the strength &amp; resilience of our democratic republic","Twitter for iPhone",,,,FALSE,FALSE,548,208,"TrumpShutdown",,,,,,,,,,,,,,,"en",,,,,"https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json","Washington","Washington, DC","city","United States","US",,,"-77.119401 -76.909396 -76.909396 -77.119401 38.801826 38.801826 38.9953797 38.9953797"
"x954437849696305154",2018-01-19 19:38:10,"x84119348","RepPaulTonko",".@realDonaldTrump's prized achievement in year one? 

The #GOPTaxScam, a bad deal for the middle-class making it harder for women &amp; families to put food on the table, buy a home, go to college, and get health insurance. #AYearofTrump","TweetDeck",,,,FALSE,FALSE,22,10,"GOPTaxScam AYearofTrump",,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,
"x954437409353224193",2018-01-19 19:36:25,"x84119348","RepPaulTonko","In his first year, the President worked to pass #Trumpcare &amp; made other attempts to #sabotage the #ACA &amp; take away health care from Americans. After #AYearofTrump, 3.2 million fewer Americans have health insurance!","TweetDeck",,,,FALSE,FALSE,11,8,"Trumpcare sabotage ACA AYearofTrump",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
