"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x964332741394386949",2018-02-16 02:56:56,"x806906355214852096","RepRaskin","President Trump broke his silence on Wednesday and said he is ""totally opposed to domestic violence."" Now awaiting his position on gun violence.","Twitter for iPhone",,,,FALSE,FALSE,90,15,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964215216287506433",2018-02-15 19:09:56,"x806906355214852096","RepRaskin","2017 was the deadliest year for mass shootings in modern U.S. history and 2018 is on track to be worse. What the hell is GOP-controlled Congress doing to end the plague of gun violence? Can they summon the courage to defy the NRA and save our children’s lives? #GunReformNow","Twitter Web Client",,,,FALSE,FALSE,300,128,"GunReformNow",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963891720751640576",2018-02-14 21:44:29,"x806906355214852096","RepRaskin","Horrified by news of the Parkland, FL school shooting. Grateful for police, first-responders, and other public safety officials on scene. Let's monitor this and act.","Twitter for iPhone",,,,FALSE,FALSE,68,16,,,,,,,,,,,,,,,,"en",,,,,"https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json","Washington","Washington, DC","city","United States","US",,,"-77.119401 -76.909396 -76.909396 -77.119401 38.801826 38.801826 38.9953797 38.9953797"
"x958089011154780161",2018-01-29 21:26:35,"x806906355214852096","RepRaskin","9 years after passage of the Lilly Ledbetter Act, we've made progress in closing the gender #PayGap. America has a long way to go before we achieve #EqualPay but I know Maryland will be in the forefront of challenging discrimination in the workplace. We salute you, Lilly!","Twitter Web Client",,,,FALSE,FALSE,53,19,"PayGap EqualPay",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x958084830977290246",2018-01-29 21:09:58,"x806906355214852096","RepRaskin","SNAP ensures that 1 in 4 kids in America get enough to eat. It's wrong to slash this program to pay for last year's tax cut. #SNAPmatters #HandsOff","Twitter Web Client",,,,FALSE,FALSE,101,43,"SNAPmatters HandsOff",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x957258708123377672",2018-01-27 14:27:15,"x806906355214852096","RepRaskin","Today we remember the millions of victims of the Holocaust and resolve to stop the spread of racist and white supremacist ideas in our time. #HolocaustRemembrance","Twitter for iPhone",,,,FALSE,FALSE,210,75,"HolocaustRemembrance",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x956207006741942274",2018-01-24 16:48:10,"x806906355214852096","RepRaskin","Congratulations, @MomsDemand, on 5 years of pushing hard for commonsense gun safety measures in America. I march with you in the campaign to end gun violence. #5YearsOfMomsDemand","Twitter Web Client",,,,FALSE,FALSE,33,7,"5YearsOfMomsDemand",,,,,,,,,,,,,"x1017637447","MomsDemand","en",,,,,,,,,,,,,
"x955467548782407681",2018-01-22 15:49:50,"x806906355214852096","RepRaskin","Every time I'm in a Committee hearing on gun legislation, @MomsDemand members are front and center. Thank you for showing up over the last five years! #5YearsOfMomsDemand","Twitter Web Client",,,,FALSE,FALSE,687,138,"5YearsOfMomsDemand",,,,,,,,,,,,,"x1017637447","MomsDemand","en",,,,,,,,,,,,,
"x954785598639767552",2018-01-20 18:40:00,"x806906355214852096","RepRaskin","Cosponsoring @RepBrianFitz's H.R. 1536, the SHIELD Act, to ensure compensation for servicemembers and federal law enforcement personnel during #TrumpShutdown. Fighting to reopen government.","TweetDeck",,,,FALSE,FALSE,54,20,"TrumpShutdown",,,,,,,,,,,,,"x816303263586914304","RepBrianFitz","en",,,,,,,,,,,,,
"x954744532440113153",2018-01-20 15:56:49,"x806906355214852096","RepRaskin","The GOP shut-down artists have been trying to destroy our health insurance, programs for children and government programs from day one, and now they’ve gotten their way with Trump’s “good shutdown.” #TrumpShutdown","Twitter for iPhone",,,,FALSE,FALSE,120,62,"TrumpShutdown",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x954720210732355584",2018-01-20 14:20:10,"x806906355214852096","RepRaskin","The 5th GOP government shutdown in under 30 years is the first where they have controlled the House, Senate, &amp; WH. The incompetence &amp; chaos are astounding. #DoYourJob #TrumpShutdown","Twitter for iPhone",,,,FALSE,FALSE,314,128,"DoYourJob TrumpShutdown",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x952194274539573249",2018-01-13 15:03:00,"x806906355214852096","RepRaskin","Grateful for the contributions of our diverse Korean American communities across Maryland. Looking forward to another year of participating in @CAPAC.","TweetDeck",,,,FALSE,FALSE,26,7,,,,,,,,,,,,,,"x192955168","CAPAC","en",,,,,,,,,,,,,
"x950786166734934016",2018-01-09 17:47:41,"x806906355214852096","RepRaskin","In @AlexAzar’s tenure, Eli Lilly:
- Was subject of legal proceedings, investigations related to insulin pricing
- Allegedly bribed foreign officials
- Conducted illegal, criminal off-label marketing
- Spent millions lobbying against price transparency
#SayNoToAzar","Twitter Web Client",,,,FALSE,FALSE,43,34,"SayNoToAzar",,,,,,,,,,,,,"x37685331","AlexAzar","en",,,,,,,,,,,,,
"x950771589611773952",2018-01-09 16:49:46,"x806906355214852096","RepRaskin","In the ongoing friendly corporate takeover of our government, the Very Stable Genius has outdone himself with his new choice for Secretary of Health and Human Services, former Eli Lilly President Alex Azar. #SayNoToAzar","Twitter Web Client",,,,FALSE,FALSE,73,34,"SayNoToAzar",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x950721005244252163",2018-01-09 13:28:45,"x806906355214852096","RepRaskin","I’ll be joining CNN’s @NewDay shortly. Tune in!","Twitter for iPhone",,,,FALSE,FALSE,47,8,,,,,,,,,,,,,,"x1375289149","NewDay","en",,,,,,,,,,,,,
"x949074077536391169",2018-01-05 00:24:27,"x806906355214852096","RepRaskin","I’ll be joining @ErinBurnett on @OutFrontCNN to discuss POTUS, the 25th Amendment and my bill, H.R. 1987, shortly. Tune in!","Twitter for iPhone",,,,FALSE,FALSE,132,32,,,,,,,,,,,,,,"x322603418 361342191","ErinBurnett OutFrontCNN","en",,,,,,,,,,,,,
"x949022891978444800",2018-01-04 21:01:04,"x806906355214852096","RepRaskin","I’m joining @TheLeadCNN shortly to discuss President Trump and the 25th Amendment. Tune in!","Twitter for iPhone",,,,FALSE,FALSE,154,36,,,,,,,,,,,,,,"x1176994477","TheLeadCNN","en",,,,,,,,,,,,,
"x943634155950280706",2017-12-21 00:08:09,"x806906355214852096","RepRaskin","I’ll be joining @outfrontcnn shortly to talk about the latest GOP efforts to derail the Mueller investigation. Tune in!","Twitter for iPhone",,,,FALSE,FALSE,31,12,,,,,,,,,,,,,,"x361342191","OutFrontCNN","en",,,,,,,,,,,,,
"x943533996037820421",2017-12-20 17:30:09,"x806906355214852096","RepRaskin","In a few minutes, I'll be voting NO WAY on the #GOPTaxScam (again).","Twitter for iPhone",,,,FALSE,FALSE,133,25,"GOPTaxScam",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x943509271047823360",2017-12-20 15:51:54,"x806906355214852096","RepRaskin","Despite @HouseGOP claims that the #GOPTaxScam will benefit middle-class Americans, millions of middle-class families will see a tax INCREASE while 83% of the tax cuts go to the top 1%.","Twitter for iPhone",,,,FALSE,FALSE,42,19,"GOPTaxScam",,,,,,,,,,,,,"x15207668","HouseGOP","en",,,,,,,,,,,,,
"x943500863338958848",2017-12-20 15:18:29,"x806906355214852096","RepRaskin","GOP is desperate to pass #GOPTaxScam today so they can give their wealthy corporate donors a gargantuan tax cut for Xmas. I’m voting “no way” on raising taxes on 86 million middle-class families.","Twitter for iPhone",,,,FALSE,FALSE,129,26,"GOPTaxScam",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x943255373984669696",2017-12-19 23:03:00,"x806906355214852096","RepRaskin","As of TODAY, 12,766 #DACA recipients have lost their status after Trump ended the program on Sept 5th. #Dreamers can’t wait any longer &amp; every day of inaction leads to 122 more Dreamers losing status. Congress must #protectDreamers &amp; pass the #DreamActNow!","TweetDeck",,,,FALSE,FALSE,66,52,"DACA Dreamers protectDreamers DreamActNow",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x943193858497826816",2017-12-19 18:58:34,"x806906355214852096","RepRaskin","The GOP is set to vote soon on its tax fraud against tens of millions of working families. Will vote NO on this #GOPTaxScam.","Twitter for iPhone",,,,FALSE,FALSE,159,45,"GOPTaxScam",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x942491590706237441",2017-12-17 20:28:00,"x806906355214852096","RepRaskin","As of TODAY, 12,522 #DACA recipients have lost their status since Trump ended the program on Sept 5th.#Dreamers can’t wait any longer &amp; every day of inaction leads to 122 more Dreamers losing status. Congress must #protectDreamers &amp; pass the #DreamActNow!","TweetDeck",,,,FALSE,FALSE,67,48,"DACA Dreamers protectDreamers DreamActNow",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x941782417626550273",2017-12-15 21:30:00,"x806906355214852096","RepRaskin","As of TODAY, 12,278 #DACA recipients have lost their status since Trump ended the program on Sept 5th.#Dreamers can’t wait any longer &amp; every day of inaction leads to 122 more Dreamers losing status. Congress must #protectDreamers &amp; pass the #DreamActNow!","TweetDeck",,,,FALSE,FALSE,81,55,"DACA Dreamers protectDreamers DreamActNow",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x941435877913497602",2017-12-14 22:32:58,"x806906355214852096","RepRaskin","Five years ago, 20 schoolchildren &amp; 6 adults were murdered at Sandy Hook ES: Charlotte Daniel Rachel Olivia Josephine Ana Dylan Dawn Madeleine Catherine Chase Jesse James Grace Anne Emilie Jack Noah Caroline Jessica Avielle Lauren Mary Victoria Benjamin Allison.","Twitter for iPhone",,,,FALSE,FALSE,46,21,,,,,,,,,,,,,,,,"en",,,,,"https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json","Washington","Washington, DC","city","United States","US",,,"-77.119401 -76.909396 -76.909396 -77.119401 38.801826 38.801826 38.9953797 38.9953797"
"x941125594523332608",2017-12-14 02:00:01,"x806906355214852096","RepRaskin","As of TODAY, 12,034 #DACA recipients have lost their status since Trump ended the program on Sept 5th.#Dreamers can’t wait any longer &amp; every day of inaction leads to 122 more Dreamers losing status. Congress must #protectDreamers &amp; pass the #DreamActNow!","TweetDeck",,,,FALSE,FALSE,75,52,"DACA Dreamers protectDreamers DreamActNow",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x941031393391464450",2017-12-13 19:45:42,"x806906355214852096","RepRaskin","Thx to everyone who has called my offices, spoken up, &amp; spoken out to save #NetNeutrality. I'm a proud cosponsor of the #SaveTheNet bill to block the @FCC's rollback of rules that keep our internet open &amp; affordable to all.","Twitter Web Client",,,,FALSE,FALSE,329,152,"NetNeutrality SaveTheNet",,,,,,,,,,,,,"x66369206","FCC","en",,,,,,,,,,,,,
"x940992849490972672",2017-12-13 17:12:32,"x806906355214852096","RepRaskin","The process for rolling back #NetNeutrality has been a mess from the start – the whole thing should be thrown out. I cosponsored the Save Net Neutrality Act to stop the power grab by the cyber-barons.","Twitter Web Client",,,,FALSE,FALSE,230,132,"NetNeutrality",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
