"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x966322483656908800",2018-02-21 14:43:28,"x303861808","RepThompson","Attention responsible gun owners: there's a new generation of voters &amp; they are of different mind set on guns than this generation. Better get on board w/ sensible gun violence prevention legislation or new voters  will do it for you &amp; you may not like the outcome #EndGunViolence","Twitter Web Client",,,,FALSE,FALSE,111,35,"EndGunViolence",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x966092633679556608",2018-02-20 23:30:07,"x303861808","RepThompson","Good luck to Karen Chen, of Fremont, CA, and the rest of @TeamUSA as they continue to make us proud in the 2018 #WinterOlympics.","Hootsuite",,,,FALSE,FALSE,11,3,"WinterOlympics",,,,,,,,,,,,,"x21870081","TeamUSA","en",,,,,,,,,,,,,
"x964904006316421120",2018-02-17 16:46:56,"x303861808","RepThompson","Join me at Silo’s in Napa on Tuesday, February 20, for a Town Hall discussion of the Republican tax bill. Share your concerns, ask questions, and get answers about how the tax bill will affect you and our community.","Twitter for iPhone",,,,FALSE,FALSE,29,11,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963969273466105856",2018-02-15 02:52:39,"x303861808","RepThompson",". @realDonaldTrump: please get out of the pocket of the gun lobby, and help us fight gun violence.","Twitter for iPhone",,,,FALSE,FALSE,236,65,,,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,
"x963884318006349826",2018-02-14 21:15:04,"x303861808","RepThompson","My heart goes out to the students and families affected by the horrific school shooting today in Broward County, Florida.","Twitter Web Client",,,,FALSE,FALSE,31,11,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x961374080619499521",2018-02-07 23:00:16,"x303861808","RepThompson","The 2018 #WinterOlympics kick off today - I hope you’ll join me in cheering on Team USA. What sport are you most excited to watch?","Hootsuite",,,,FALSE,FALSE,2,3,"WinterOlympics",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x959169540960768001",2018-02-01 21:00:13,"x303861808","RepThompson","Today marks the first day of Black History Month. As we honor and remember those who fought for equality, liberty, and justice for all Americans, let us all recommit ourselves to the unfinished work of the Civil Rights Movement.","Hootsuite",,,,FALSE,FALSE,11,5,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x958765282369171456",2018-01-31 18:13:50,"x303861808","RepThompson","My prayers are with my Republican colleagues, their staff, and everyone affected by this morning's tragic train crash. My heartfelt thanks to the law enforcement and first responders on the scene.","Twitter Web Client",,,,FALSE,FALSE,8,1,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x958553609834201093",2018-01-31 04:12:44,"x303861808","RepThompson","Our country faces great challenges, and I will continue to work with Democrats and Republicans to address the issues important to our district and our nation","Twitter for iPhone",,,,FALSE,FALSE,10,5,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x958553564779032578",2018-01-31 04:12:33,"x303861808","RepThompson","While he outlined policy issues that we all agree need to be addressed, he was long on platitudes and short on details.  And, there were many issues he failed to talk about like gun violence prevention, passing much needed disaster relief and addressing climate change.","Twitter for iPhone",,,,FALSE,FALSE,30,7,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
