"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x963820401456504837",2018-02-14 17:01:05,"x2724095695","StaceyPlaskett","#TrumpBudget puts billionaires &amp; corporations ahead of working families. @HouseGOP: #HandsOff childcare, health care &amp; housing!","Twitter Web Client",,,,FALSE,FALSE,2,2,"TrumpBudget HandsOff",,,,,,,,,,,,,"x15207668","HouseGOP","en",,,,,,,,,,,,,
"x958746213251276806",2018-01-31 16:58:04,"x2724095695","StaceyPlaskett","My thoughts and prayers are with my colleagues, their families, and staff after the accident in Virginia.","Twitter Web Client",,,,FALSE,FALSE,3,3,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x954436137493368833",2018-01-19 19:31:22,"x2724095695","StaceyPlaskett","#CHIP funding expired over 100 days ago, putting NINE million children's health care at risk – all because @realDonaldTrump &amp; Republicans wanted to use it as a bargaining chip. #AYearofTrump","Twitter Web Client",,,,FALSE,FALSE,16,13,"CHIP AYearofTrump",,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,
"x954430511035899904",2018-01-19 19:09:00,"x2724095695","StaceyPlaskett","Reflecting on #AYearofTrump reminds me of the relentless attempts by Republicans and @POTUS to sabotage the #ACA &amp; take away health care from Americans. As a result, 3.2 million people have lost health insurance in 2017!","Twitter Web Client",,,,FALSE,FALSE,10,6,"AYearofTrump ACA",,,,,,,,,,,,,"x822215679726100480","POTUS","en",,,,,,,,,,,,,
"x954414944186978305",2018-01-19 18:07:09,"x2724095695","StaceyPlaskett","Democrats have been working hard for months to keep a #TrumpShutdown to happen. There’s still time – GOP leaders should work with us!","Twitter Web Client",,,,FALSE,FALSE,50,28,"TrumpShutdown",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x953681910403883008",2018-01-17 17:34:20,"x2724095695","StaceyPlaskett","Immigrants who come as family are workers, entrepreneurs, caregivers, teachers, and neighbors. #ValueOurFamilies #NoFamilyBan","Twitter Web Client",,,,FALSE,FALSE,8,6,"ValueOurFamilies NoFamilyBan",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x953681629939150848",2018-01-17 17:33:13,"x2724095695","StaceyPlaskett","Democrats have been working for months to keep government open &amp; we’ll keep fighting to make it a reality","Twitter Web Client",,,,FALSE,FALSE,7,6,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x951894930020020225",2018-01-12 19:13:31,"x2724095695","StaceyPlaskett","Immigrants are who make this country great. Our democratic principles are what make this country great. And fortunately for us, their resilience, and willingness to partake in the American experience are far more potent than your ignorance and bigotry.","Twitter Web Client",,,,FALSE,FALSE,5,3,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x943958823928287232",2017-12-21 21:38:16,"x2724095695","StaceyPlaskett","I would like to thank @RepRichmond and the many members of the @OfficialCBC along with @repjoecrowley and others in the New York delegation who have stood with the Virgin Islands during our disaster crisis and continue to stand with us. #VIStrong","Twitter Web Client",,,,FALSE,FALSE,24,9,"VIStrong",,,,,,,,,,,,,"x267854863 233783568 111635980","RepRichmond OfficialCBC repjoecrowley","en",,,,,,,,,,,,,
"x935913329498959873",2017-11-29 16:48:20,"x2724095695","StaceyPlaskett","Who pays for the $1.5 trillion the #GOPTaxScam adds to the deficit? Our kids and grandkids.","Twitter Web Client",,,,FALSE,FALSE,6,3,"GOPTaxScam",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
