"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x963481761291362304",2018-02-13 18:35:27,"x1055685948","USRepRickNolan","GOP tax cuts for the wealthy, along with major boosts in military spending, will put Social Security at risk as the Administration looks for money to try and plug federal deficits the White House projects will now escalate by more than $7 trillion over the next 10 years.","Twitter Web Client",,,,FALSE,FALSE,13,20,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x961310325990707200",2018-02-07 18:46:56,"x1055685948","USRepRickNolan","Instead of a #militaryparade, we should be using that money to raise military servicemembers' pay, create jobs for Veterans, and end Veteran homelessness.","Twitter Web Client",,,,FALSE,FALSE,79,23,"militaryparade",,,,,,,,,,,,,,,"en",,,,,"https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json","Washington","Washington, DC","city","United States","US",,,"-77.119401 -76.909396 -76.909396 -77.119401 38.801826 38.801826 38.9953797 38.9953797"
"x960645776333516800",2018-02-05 22:46:15,"x1055685948","USRepRickNolan","Happy 25th anniversary to the Family and Medical Leave Act - a monumental victory for workers and families across the Nation.

This law gives Americans the peace of mind that a family emergency or illness won’t cause them to lose their jobs. #FMLA25 #FMLA","Twitter Web Client",,,,FALSE,FALSE,29,17,"FMLA25 FMLA",,,,,,,,,,,,,,,"en",,,,,"https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json","Washington","Washington, DC","city","United States","US",,,"-77.119401 -76.909396 -76.909396 -77.119401 38.801826 38.801826 38.9953797 38.9953797"
"x959084792896684033",2018-02-01 15:23:28,"x1055685948","USRepRickNolan","Today is the 50th anniversary of the events leading to 1968 Memphis Sanitation Worker’s Strike – a historic day for workplace and civil rights.

In honor of that day, I’d like to tell a story. 

#IAM2018 @AFSCME #IAMCOLEANDWALKER 1/","Twitter Web Client",,,,FALSE,FALSE,22,15,"IAM2018 IAMCOLEANDWALKER",,,,,,,,,,,,,"x14240875","AFSCME","en",,,,,"https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json","Washington","Washington, DC","city","United States","US",,,"-77.119401 -76.909396 -76.909396 -77.119401 38.801826 38.801826 38.9953797 38.9953797"
"x958531432107868160",2018-01-31 02:44:36,"x1055685948","USRepRickNolan","When it comes to infrastructure, we must provide funding for #RuralBroadband! #infrastructuremeansinternet #sotu","Twitter for iPhone",,,,FALSE,FALSE,9,1,"RuralBroadband infrastructuremeansinternet sotu",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x958530992259649538",2018-01-31 02:42:51,"x1055685948","USRepRickNolan","Yes - trade deals must be fair. That’s a fact. #SOTU","Twitter for iPhone",,,,FALSE,FALSE,5,0,"SOTU",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x958529218484277249",2018-01-31 02:35:48,"x1055685948","USRepRickNolan","If the President is sincere about helping #veterans, he must work to:

-Provide better mental health care
-Create good paying civilian jobs for Veterans
-Put end to Veteran homelessness

#SOTU","Twitter for iPhone",,,,FALSE,FALSE,17,4,"veterans SOTU",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x958526581592469506",2018-01-31 02:25:20,"x1055685948","USRepRickNolan","The GOP tax bill is a “bait and switch” - it will ultimately raises taxes on 86 million middle class families. #GOPTaxScam #SOTU","Twitter for iPhone",,,,FALSE,FALSE,30,19,"GOPTaxScam SOTU",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x958366062424272896",2018-01-30 15:47:29,"x1055685948","USRepRickNolan","Constituents in #MN08 - what topics are you looking for @realDonaldTrump to talk about in tonight's State of the Union speech? #SOTU
 
Reply with your answers!","Twitter Web Client",,,,FALSE,FALSE,4,1,"MN08 SOTU",,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,"https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json","Washington","Washington, DC","city","United States","US",,,"-77.119401 -76.909396 -76.909396 -77.119401 38.801826 38.801826 38.9953797 38.9953797"
"x958115044264423429",2018-01-29 23:10:02,"x1055685948","USRepRickNolan","Minnesotans - will you be watching the State of the Union tomorrow? #SOTU","Twitter Web Client",,,,FALSE,FALSE,3,6,"SOTU",,,,,,,,,,,,,,,"en",,,,,"https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json","Washington","Washington, DC","city","United States","US",,,"-77.119401 -76.909396 -76.909396 -77.119401 38.801826 38.801826 38.9953797 38.9953797"
"x955537213596585984",2018-01-22 20:26:39,"x1055685948","USRepRickNolan","RE: #GovernmentShutdown, I urge my colleagues to support my #NoGovernmentNoPay legislation, which would block Congress from getting paid until the government is funded.

In the meantime, I will be donating my shutdown pay to Minnesota charities, as I have done before.","Twitter Web Client",,,,FALSE,FALSE,69,18,"GovernmentShutdown NoGovernmentNoPay",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x952737707180126208",2018-01-15 03:02:25,"x1055685948","USRepRickNolan","Miracle in Minneapolis!! Congrats Vikings!!! #SkolVikings #Skol","Twitter for iPhone",,,,FALSE,FALSE,72,10,"SkolVikings Skol",,,,,,,,,,,,,,,"en",,,,,"https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json","Washington","Washington, DC","city","United States","US",,,"-77.119401 -76.909396 -76.909396 -77.119401 38.801826 38.801826 38.9953797 38.9953797"
"x950844802278547457",2018-01-09 21:40:41,"x1055685948","USRepRickNolan","Thank you to the courageous men and women in uniform who work to ensure our safety and security. Your work is recognized and appreciated. #LawEnforcementAppreciationDay","Twitter Web Client",,,,FALSE,FALSE,10,3,"LawEnforcementAppreciationDay",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x943133464441835521",2017-12-19 14:58:35,"x1055685948","USRepRickNolan","The House is ~4 hours away from voting on the GOP tax bill that gives tax cuts to the ultra-rich and corporations, raises taxes on millions of middle class families, and sets the stage for cuts to Medicare, Medicaid, and Social Security.

 I will be voting “NO.""","Twitter Web Client",,,,FALSE,FALSE,241,70,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x940957648563957761",2017-12-13 14:52:40,"x1055685948","USRepRickNolan","Congratulations to Alabama and Doug Jones - a victory for America's best values and better angels! #AlabamaSenateElection","Twitter Web Client",,,,FALSE,FALSE,33,7,"AlabamaSenateElection",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x939137059939340288",2017-12-08 14:18:18,"x1055685948","USRepRickNolan","Do you have a question you’d like to ask me? It can be anything from a policy question to what I like to do on the weekends in Minnesota.  

Tweet it with the hashtag #AskRickAnything and I might answer it in my next video!","Twitter for iPhone",,,,FALSE,FALSE,6,8,"AskRickAnything",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x938891468189700098",2017-12-07 22:02:24,"x1055685948","USRepRickNolan","Spoke with Leader Pelosi personally today - she confirmed that a fix to the #PensionCrisis is a priority in the #budget negotiations with President Trump. 

@MineWorkers @Teamsters","Twitter Web Client",,,,FALSE,FALSE,22,9,"PensionCrisis budget",,,,,,,,,,,,,"x84077400 53176629","MineWorkers Teamsters","en",,,,,,,,,,,,,
