"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x966318944549154821",2018-02-21 14:29:24,"x234797704","AustinScottGA08","Deeply saddened to hear of the passing of the great man of God Billy Graham. His teachings have been a light to the world, and his legacy will be remembered as one of love, compassion, and godliness.","Twitter for iPhone",,,,FALSE,FALSE,6,9,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964138924007415809",2018-02-15 14:06:46,"x234797704","AustinScottGA08","Lifting up in prayer the students, families, teachers, and community forever changed by this senseless violence. Thankful for our first responders.","Twitter Web Client",,,,FALSE,FALSE,8,6,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x958755159697436674",2018-01-31 17:33:37,"x234797704","AustinScottGA08","We were on the train today. Fortunately, Vivien, Gabriela, and I are ok. Please pray for those who were injured in the accident.","Twitter for iPhone",,,,FALSE,FALSE,31,8,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x958545966294020097",2018-01-31 03:42:21,"x234797704","AustinScottGA08","President Trump's State of the Union signaled his commitment to our great nation to combat terrorism, support our troops, grow our economy, and create opportunities to help every American realize the American dream. #SOTU","Twitter Web Client",,,,FALSE,FALSE,22,12,"SOTU",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x958537561634418688",2018-01-31 03:08:58,"x234797704","AustinScottGA08","""As we rebuild America's strength and confidence at home, we are also restoring our strength and standing abroad."" - @POTUS #SOTU","Twitter Web Client",,,,FALSE,FALSE,7,5,"SOTU",,,,,,,,,,,,,"x822215679726100480","POTUS","en",,,,,,,,,,,,,
"x958532842232926208",2018-01-31 02:50:12,"x234797704","AustinScottGA08","""As tax cuts create new jobs, let us invest in workforce development and job training. Let us open great vocational schools so our future workers can learn a craft and realize their full potential."" - @POTUS #SOTU","Twitter Web Client",,,,FALSE,FALSE,7,2,"SOTU",,,,,,,,,,,,,"x822215679726100480","POTUS","en",,,,,,,,,,,,,
"x958531657367195649",2018-01-31 02:45:30,"x234797704","AustinScottGA08","""As we rebuild our industries, it is also time to rebuild our crumbling #infrastructure."" - @POTUS #SOTU","Twitter Web Client",,,,FALSE,FALSE,8,2,"infrastructure SOTU",,,,,,,,,,,,,"x822215679726100480","POTUS","en",,,,,,,,,,,,,
"x958527548622766080",2018-01-31 02:29:10,"x234797704","AustinScottGA08","""If you work hard, if you believe in yourself, if you believe in America, then you can dream anything, you can be anything, &amp; together, we can achieve anything."" - @POTUS #SOTU","Twitter Web Client",,,,FALSE,FALSE,23,11,"SOTU",,,,,,,,,,,,,"x822215679726100480","POTUS","en",,,,,,,,,,,,,
"x958526982689566720",2018-01-31 02:26:55,"x234797704","AustinScottGA08","""This April will be the last time you ever file under the old broken system -- and millions of Americans will have more take-home pay starting next month."" - @POTUS #SOTU #TaxReformWorks","Twitter Web Client",,,,FALSE,FALSE,6,2,"SOTU TaxReformWorks",,,,,,,,,,,,,"x822215679726100480","POTUS","en",,,,,,,,,,,,,
"x958526309470232576",2018-01-31 02:24:15,"x234797704","AustinScottGA08","""Let us begin tonight by recognizing that the state of our Union is strong because our people are strong."" - @POTUS #SOTU","Twitter Web Client",,,,FALSE,FALSE,10,5,"SOTU",,,,,,,,,,,,,"x822215679726100480","POTUS","en",,,,,,,,,,,,,
