"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x964332446916513792",2018-02-16 02:55:46,"x20015903","PeterRoskam","Congraulations to Bradie Tennell (born in Winfield, IL) and all of Team USA on winning the Bronze medal for the figure skating team event - amazing talent and extraordinary representatives of our great country! #USAUSAUSA!","Twitter Web Client",,,,FALSE,FALSE,23,6,"USAUSAUSA",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963944229033725952",2018-02-15 01:13:08,"x20015903","PeterRoskam","Heart disease is a serious illness that can happen at any age. You're in control of your health - this Valentine's Day, give all your love with a healthy heart! #getchecked #americanheartmonth #hearthealth #takecontrol","Twitter Web Client",,,,FALSE,FALSE,19,3,"getchecked americanheartmonth hearthealth takecontrol",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963906856992346113",2018-02-14 22:44:37,"x20015903","PeterRoskam","The motives behind the tragic shooting today remain a mystery, but one thing is certain–the loss of innocent life at the hands of a merciless gunman is heinous &amp; despicable. My deepest condolences &amp; heartfelt sorrow to the families of those killed &amp; injured in this atrocious act.","Twitter Web Client",,,,FALSE,FALSE,35,8,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x956597556989104128",2018-01-25 18:40:04,"x20015903","PeterRoskam","Illinois is celebrating National #SchoolChoiceWeek - encouraged to see all the events around Illinois this week and proud of our state and the many education options we have! @schoolchoicewk","Twitter Web Client",,,,FALSE,FALSE,24,11,"SchoolChoiceWeek",,,,,,,,,,,,,"x171733309","schoolchoicewk","en",,,,,,,,,,,,,
"x950832888999763969",2018-01-09 20:53:21,"x20015903","PeterRoskam","Thanks to the Tax Cuts and Jobs Act, @ComEd is seeking approval from the #ILCommerceCommission to pass along $200M in tax savings to customers in 2018. One of over 100 businesses giving back, increasing investment, giving bonuses and/or raising minimum wage because of tax reform.","Twitter Web Client",,,,FALSE,FALSE,75,35,"ILCommerceCommission",,,,,,,,,,,,,"x157467048","ComEd","en",,,,,,,,,,,,,
"x950816373856489472",2018-01-09 19:47:43,"x20015903","PeterRoskam","Join us at the 2018 #MarchForLife on 1/19/18 to spread the truth that every child deserves the same chance. Life is a bipartisan issue!  #WhyWeMarch","Twitter Web Client",,,,FALSE,FALSE,82,35,"MarchForLife WhyWeMarch",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x947145159401238528",2017-12-30 16:39:37,"x20015903","PeterRoskam","I stand with the Iranian people peacefully protesting for freedom from the tyrannical Iranian regime. The U.S must stand with those marching for a free, just, peaceful and democratic Iran.","Twitter for iPhone",,,,FALSE,FALSE,81,28,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x943237739151089665",2017-12-19 21:52:56,"x20015903","PeterRoskam","Earlier this year IL Dems pushed through a massive tax hike on middle-income families; today I voted to give IL families the tax relief they deserve. #RealTaxRelief #TaxCutsandJobsAct","Twitter for iPhone",,,,FALSE,FALSE,100,36,"RealTaxRelief TaxCutsandJobsAct",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x872092697384955904",2017-06-06 14:07:56,"x20015903","PeterRoskam","73 years ago today - 24,000 brave men stormed the beaches at Normandy. We are forever grateful for their sacrifice. #DDay2017","TweetDeck",,,,FALSE,FALSE,51,19,"DDay2017",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x867067162019721216",2017-05-23 17:18:15,"x20015903","PeterRoskam","I'll be on @BloombergTV in a few minutes to talk about #TaxReform and American jobs.","Twitter for Android",,,,FALSE,FALSE,11,2,"TaxReform",,,,,,,,,,,,,"x35002876","BloombergTV","en",,,,,,,,,,,,,
"x865228861386182657",2017-05-18 15:33:30,"x20015903","PeterRoskam","""Who loses if we dither over #taxreform? Not the wealthy - it's the folks at the lower end of the economic spectrum""","TweetDeck",,,,FALSE,FALSE,35,21,"taxreform",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x864999628755804160",2017-05-18 00:22:37,"x20015903","PeterRoskam","The appointment of a special counsel to oversee the inquiry into Russian meddling in the US presidential election is a welcome development.","TweetDeck",,,,FALSE,FALSE,49,8,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x857218458228064256",2017-04-26 13:03:01,"x20015903","PeterRoskam","I'll be on @AmericaNewsroom in a few minutes to discuss #TaxReform - tune in to @FoxNews","TweetDeck",,,,FALSE,FALSE,12,3,"TaxReform",,,,,,,,,,,,,"x312800783 1367531","AmericaNewsroom FoxNews","en",,,,,,,,,,,,,
"x857197678974971904",2017-04-26 11:40:27,"x20015903","PeterRoskam","About to join @SquawkCNBC to talk #TaxReform","TweetDeck",,,,FALSE,FALSE,5,2,"TaxReform",,,,,,,,,,,,,"x404422077","SquawkCNBC","en",,,,,,,,,,,,,
"x852516472370806784",2017-04-13 13:39:00,"x20015903","PeterRoskam","I'll be joining @AmericaNewsroom on @FoxNews in 5 mins to discuss why I believe @TheJusticeDept should re-examine the #LoisLerner case.","TweetDeck",,,,FALSE,FALSE,18,6,"LoisLerner",,,,,,,,,,,,,"x312800783 1367531 73181712","AmericaNewsroom FoxNews TheJusticeDept","en",,,,,,,,,,,,,
"x851897070965469185",2017-04-11 20:37:43,"x20015903","PeterRoskam","I'll be on @FoxNews with @TeamCavuto in a couple minutes talking about #Boeing's attempt to sell planes to #Iran.","TweetDeck",,,,FALSE,FALSE,14,13,"Boeing Iran",,,,,,,,,,,,,"x1367531 223970563","FoxNews TeamCavuto","en",,,,,,,,,,,,,
"x850429887835983873",2017-04-07 19:27:40,"x20015903","PeterRoskam","Moving forward, the Administration should work closely with Congress toward that end","TweetDeck",,,,FALSE,FALSE,8,1,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x850429833742082050",2017-04-07 19:27:27,"x20015903","PeterRoskam","We need a comprehensive strategy to end the tyrannical reign of the Assad family and free the Syrian people from the grip of Iran and Russia","TweetDeck",,,,FALSE,FALSE,28,12,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x850429749797285889",2017-04-07 19:27:07,"x20015903","PeterRoskam","Last night we saw bold &amp; decisive action against the war criminal Bashar al-Assad – but airstrikes alone will not solve the crisis in #Syria","TweetDeck",,,,FALSE,FALSE,11,4,"Syria",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x846398304753766405",2017-03-27 16:27:35,"x20015903","PeterRoskam","I’m encouraged by reports of peaceful demonstrations across #Russia against the corrupt, autocratic regime in Moscow.","TweetDeck",,,,FALSE,FALSE,27,10,"Russia",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x844272710175866882",2017-03-21 19:41:14,"x20015903","PeterRoskam","The loss of a child takes a nearly unimaginable toll on any family.","TweetDeck",,,,FALSE,FALSE,11,1,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x842711113015803904",2017-03-17 12:16:00,"x20015903","PeterRoskam","I'll be live with @BigJohnHowell in about 5 minutes. Tune your radio to @wlsam890.","TweetDeck",,,,FALSE,FALSE,2,2,,,,,,,,,,,,,,"x119145064 90934547","BigJohnHowell wlsam890","en",,,,,,,,,,,,,
"x841381101117571072",2017-03-13 20:11:01,"x20015903","PeterRoskam","I'll be on @FoxNews in a few minutes talking #healthcare and #taxreform","TweetDeck",,,,FALSE,FALSE,13,8,"healthcare taxreform",,,,,,,,,,,,,"x1367531","FoxNews","en",,,,,,,,,,,,,
