"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x965978681951662080",2018-02-20 15:57:19,"x229197216","RepDavid","Live on @Varneyco shortly. @FoxBusiness","Twitter for iPhone",,,,FALSE,FALSE,1,3,,,,,,,,,,,,,,"x281610530 56413858","Varneyco FoxBusiness","en",,,,,,,,,,,,,
"x963847737937625090",2018-02-14 18:49:42,"x229197216","RepDavid","#OTD: #Arizona became the 48th state admitted to the union. Happy 106th birthday! What a beautiful state that we live in. #ArizonaStatehoodDay","Twitter Web Client",,,,FALSE,FALSE,19,8,"OTD Arizona ArizonaStatehoodDay",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x930978914373160960",2017-11-16 02:00:44,"x229197216","RepDavid","LIVE on the House Floor to discuss tax reform @cspan","Twitter for iPhone",,,,FALSE,FALSE,13,7,,,,,,,,,,,,,,"x15675138","cspan","en",,,,,,,,,,,,,
"x930933432720478209",2017-11-15 23:00:00,"x229197216","RepDavid","Joining @FoxBusiness shortly with Charles Payne to discuss the House tax reform plan. Please tune in!","Twitter for iPhone",,,,FALSE,FALSE,7,3,,,,,,,,,,,,,,"x56413858","FoxBusiness","en",,,,,,,,,,,,,
"x929502043924025345",2017-11-12 00:12:11,"x229197216","RepDavid","Thank you for all you do. Happy Veterans Day! A simple message is but the smallest expression of our gratitude for your service.","Twitter for iPhone",,,,FALSE,FALSE,23,4,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x926209751347802119",2017-11-02 22:09:47,"x229197216","RepDavid","Live from @FoxBusiness at 6:10 pm EST / 3:10 pm AZ","Twitter for iPhone",,,,FALSE,FALSE,20,8,,,,,,,,,,,,,,"x56413858","FoxBusiness","en",,,,,,,,,,,,,
"x896737222795419648",2017-08-13 14:16:29,"x229197216","RepDavid","Hate and bigotry have no place in our society--racism is unacceptable. I'm praying for those caught in the violence. #CharlottesvilleVA","Twitter for iPhone",,,,FALSE,FALSE,22,8,"CharlottesvilleVA",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x896014351936749570",2017-08-11 14:24:03,"x229197216","RepDavid","Joining @JimSharpe and @NEWS923 on @KTAR923 in 15 minutes. Please tune in for an update on the news of the day!","Twitter for iPhone",,,,FALSE,FALSE,2,1,,,,,,,,,,,,,,"x15936205 24232047 18563796","JimSharpe NEWS923 KTAR923","en",,,,,,,,,,,,,
"x887854669531426817",2017-07-20 02:00:23,"x229197216","RepDavid","Joyce and I are praying for Senator McCain to make a strong and speedy recovery.","Twitter for iPhone",,,,FALSE,FALSE,44,4,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x887816827476299777",2017-07-19 23:30:01,"x229197216","RepDavid","Thank you @BudgetHawks for your help with some of our slides tonight!","Twitter Web Client",,,,FALSE,FALSE,5,4,,,,,,,,,,,,,,"x104615577","BudgetHawks","en",,,,,,,,,,,,,
"x887800549575413760",2017-07-19 22:25:20,"x229197216","RepDavid","Update: My @HouseFloor presentation should begin in the next 20 minutes. Please tune in to @cspan to provide an update on #CBO scores.","Twitter Web Client",,,,FALSE,FALSE,5,2,"CBO",,,,,,,,,,,,,"x7402662 15675138","HouseFloor cspan","en",,,,,,,,,,,,,
"x887680574684635136",2017-07-19 14:28:35,"x229197216","RepDavid","Aprox 8pm ET/5pm AZ, I will be on the @HouseFloor to provide an update on CBO scores. @jacob_holzman+@FloorCharts get ready for the charts!","Twitter Web Client",,,,FALSE,FALSE,6,2,,,,,,,,,,,,,,"x7402662 3506977515 1947265657","HouseFloor jacob_holzman FloorCharts","en",,,,,,,,,,,,,
"x880168074082758659",2017-06-28 20:56:36,"x229197216","RepDavid","At approx 5:15pm EST/2:15pm AZ on CSPAN, I will be on the @HouseFloor speaking about the importance of keeping America’s finances solvent.","Twitter Web Client",,,,FALSE,FALSE,6,4,,,,,,,,,,,,,,"x7402662","HouseFloor","en",,,,,,,,,,,,,
"x860132244438085632",2017-05-04 14:01:22,"x229197216","RepDavid","Scott Garrett will do great at the Ex-Im Bank!  I support his effort to make healthier &amp; more transparent capital markets!","Twitter for iPhone",,,,FALSE,FALSE,3,2,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x859878861349191684",2017-05-03 21:14:30,"x229197216","RepDavid","Live on the House Floor for the next 60 minutes to discuss healthcare, the debt ceiling, and technological innovation. Please tune in!","Twitter for iPhone",,,,FALSE,FALSE,11,3,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x839766099734446080",2017-03-09 09:13:34,"x229197216","RepDavid","Finishing up votes and heading out of committee after 18hours of markup straight #repealobamacare","Twitter for iPhone",,,,FALSE,FALSE,3,2,"repealobamacare",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x839676558256275459",2017-03-09 03:17:46,"x229197216","RepDavid","This is the second of five final votes the Committee is scheduled to take during this markup.","Twitter Web Client",,,,FALSE,FALSE,4,3,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x839676507010256897",2017-03-09 03:17:34,"x229197216","RepDavid","The W&amp;M Committee just approved the Amendment in the Nature of Substitute re: Repealing of Tanning Tax.","Twitter Web Client",,,,FALSE,FALSE,3,2,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x839655742458195969",2017-03-09 01:55:03,"x229197216","RepDavid","This is the first of five final votes the Committee is scheduled to take during this markup.","Twitter Web Client",,,,FALSE,FALSE,3,3,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x839655688381038592",2017-03-09 01:54:50,"x229197216","RepDavid","After these 9 hours the W&amp;M Committee approved the Amendment in the Nature of Substitute re: Remuneration from the Certain Insurers by 23-16","Twitter Web Client",,,,FALSE,FALSE,4,2,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x839654396392837120",2017-03-09 01:49:42,"x229197216","RepDavid","It's over 9 hours, almost 10, of Committee mark up and all 13 Democrat amendments so far have been non-germane","Twitter Web Client",,,,FALSE,FALSE,3,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x839598738360397826",2017-03-08 22:08:32,"x229197216","RepDavid","We still have not voted on the first section in our bill on remuneration as a result of Democrats’ stall tactics.","Twitter Web Client",,,,FALSE,FALSE,3,3,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x839598661910859776",2017-03-08 22:08:14,"x229197216","RepDavid","(all of the amendments offered by Democrats have been voted down as non-germane) .. cont","Twitter Web Client",,,,FALSE,FALSE,3,2,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x839598581527031808",2017-03-08 22:07:55,"x229197216","RepDavid","We started our markup at 10:30AM. It’s now after 4:30PM. Democrats have spent six hours focused on non-germane amendments ... cont","Twitter Web Client",,,,FALSE,FALSE,3,1,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x839563014760239107",2017-03-08 19:46:35,"x229197216","RepDavid","Nearly 20 million Americans affected by Obamacare mandates on Health Savings Accounts. (SOURCE: AHIP) #ACAbythenumbers","Twitter Web Client",,,,FALSE,FALSE,1,0,"ACAbythenumbers",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x839555155402100737",2017-03-08 19:15:21,"x229197216","RepDavid","More than $1 trillion in taxes raised by Obamacare. (SOURCE: CONGRESSIONAL BUDGET OFFICE) #ACAbythenumbers","Twitter Web Client",,,,FALSE,FALSE,2,1,"ACAbythenumbers",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x839533673649164288",2017-03-08 17:50:00,"x229197216","RepDavid","2 million full-time equivalent workers that will be out of the workforce as a result of ACA by 2025 (SOURCE: CBO) #ACAbythenumbers","Twitter Web Client",,,,FALSE,FALSE,1,3,"ACAbythenumbers",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x839529060745244673",2017-03-08 17:31:40,"x229197216","RepDavid","$3 billion paid by taxpayers for individual mandate penalties.
(SOURCE: INVESTOR’S BUSINESS DAILY) #ACAbythenumbers","Twitter Web Client",,,,FALSE,FALSE,1,1,"ACAbythenumbers",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
