"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x966760583600144384",2018-02-22 19:44:19,"x2953713339","RepEvanJenkins","I’m saddened to learn of the death of James Whitlock, one of West Virginia’s hardworking miners. Coal miners are truly a family, and today, that family is united in sorrow. I join all West Virginians in sending our condolences and prayers to his family, friends and fellow miners.","Twitter Web Client",,,,FALSE,FALSE,12,10,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x966317477209796608",2018-02-21 14:23:34,"x2953713339","RepEvanJenkins","Rev. Billy Graham ministered to presidents &amp; parishioners alike, encouraging millions to deepen their walk with the Lord. His compassion, humility &amp; faith inspire us all. We give thanks for his life and know that he will hear the words, “Well done, my good and faithful servant.”","Twitter Web Client",,,,FALSE,FALSE,14,6,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x958862681645174784",2018-02-01 00:40:52,"x2953713339","RepEvanJenkins","I stand by @VP @POTUS in their efforts to make WV and our country great again. Saying Sen. Manchin voted no on tax cuts for West Virginians isn’t partisan, it’s the truth. Washington only sucks when members vote against their state’s interests.","Twitter for iPhone",,,,FALSE,FALSE,46,11,,,,,,,,,,,,,,"x818910970567344128 822215679726100480","VP POTUS","en",,,,,,,,,,,,,
"x958743997178155008",2018-01-31 16:49:16,"x2953713339","RepEvanJenkins","I was not on the train headed to the GOP conference in Greenbrier County; I'm in Charleston right now. My prayers are with my colleagues and the driver of the truck hit -- praying that everyone is OK.","Twitter Web Client",,,,FALSE,FALSE,72,27,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x958530248588578817",2018-01-31 02:39:54,"x2953713339","RepEvanJenkins","""We have ended the war on American energy -- and we have ended the war on beautiful clean coal. We are now, very proudly, an exporter of energy to the world."" President Trump #SOTU @POTUS","Twitter for iPhone",,,,FALSE,FALSE,22,4,"SOTU",,,,,,,,,,,,,"x822215679726100480","POTUS","en",,,,,,,,,,,,,
"x958135860477747206",2018-01-30 00:32:45,"x2953713339","RepEvanJenkins","The brave voices of 156 athletes who testified against Larry Nassar made it clear how much the Protecting Young Victims from Sexual Abuse and Safe Sport Authorization Act is needed. I am proud to stand with these survivors and voted today to pass this important bill.","Twitter for iPhone",,,,FALSE,FALSE,15,4,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x955852066022412288",2018-01-23 17:17:46,"x2953713339","RepEvanJenkins","After reading the intelligence memo, I am very deeply concerned and troubled about how the FISA process was used. I’m calling on the House Intelligence Committee to make this memo public for Americans to read for themselves. #ReleaseTheMemo","Twitter Web Client",,,,FALSE,FALSE,41,19,"ReleaseTheMemo",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x954549684151996416",2018-01-20 03:02:34,"x2953713339","RepEvanJenkins","There are 51 Republicans in the Senate, and it takes 60 votes to keep the government open, not a simple majority. That means Senate Democrats need to get on board to prevent a shutdown. They've asked for a CHIP reauthorization and the House has sent it to them -- twice. #WV3CHIP","Twitter for iPhone",,,,FALSE,FALSE,64,44,"WV3CHIP",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x954398443119759360",2018-01-19 17:01:35,"x2953713339","RepEvanJenkins","We have 916 children in Cabell County who depend on CHIP. Cabell County includes my hometown of Huntington.  #WV3CHIP @SenSchumer #SchumerShutdown","Twitter Web Client",,,,FALSE,FALSE,6,7,"WV3CHIP SchumerShutdown",,,,,,,,,,,,,"x17494010","SenSchumer","en",,,,,,,,,,,,,
"x954392314105008128",2018-01-19 16:37:14,"x2953713339","RepEvanJenkins","Boone County has 234 children enrolled in CHIP. #WV3CHIP @SenSchumer
#SchumerShutdown","Twitter Web Client",,,,FALSE,FALSE,8,4,"WV3CHIP SchumerShutdown",,,,,,,,,,,,,"x17494010","SenSchumer","en",,,,,,,,,,,,,
"x954391244943364096",2018-01-19 16:32:59,"x2953713339","RepEvanJenkins","West Virginia has 21,391 children who depend on CHIP. Every half hour, I’m going to highlight the impact of CHIP in each county in WV-3. #WV3CHIP @SenSchumer #SchumerShutdown","Twitter Web Client",,,,FALSE,FALSE,496,210,"WV3CHIP SchumerShutdown",,,,,,,,,,,,,"x17494010","SenSchumer","en",,,,,,,,,,,,,
"x954373480853786625",2018-01-19 15:22:23,"x2953713339","RepEvanJenkins","21,391 West Virginia children depend on CHIP. That’s why I helped send the Senate a bill to reauthorize CHIP for six years – the longest renewal ever. Will Senate Democrats protect these children today? @SenSchumer #SchumerShutdown","Twitter Web Client",,,,FALSE,FALSE,39,34,"SchumerShutdown",,,,,,,,,,,,,"x17494010","SenSchumer","en",,,,,,,,,,,,,
"x948219428008792065",2018-01-02 15:48:23,"x2953713339","RepEvanJenkins","Twelve years ago today, West Virginia lost 12 brave miners at Sago. We will never forget these husbands, fathers and sons, and our prayers are with their families as we reflect on one of the most difficult days in our state’s history.","Twitter Web Client",,,,FALSE,FALSE,24,6,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x943979712916918272",2017-12-21 23:01:16,"x2953713339","RepEvanJenkins","I voted today to provide about $3 billion for CHIP, and I hope Senate Democrats will set aside partisan politics and vote to secure this critical program for West Virginia’s children.","Twitter Web Client",,,,FALSE,FALSE,11,3,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x943978974153183232",2017-12-21 22:58:20,"x2953713339","RepEvanJenkins","The House voted nearly two months ago to reauthorize CHIP, and I remain very
disappointed that Senate Democrats won’t come to the table to work out a
long-term reauthorization agreement.","Twitter Web Client",,,,FALSE,FALSE,13,2,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x942208256927326208",2017-12-17 01:42:08,"x2953713339","RepEvanJenkins","Congrats @marshallu @HerdFB @GildanNMbowl champs! @MarshalluPres #GoHerd #WeAreMarshall","Twitter for iPhone",,,,FALSE,FALSE,11,2,"GoHerd WeAreMarshall",,,,,,,,,,,,,"x18009532 1583819378 61849713 2980244049","marshallu HerdFB GildanNMbowl MarshalluPres","fr",,,,,,,,,,,,,
"x941361473925844992",2017-12-14 17:37:19,"x2953713339","RepEvanJenkins","I voted in November to pass a five-year CHIP bill, and next week I’ll vote
again to save this critical program. I thank House leadership for including the
CHIP reauthorization in the government funding bill and hope the Senate will
join us in protecting CHIP for WV’s children.","Twitter Web Client",,,,FALSE,FALSE,7,4,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x936970534516076544",2017-12-02 14:49:18,"x2953713339","RepEvanJenkins","The Senate’s vote is another step toward tax cuts, tax reform and tax simplification that will create jobs and put more money back in West Virginians’ pockets.  I thank @SenCapito for standing up for West Virginia’s middle-class families and small businesses.","Twitter Web Client",,,,FALSE,FALSE,20,7,,,,,,,,,,,,,,"x193794406","SenCapito","en",,,,,,,,,,,,,
"x936429940655960066",2017-12-01 03:01:10,"x2953713339","RepEvanJenkins","It's time for the Senate to act to keep Americans safe and pass Kate's Law, which I proudly supported earlier this year.","Twitter for iPhone",,,,FALSE,FALSE,23,5,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x936429874302062592",2017-12-01 03:00:54,"x2953713339","RepEvanJenkins","Sanctuary cities put Americans in harm's way. I'm disappointed &amp; saddened by the verdict &amp; send my condolences to Kate Steinle's family.","Twitter for iPhone",,,,FALSE,FALSE,20,5,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x935991654133182466",2017-11-29 21:59:34,"x2953713339","RepEvanJenkins","West Virginians are saddened today by the loss of one of our own, Zachary Grant Harris, in Boone Co. Coal mining is truly a brotherhood, and our thoughts and prayers go out to his family and fellow miners. We pray for peace and comfort for them during this very difficult time.","Twitter Web Client",,,,FALSE,FALSE,30,7,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x930569447244468224",2017-11-14 22:53:40,"x2953713339","RepEvanJenkins","#FY18NDAA gives our military much-needed resources, including planes, ships and vehicles, to combat and destroy ISIS and radical Islamic terrorism.","Twitter Web Client",,,,FALSE,FALSE,6,2,"FY18NDAA",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x928321513836679168",2017-11-08 18:01:10,"x2953713339","RepEvanJenkins","A public comment meeting on the future of Green Bank will be held from 5-8:30 p.m. on Nov. 30 at the Green Bank Science Center, 155 Observatory Road, Green Bank, W.Va. 24915.","Twitter Web Client",,,,FALSE,FALSE,0,4,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x927334161073037312",2017-11-06 00:37:47,"x2953713339","RepEvanJenkins","Heartbroken by the violence today in Texas. My prayers are with the victims, churchgoers and first responders. May God comfort them.","Twitter for iPhone",,,,FALSE,FALSE,21,3,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x926527928804040706",2017-11-03 19:14:06,"x2953713339","RepEvanJenkins","I voted today to help pass a five-year reauthorization of the #CHIP program. We need to reauthorize this important program quickly.","Twitter Web Client",,,,FALSE,FALSE,8,1,"CHIP",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x926142153738375168",2017-11-02 17:41:10,"x2953713339","RepEvanJenkins","Under our tax cuts plan, we’ll unleash WV's economic potential, create jobs &amp; put more money back into the pockets of hardworking WVians.","Twitter Web Client",,,,FALSE,FALSE,14,2,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x925829999592202241",2017-11-01 21:00:47,"x2953713339","RepEvanJenkins","Today, the President’s Commission on Combating Drug Addiction and the Opioid Crisis endorsed my bill, the Prescription Drug Monitoring Act.","Twitter Web Client",,,,FALSE,FALSE,19,8,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x923635780890787845",2017-10-26 19:41:45,"x2953713339","RepEvanJenkins","I am proud to work with @POTUS and his administration to advance this multifaceted strategy to combat the opioid crisis and save lives.","Twitter Web Client",,,,FALSE,FALSE,12,3,,,,,,,,,,,,,,"x822215679726100480","POTUS","en",,,,,,,,,,,,,
"x923635630319562752",2017-10-26 19:41:09,"x2953713339","RepEvanJenkins",".@POTUS has shared a powerful message today – a call to action to save lives and stop the scourge of drug addiction.","Twitter Web Client",,,,FALSE,FALSE,18,7,,,,,,,,,,,,,,"x822215679726100480","POTUS","en",,,,,,,,,,,,,
"x923204267388887045",2017-10-25 15:07:04,"x2953713339","RepEvanJenkins","I am honored to be invited by President Trump to attend his opioid announcement at the White House on Thursday.","Twitter Web Client",,,,FALSE,FALSE,35,9,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x922550066761682945",2017-10-23 19:47:30,"x2953713339","RepEvanJenkins","I’m saddened to hear of the death of Raleigh County miner James Ray Adkins today. Our hearts go out to his family and the mining community.","Twitter Web Client",,,,FALSE,FALSE,12,5,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x921745715914772480",2017-10-21 14:31:18,"x2953713339","RepEvanJenkins","I hope every sailor aboard the USNS Hershel ‘Woody’ Williams will carry on Woody’s legacy through their own service. @WoodyWilliams45","Twitter for iPhone",,,,FALSE,FALSE,5,1,,,,,,,,,,,,,,"x2471697439","WoodyWilliams45","en",,,,,,,,,,,,,
"x921084736260407301",2017-10-19 18:44:48,"x2953713339","RepEvanJenkins","Joining @RepAnnieKuster @repjimcooper @RepTimRyan to introduce bill making sure DEA is empowered to stop irresponsible opioid distributors.","Twitter Web Client",,,,FALSE,FALSE,9,7,,,,,,,,,,,,,,"x1058717720 22523087 13491312","RepAnnieKuster repjimcooper RepTimRyan","en",,,,,,,,,,,,,
"x918908849746309120",2017-10-13 18:38:36,"x2953713339","RepEvanJenkins","I agree with @POTUS that we must work with our allies to prevent a nuclear Iran and craft an agreement that holds Iran accountable.","Twitter Web Client",,,,FALSE,FALSE,12,7,,,,,,,,,,,,,,"x822215679726100480","POTUS","en",,,,,,,,,,,,,
"x917795212700848129",2017-10-10 16:53:25,"x2953713339","RepEvanJenkins","I look forward to working with the first lady and President Trump to combat the opioid crisis. @FLOTUS @POTUS @LilysPlaceWV","Twitter Web Client",,,,FALSE,FALSE,24,5,,,,,,,,,,,,,,"x818876014390603776 822215679726100480 1259766421","FLOTUS POTUS LilysPlaceWV","en",,,,,,,,,,,,,
"x917794976012128257",2017-10-10 16:52:28,"x2953713339","RepEvanJenkins","Tragically, the demand for centers like Lily’s Place is greater than ever. My CRIB Act will help more centers open and expand.","Twitter Web Client",,,,FALSE,FALSE,12,6,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x917794195263426563",2017-10-10 16:49:22,"x2953713339","RepEvanJenkins","I helped to start @LilysPlaceWV more than three years ago to provide specialized care for newborns exposed to heroin and other opioids.","Twitter Web Client",,,,FALSE,FALSE,19,8,,,,,,,,,,,,,,"x1259766421","LilysPlaceWV","en",,,,,,,,,,,,,
"x917471689369440256",2017-10-09 19:27:51,"x2953713339","RepEvanJenkins","I look forward to welcoming @FLOTUS to Huntington on Tuesday &amp; thanking her for her interest in addressing the opioid crisis. @LilysPlaceWV","Twitter Web Client",,,,FALSE,FALSE,40,14,,,,,,,,,,,,,,"x818876014390603776 1259766421","FLOTUS LilysPlaceWV","en",,,,,,,,,,,,,
"x914845935255130112",2017-10-02 13:34:02,"x2953713339","RepEvanJenkins","Heartbreaking, senseless violence in Las Vegas -- our prayers are with the victims and their families.","Twitter Web Client",,,,FALSE,FALSE,26,10,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x913505967731552256",2017-09-28 20:49:29,"x2953713339","RepEvanJenkins","I’m pleased @FLOTUS heard from @LilysPlaceWV today &amp; look forward to working with her and @POTUS to combat the opioid crisis.","Twitter Web Client",,,,FALSE,FALSE,19,4,,,,,,,,,,,,,,"x818876014390603776 1259766421 822215679726100480","FLOTUS LilysPlaceWV POTUS","en",,,,,,,,,,,,,
"x908810171987709952",2017-09-15 21:50:04,"x2953713339","RepEvanJenkins","On #POWMIARecognitionDay, we honor those who served and remember those who never came home. You are not forgotten.","Twitter for iPhone",,,,FALSE,FALSE,8,2,"POWMIARecognitionDay",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x901976263644073986",2017-08-28 01:14:33,"x2953713339","RepEvanJenkins","The images from Houston and #HurricaneHarvey are heartbreaking. Please pray for the safety of residents and the brave first responders.","Twitter for iPhone",,,,FALSE,FALSE,17,3,"HurricaneHarvey",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x896474881101058048",2017-08-12 20:54:02,"x2953713339","RepEvanJenkins","There is no room in our society for the hatred and vile bigotry on display in #Charlottesville. I wholeheartedly condemn their actions.","Twitter for iPhone",,,,FALSE,FALSE,49,19,"Charlottesville",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x893239397944090627",2017-08-03 22:37:22,"x2953713339","RepEvanJenkins","Tech. Sgt. David Board of Barboursville made the ultimate sacrifice for our nation, and we are profoundly thankful for his service.","Twitter for iPhone",,,,FALSE,FALSE,13,5,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x891383153872560132",2017-07-29 19:41:19,"x2953713339","RepEvanJenkins","On @HouseAppropsGOP, I oversee FEMA's funding, and I'm ready to work to make sure WV gets the federal assistance we need.","Twitter for iPhone",,,,FALSE,FALSE,7,1,,,,,,,,,,,,,,"x301549400","HouseAppropsGOP","en",,,,,,,,,,,,,
"x891382919264182272",2017-07-29 19:40:23,"x2953713339","RepEvanJenkins","I'm heartbroken to see WV families &amp; towns devastated by flooding &amp; storm damage. I've reached out to state officials to see how I can help.","Twitter for iPhone",,,,FALSE,FALSE,13,3,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x889939150471823360",2017-07-25 20:03:22,"x2953713339","RepEvanJenkins","For all of the Senate Democrats’ talk about wanting to work across the aisle, we just saw them refuse to even debate the healthcare bill.","Twitter for iPhone",,,,FALSE,FALSE,33,19,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x887832498121650176",2017-07-20 00:32:17,"x2953713339","RepEvanJenkins",".@SenJohnMcCain is a true American hero -- and a fighter. Please join me in praying for him and his family.","Twitter for iPhone",,,,FALSE,FALSE,34,12,,,,,,,,,,,,,,"x19394188","SenJohnMcCain","en",,,,,,,,,,,,,
"x887364778938826752",2017-07-18 17:33:44,"x2953713339","RepEvanJenkins","Through my role on @HouseAppropsGOP, I'm fighting to make sure none of your taxpayer dollars are going to fund abortions.","Twitter for iPhone",,,,FALSE,FALSE,21,6,,,,,,,,,,,,,,"x301549400","HouseAppropsGOP","en",,,,,,,,,,,,,
"x887010971671285760",2017-07-17 18:07:50,"x2953713339","RepEvanJenkins","My thoughts &amp; prayers go out to the family, friends &amp; the Concord community on the loss of Asst. Football Coach Pat Dawson. @CampusBeautiful","Twitter Web Client",,,,FALSE,FALSE,4,0,,,,,,,,,,,,,,"x81943186","CampusBeautiful","en",,,,,,,,,,,,,
"x886981205731758080",2017-07-17 16:09:33,"x2953713339","RepEvanJenkins","Thanks @repmckinley for your leadership in protecting @NETL_DOE and WV coal and natural gas research.","Twitter Web Client",,,,FALSE,FALSE,10,3,,,,,,,,,,,,,,"x240427862 40942518","RepMcKinley NETL_DOE","en",,,,,,,,,,,,,
