"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x893555089134190592",2017-08-04 19:31:49,"x1092757885","RepJBridenstine","Happy 227th Birthday to the US Coast Guard, founded in 1790 by Alexander Hamilton. #SemperParatus","TweetDeck",,,,FALSE,FALSE,48,9,"SemperParatus",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x877607422201917440",2017-06-21 19:21:29,"x1092757885","RepJBridenstine","I'm cosponsoring PCHETA for the 5M+ Americans living w/Alzheimer's. We must support those facing this disease. #ENDALZ #PCHETA","Twitter Web Client",,,,FALSE,FALSE,43,12,"ENDALZ PCHETA",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x821776372737642497",2017-01-18 17:48:49,"x1092757885","RepJBridenstine","As #EPA Admin, @AGScottPruitt will bring a rational, constitutional, and federalist perspective to environmental stewardship. #confirmpruitt","Twitter Web Client",,,,FALSE,FALSE,44,25,"EPA confirmpruitt",,,,,,,,,,,,,"x845580933206069249","AGScottPruitt","en",,,,,,,,,,,,,
"x821100964992217088",2017-01-16 21:05:00,"x1092757885","RepJBridenstine","Gene Cernan: Navy pilot. Astronaut. Engineer. Last man on the Moon and advocate of our return. A gentleman and hero. He will be missed.","Twitter for iPhone",,,,FALSE,FALSE,59,21,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x812755337438695424",2016-12-24 20:22:27,"x1092757885","RepJBridenstine","U.S. foreign aid to the U.N. member states that censured #Israel should be cut and re-appropriated for Israeli missile defense.","Twitter Web Client",,,,FALSE,FALSE,92,51,"Israel",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x786205264890384385",2016-10-12 14:01:56,"x1092757885","RepJBridenstine","Given the stakes of this election, if Paul Ryan isn't for Trump, then I'm not for Paul Ryan.","Twitter Web Client",,,,FALSE,FALSE,5293,3719,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x775865164277047297",2016-09-14 01:14:04,"x1092757885","RepJBridenstine","A GAO report found Koskinen did nothing to ensure the IRS stopped targeting Americans based on political views. He should be impeached.","TweetDeck",,,,FALSE,FALSE,81,75,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x775849808858783744",2016-09-14 00:13:03,"x1092757885","RepJBridenstine","No taxpayer would get away treating an #IRS audit in the same way IRS officials have treated the congressional investigation.","TweetDeck",,,,FALSE,FALSE,52,32,"IRS",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x775839040041955328",2016-09-13 23:30:16,"x1092757885","RepJBridenstine","IRS Commissioner Koskinen stonewalled Congress’ investigation and provided false testimony under oath. He should be impeached.","TweetDeck",,,,FALSE,FALSE,129,101,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x744905419911401472",2016-06-20 14:51:06,"x1092757885","RepJBridenstine","I'm cosponsoring the Hope for Alzheimer's Act for the 5m+ Americans living w/ Alzheimer's. We must support those facing this disease #ENDALZ","Twitter for iPhone",,,,FALSE,FALSE,55,25,"ENDALZ",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
