"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x963956415986585600",2018-02-15 02:01:33,"x815241612154417152","RepJackBergman","As a father and grandfather, the tragic news out of Florida is incomprehensible. 

Our hearts are with Marjory Stoneman Douglas High School, and all students, victims, families, and first responders in South Florida.","Twitter for iPhone",,,,FALSE,FALSE,33,3,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963491116283842571",2018-02-13 19:12:37,"x815241612154417152","RepJackBergman","The @NatResources Committee will hold a hearing on my bipartisan legislation H.R. 4429 - The Cormorant Control Act Thursday, February 15th, at 2:30 PM.","Twitter for iPhone",,,,FALSE,FALSE,10,5,,,,,,,,,,,,,,"x41445718","NatResources","en",,,,,,,,,,,,,
"x963197852561362944",2018-02-12 23:47:18,"x815241612154417152","RepJackBergman","I look forward to reviewing the Administration's budget suggestions and working with my colleagues on the Budget Committee to pass a balanced budget for 2019.","Twitter for iPhone",,,,FALSE,FALSE,8,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x958751809211953152",2018-01-31 17:20:18,"x815241612154417152","RepJackBergman","Cindy and I were not on the train this morning. 

Our thoughts are with all involved. We are thankful for the first responders who are helping those in this incident.","Twitter for iPhone",,,,FALSE,FALSE,28,10,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x958441239380221954",2018-01-30 20:46:13,"x815241612154417152","RepJackBergman","As we near tonight’s State of the Union address, I’m optimistic @realDonaldTrump will discuss the need and importance of a 21st century infrastructure plan.","Twitter for iPhone",,,,FALSE,FALSE,9,3,,,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,
"x957767122293284865",2018-01-29 00:07:31,"x815241612154417152","RepJackBergman","Heard today: My co-worker thanked my boss this weekend for the pay-raise. He informed her that her pay rate didn’t change, but her taxes were lowered thanks to the #TaxCutsandJobsAct","Twitter for iPhone",,,,FALSE,FALSE,11,2,"TaxCutsandJobsAct",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x955610837179420672",2018-01-23 01:19:12,"x815241612154417152","RepJackBergman","As I said before - there was nothing in this bill that Senate Democrats philosophically disagree with and today’s vote to fund the federal government demonstrated just that.","Twitter for iPhone",,,,FALSE,FALSE,8,1,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x955480132055130112",2018-01-22 16:39:50,"x815241612154417152","RepJackBergman","There is absolutely nothing in this short-term spending bill that democrats philosophically disagree with. 

Senate Democrats are just playing games. #SchumerShutdown","Twitter for iPhone",,,,FALSE,FALSE,13,2,"SchumerShutdown",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x955198248200867840",2018-01-21 21:59:43,"x815241612154417152","RepJackBergman","While negotiations continue as we seek a solution to the Democrats government shutdown, I will be donating all of my pay to a Veteran's organization in Michigan's First District.","Twitter for iPhone",,,,FALSE,FALSE,24,8,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x954504860321435648",2018-01-20 00:04:27,"x815241612154417152","RepJackBergman","Make no mistake - Senate Democrats are the only thing standing in the way of extending CHIP for six years and keeping the government open. 

There are no excuses. It’s time to do what’s right for the American people.","Twitter for iPhone",,,,FALSE,FALSE,10,3,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
