"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x958783777110659073",2018-01-31 19:27:20,"x19926675","RepKevinBrady","Was on GOP train but fine. Horrible accident. Proud of GOP doctors who rushed off train to give aid to those thrown from truck. We gathered and prayed in aisles of train. Please join me in praying for the victims and their families.","TweetDeck",,,,FALSE,FALSE,186,58,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x954561255641157632",2018-01-20 03:48:32,"x19926675","RepKevinBrady","Senate Dems vote to ‘shut ‘er down’ as promised. Cheer turning backs on military, children’s health care and U.S. jobs. Expect more political stunts. #Shameful #ShumerShutdown #HurtAmerica","Twitter for iPad",,,,FALSE,FALSE,2136,1334,"Shameful ShumerShutdown HurtAmerica",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x954539703344222208",2018-01-20 02:22:54,"x19926675","RepKevinBrady","Senate Dems preparing to shut down govt. Our soldiers must defend us with no pay?!! Just wrong. #ShumerShutdown","Twitter for iPhone",,,,FALSE,FALSE,147,78,"ShumerShutdown",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x954167500173869057",2018-01-19 01:43:54,"x19926675","RepKevinBrady","Our troops and the millions of children who rely on CHIP don't deserve to suffer because of partisan politics. 

I hope Senate Democrats think long and hard about the damage they will do to our country by shutting the government down.","TweetDeck",,,,FALSE,FALSE,89,34,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x948344641782501376",2018-01-03 00:05:56,"x19926675","RepKevinBrady","Orrin Hatch is a shining example of what it means to be a public servant. He has been instrumental in crafting major laws that shape American life today. It's been a great honor working with him. Thank you and God Bless, @senorrinhatch.","TweetDeck",,,,FALSE,FALSE,157,21,,,,,,,,,,,,,,"x262756641","senorrinhatch","en",,,,,,,,,,,,,
"x943106366121660416",2017-12-19 13:10:54,"x19926675","RepKevinBrady","Today's the day we fundamentally reshape America’s tax code into one that is simple, fair, and focused on helping the American people – not Washington special interests. Let's get it done.","TweetDeck",,,,FALSE,FALSE,395,106,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x936972561740681216",2017-12-02 14:57:21,"x19926675","RepKevinBrady","For the first time in 31 years the House &amp; Senate have each passed legislation that will deliver real tax relief to families &amp; job creators &amp; revitalize our nation’s economy. I applaud @SenateMajLdr McConnell, Chairman @OrrinHatch, and @SenateGOP for completing this crucial step","Twitter for iPhone",,,,FALSE,FALSE,126,34,,,,,,,,,,,,,,"x1249982359 18170310 14344823","SenateMajLdr OrrinHatch SenateGOP","en",,,,,,,,,,,,,
"x931655691088965632",2017-11-17 22:50:00,"x19926675","RepKevinBrady","HAPPENING SOON: Tune in to @Fox26Houston at 5:00 PM CT to hear how the #TaxCutsandJobsAct is a home run for growth in Texas. I'll be on with @JohnDonnFOX26.","TweetDeck",,,,FALSE,FALSE,14,5,"TaxCutsandJobsAct",,,,,,,,,,,,,"x17094323 575422517","Fox26Houston JohnDonnFOX26","en",,,,,,,,,,,,,
"x931135278613499904",2017-11-16 12:22:04,"x19926675","RepKevinBrady","HAPPENING SOON: at 7:30 AM i'll be on with @MariaBartiromo discussing today's vote on the Tax Cuts and Jobs Act.","TweetDeck",,,,FALSE,FALSE,100,17,,,,,,,,,,,,,,"x208155240","MariaBartiromo","en",,,,,,,,,,,,,
"x928758876824064000",2017-11-09 22:59:06,"x19926675","RepKevinBrady","HAPPENING SOON: At 6 PM ET I'll be on @FoxNews @SpecialReport with @BretBaier to talk about the historic #taxreform legislation we just passed ➡️ Tax Cuts and Jobs Act.","TweetDeck",,,,FALSE,FALSE,28,8,"taxreform",,,,,,,,,,,,,"x1367531 122207745 18646108","FoxNews SpecialReport BretBaier","en",,,,,,,,,,,,,
