"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x966788573637771265",2018-02-22 21:35:32,"x224294785","RepMarthaRoby","I was glad to play even a small role in the efforts to land the coveted F-35 mission, but truly all credit is due the men &amp; women of the 187th for  demonstrating such professionalism &amp; a unique ability to carry out this mission. As I said earlier: Congratulations! It's yours.","Twitter Web Client",,,,FALSE,FALSE,15,5,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x966722216476934149",2018-02-22 17:11:51,"x224294785","RepMarthaRoby","I'd like to extend a sincere ""thank you"" to every person &amp; organization that participated in our conversation, w/ special thanks to Wiregrass Hope Group for hosting us. We are all united in the fight for life at every stage, &amp; I'll continue to advocate for the defenseless unborn.","Twitter Web Client",,,,FALSE,FALSE,10,3,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x966358454398083072",2018-02-21 17:06:24,"x224294785","RepMarthaRoby","I was glad to hear firsthand some of the successes and challenges these organizations are facing in their important work. Many thanks to everyone who participated, and a special “thank you” to First Choice Women's Medical Center for hosting!","Twitter for iPhone",,,,FALSE,FALSE,7,3,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x966050669315743745",2018-02-20 20:43:22,"x224294785","RepMarthaRoby","Many thanks to PCA President Ron Mitchell and several others for kindly hosting us! I am excited about all the great things happening at your school. @4PCAPanthers","Twitter for iPhone",,,,FALSE,FALSE,10,3,,,,,,,,,,,,,,"x2422607569","4PCAPanthers","en",,,,,,,,,,,,,
"x964203812104753152",2018-02-15 18:24:37,"x224294785","RepMarthaRoby","I am very pleased to work with the Trump Administration in these efforts to combat both of these atrocious problems, and I appreciate being invited to the White House to be part of this historic moment.","Twitter Web Client",,,,FALSE,FALSE,9,5,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964203720421531649",2018-02-15 18:24:15,"x224294785","RepMarthaRoby","When I was asked to serve on @HouseJudiciary last year, I accepted the position gladly because I am eager to make a difference in the fight against the horrors of human trafficking &amp; crimes against young victims.","Twitter Web Client",,,,FALSE,FALSE,19,4,,,,,,,,,,,,,,"x1131917492","HouseJudiciary","en",,,,,,,,,,,,,
"x959532135320293381",2018-02-02 21:01:02,"x224294785","RepMarthaRoby","While I do not serve on the House Intelligence Committee &amp; didn't have a vote to release the memo, I respect the process that was followed in accordance with House &amp; Committee rules. I will continue to monitor the Committee’s investigative work on this issue.","Twitter Web Client",,,,FALSE,FALSE,22,3,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x959468054924152833",2018-02-02 16:46:25,"x224294785","RepMarthaRoby","This morning we wrapped up our annual conference retreat. I'm always  appreciative of this opportunity for both chambers of Congress to get together to talk about ways we can continue to deliver on our promises to the American people.","Twitter Web Client",,,,FALSE,FALSE,6,5,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x959165325207048194",2018-02-01 20:43:28,"x224294785","RepMarthaRoby","I've cosponsored H.R.1928, the Families of Fallen Servicemembers First Act, to immediately provide families the one-time death benefit - even if our government is shut down. The families of fallen heroes should never be denied the funds they need because of a government shutdown.","Twitter Web Client",,,,FALSE,FALSE,21,11,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x959165065793556483",2018-02-01 20:42:26,"x224294785","RepMarthaRoby","During the 2013 government shutdown, the families of more than a dozen U.S. servicemembers who were killed in action were initially denied military death benefits. During the recent #SchumerShutdown, several more families were impacted in the same way. This should never happen.","Twitter Web Client",,,,FALSE,FALSE,19,14,"SchumerShutdown",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x958726333697331203",2018-01-31 15:39:04,"x224294785","RepMarthaRoby","Last night in his first #SOTU address, President Trump reflected on the economic success Americans have already experienced as a result of historic tax reform and laid out his vision for our country’s future.","Twitter Web Client",,,,FALSE,FALSE,16,5,"SOTU",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x956219109594853376",2018-01-24 17:36:16,"x224294785","RepMarthaRoby","I'm looking forward to debating this issue with my colleagues, and my priority is to reach a solution that is in the best interest of those who live and work in AL-02.","Twitter Web Client",,,,FALSE,FALSE,6,2,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x955910965710778369",2018-01-23 21:11:48,"x224294785","RepMarthaRoby","Congrats to Prattville High School students Cameron Pierce, Kevin To, Derrel McCurty, &amp; Christian Sanders who won the @CongressionalAC in AL-02 w/ their app called ""Wizard Clicker."" STEM ed is so important to developing future workforce leaders. Proud of these students' efforts!","Twitter Web Client",,,,FALSE,FALSE,9,7,,,,,,,,,,,,,,"x1225814342","CongressionalAC","en",,,,,,,,,,,,,
