"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x954157618204946432",2018-01-19 01:04:38,"x2696643955","RepMoolenaar","The House has passed a bill extending CHIP for 6 yrs. The extension is the longest extension in the history of CHIP and means more than 100,000 MI kids will have health insurance. The legislation keeps govt open, funds natl security, and pays our troops. Dems should support it.","Twitter Web Client",,,,FALSE,FALSE,17,5,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x925017432565207040",2017-10-30 15:11:56,"x2696643955","RepMoolenaar","This new report from Treasury does that. It ends overregulation &amp; judges companies by the potential risks of their behavior and activities.","Twitter Web Client",,,,FALSE,FALSE,1,1,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x887479604105150464",2017-07-19 01:10:00,"x2696643955","RepMoolenaar","Breaking tonight: I just voted for legislation fully funding the GLRI for next year and it passed the @HouseAppropsGOP. Good news for MI!","Twitter Web Client",,,,FALSE,FALSE,23,3,,,,,,,,,,,,,,"x301549400","HouseAppropsGOP","en",,,,,,,,,,,,,
"x885215084519317511",2017-07-12 19:11:37,"x2696643955","RepMoolenaar","The legislation we passed today includes good news for @michiganstateu's important #FRIB project, which will bring 1,000+ jobs to mid MI.","Twitter Web Client",,,,FALSE,FALSE,3,1,"FRIB",,,,,,,,,,,,,"x41346792","michiganstateu","en",,,,,,,,,,,,,
"x874982591144833025",2017-06-14 13:31:20,"x2696643955","RepMoolenaar","This morning, Rep. Moolenaar attended baseball practice. He was uninjured in the shooting. Please keep those injured in your prayers.","Twitter Web Client",,,,FALSE,FALSE,42,24,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x768124568871534593",2016-08-23 16:35:42,"x2696643955","RepMoolenaar","I am having a listening session on Thursday in Cadillac.

10:30-11:30 AM
Suite 301 
201 North Mitchell Street 
Cadillac, MI 49601","Twitter Web Client",,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x745687881864347648",2016-06-22 18:40:19,"x2696643955","RepMoolenaar","This morning, the President signed into law the first overhaul of the Toxic Substances Control Act in 40 years. #TSCA","Twitter Web Client",,,,FALSE,FALSE,2,1,"TSCA",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x709759159022034946",2016-03-15 15:12:24,"x2696643955","RepMoolenaar","As always, I am thankful for the 15,000 farmers in my district and their contributions to our local communities. #agday2016","Twitter Web Client",,,,FALSE,FALSE,7,3,"agday2016",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x693170734928101376",2016-01-29 20:35:56,"x2696643955","RepMoolenaar","Happy Birthday @SpeakerRyan!","Twitter Web Client",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,"x18916432","SpeakerRyan","en",,,,,,,,,,,,,
"x674636403494543360",2015-12-09 17:07:07,"x2696643955","RepMoolenaar","This #education bill repeals federal mandates and returns power to parents and teachers to do what is best for student success.","Twitter Web Client",,,,FALSE,FALSE,0,0,"education",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
