"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x963878811476680711",2018-02-14 20:53:11,"x854715071116849157","RepRonEstes","My family and I are praying for everyone at Marjory Stoneman Douglas High School in Florida.","Twitter Web Client",,,,FALSE,FALSE,6,5,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x958803191126257672",2018-01-31 20:44:29,"x854715071116849157","RepRonEstes","Congratulations to @DrJeffColyer on becoming the 47th Governor of Kansas. I’m looking forward to working with him for the good of all Kansans.","TweetDeck",,,,FALSE,FALSE,18,5,,,,,,,,,,,,,,"x4309422388","DrJeffColyer","en",,,,,,,,,,,,,
"x958746144347127808",2018-01-31 16:57:48,"x854715071116849157","RepRonEstes","I am on the Amtrak train in WV that was involved in an accident, Susan and I are OK — praying for those injured.","Twitter Web Client",,,,FALSE,FALSE,152,67,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x954364767426220033",2018-01-19 14:47:46,"x854715071116849157","RepRonEstes","If Democrats really wanted a deal on immigration, why did they walk away from the table with the President? 

This stunt could kick 9 million children off of their health insurance and hurt our troops. This is unacceptable. #SchumerShutdown","TweetDeck",,,,FALSE,FALSE,14,6,"SchumerShutdown",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x943922080466300928",2017-12-21 19:12:15,"x854715071116849157","RepRonEstes","The Department of Homeland Security has suspended plans for chemical testing at Chilocco Indian School in northern Oklahoma. The safety of south central Kansans has been my priority during this process, and I commend DHS for listening to our concerns.","Twitter Web Client",,,,FALSE,FALSE,11,12,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x920762657287876609",2017-10-18 21:24:59,"x854715071116849157","RepRonEstes","Kansans have lost a true champion of life with the passing of David Gittrich. Susan and I will miss David greatly. @kansansforlife","Twitter Web Client",,,,FALSE,FALSE,4,3,,,,,,,,,,,,,,"x17494094","kansansforlife","en",,,,,,,,,,,,,
"x914825792693133312",2017-10-02 12:14:00,"x854715071116849157","RepRonEstes","I'm deeply saddened by the events last night in #LasVegas. My family and I are praying for all those affected.","Twitter for iPhone",,,,FALSE,FALSE,8,7,"LasVegas",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x902297126247559168",2017-08-28 22:29:33,"x854715071116849157","RepRonEstes","Praying for all those caught in the path of Hurricane Harvey. I'm thankful for the heroism of our first responders and the many volunteers.","Twitter for iPhone",,,,FALSE,FALSE,10,3,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x874971561345912832",2017-06-14 12:47:31,"x854715071116849157","RepRonEstes","Please keep Rep. @SteveScalise, his staff, and law enforcement officers who were involved in your thoughts and prayers.","Twitter for iPhone",,,,FALSE,FALSE,57,26,,,,,,,,,,,,,,"x1209417007","SteveScalise","en",,,,,,,,,,,,,
"x864587194597617664",2017-05-16 21:03:45,"x854715071116849157","RepRonEstes","Looking forward to joining @LouDobbs tonight at 6:40 PM Central / 7:40 PM Eastern on the FOX Business Network. Hope you'll tune in!","Twitter Web Client",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,"x26487169","LouDobbs","en",,,,,,,,,,,,,
"x855532739944173569",2017-04-21 21:24:34,"x854715071116849157","RepRonEstes","Looking forward to getting to work for #KS04.  Follow for updates!","Twitter Web Client",,,,FALSE,FALSE,17,5,"KS04",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
