"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x964629905353986048",2018-02-16 22:37:46,"x828977216595849216","RepRutherfordFL","I am deeply saddened by the FBI’s failure to act on the intelligence relating to the tragedy in Parkland. I trust that Director Wray will correct agency protocols and take appropriate disciplinary actions. Congress will conduct the oversight needed to enhance public safety.","Twitter for iPhone",,,,FALSE,FALSE,27,8,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963881014769672193",2018-02-14 21:01:56,"x828977216595849216","RepRutherfordFL","Keeping the students and their families at Marjory Stoneman Douglas High School in my thoughts and prayers as we await more information about the situation unfolding in Parkland.","Twitter Web Client",,,,FALSE,FALSE,63,33,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x961068839386734592",2018-02-07 02:47:21,"x828977216595849216","RepRutherfordFL","Tonight I voted to keep the government open, fund Community Health Centers, and increase resources for our military.  My colleagues in the Senate have yet another opportunity to support our men and women in uniform by passing this bill to continue funding the government.","Twitter for iPhone",,,,FALSE,FALSE,33,5,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x958537262429503489",2018-01-31 03:07:46,"x828977216595849216","RepRutherfordFL","I look forward to working with @POTUS on rebuilding our military. We must support those in uniform who protect us. Today the House passed a bill funding our military, and I hope soon the Senate will follow suit so our military has the ability to plan long term again.","Twitter Web Client",,,,FALSE,FALSE,66,22,,,,,,,,,,,,,,"x822215679726100480","POTUS","en",,,,,,,,,,,,,
"x958535116296544256",2018-01-31 02:59:15,"x828977216595849216","RepRutherfordFL","We must secure our border and make sure we are properly equipping those who protect it. Border security must be a priority in any immigration plan. We must make sure that all ports of entry, both land and sea, are secure to ensure those who want to do us harm do not get in. #SOTU","Twitter Web Client",,,,FALSE,FALSE,19,4,"SOTU",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x958526120483282944",2018-01-31 02:23:30,"x828977216595849216","RepRutherfordFL","The Tax Cuts and Jobs Act gives Americans real tax relief.  Companies are investing in workers and workers are investing in the economy, making it easier for everyone to get ahead. #SOTU","Twitter Web Client",,,,FALSE,FALSE,18,6,"SOTU",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x944244080892088320",2017-12-22 16:31:46,"x828977216595849216","RepRutherfordFL","Signed &amp; delivered. @POTUS just signed the Tax Cuts &amp; Jobs Act into law, providing a simplified tax code that lower taxes for Northeast Florida families and will create more jobs for Americans. Historic day!","Twitter for iPhone",,,,FALSE,FALSE,29,8,,,,,,,,,,,,,,"x822215679726100480","POTUS","en",,,,,,,,,,,,,
"x941074087581044738",2017-12-13 22:35:21,"x828977216595849216","RepRutherfordFL","Happy birthday @USNationalGuard! Although we celebrate the NG’s founding in MA in 1636, FL had the Florida Militia that dates back to 1565. This means Florida was home to the 1st NG! No matter the founding year, they are “Always Ready, Always There!” &amp; we are thankful. @FLGuard","Twitter Web Client",,,,FALSE,FALSE,14,3,,,,,,,,,,,,,,"x31310158 23427951","USNationalGuard FLGuard","en",,,,,,,,,,,,,
"x940679891804139520",2017-12-12 20:28:57,"x828977216595849216","RepRutherfordFL","Proud to honor a great NE Floridian, Rutledge Pearson by co-sponsoring a bill w/ @RepAlLawsonJr, that renames the Kings Rd office after him. He was a great leader in the fight for civil rights &amp; a role model for students. Glad to see this bill unanimously pass the House.","Twitter Web Client",,,,FALSE,FALSE,9,6,,,,,,,,,,,,,,"x818472418620608512","RepAlLawsonJr","en",,,,,,,,,,,,,
"x939631671493713922",2017-12-09 23:03:42,"x828977216595849216","RepRutherfordFL","Proud of the @BartramTrail Bears and their hard work during the state championship. Great game!","Twitter for iPhone",,,,FALSE,FALSE,14,5,,,,,,,,,,,,,,"x2814022704","BartramTrail","en",,,,,,,,,,,,,
"x939589445686263810",2017-12-09 20:15:55,"x828977216595849216","RepRutherfordFL","Go Navy! Beat Army!","Twitter for iPhone",,,,FALSE,FALSE,17,5,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x937881186151682050",2017-12-05 03:07:54,"x828977216595849216","RepRutherfordFL","Tonight the House voted to go to conference with the Senate to discuss our differences on the Tax Cuts and Jobs Act. We’re one step closer to tax relief for Northeast Florida families.","Twitter for iPhone",,,,FALSE,FALSE,24,4,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x936852391340621824",2017-12-02 06:59:50,"x828977216595849216","RepRutherfordFL","I am encouraged that the Senate passed the much-needed tax relief bill. I look forward to negotiating with them to ensure tax reform focuses on middle-class families and spurs the creation of good jobs and economic growth.","Twitter for iPhone",,,,FALSE,FALSE,28,6,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x934135283804540928",2017-11-24 19:03:01,"x828977216595849216","RepRutherfordFL","Prayers for the missing sailors who were involved in the US Navy plane crash in the Philippine Sea. Our hearts are with their families.","Twitter for iPhone",,,,FALSE,FALSE,16,7,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x927358899191209990",2017-11-06 02:16:05,"x828977216595849216","RepRutherfordFL","I would also like to commend the brave citizen that assisted in resolving the attack &amp; those who helped at the scene.","Twitter for iPhone",,,,FALSE,FALSE,15,6,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x927333890661994499",2017-11-06 00:36:43,"x828977216595849216","RepRutherfordFL","Devastated by the attack in Texas today. Our prayers are w/ the victims and families. Thank you to the first responders who acted quickly.","Twitter for iPhone",,,,FALSE,FALSE,14,4,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x926216759425863680",2017-11-02 22:37:38,"x828977216595849216","RepRutherfordFL","The @USDA announced Beaches Emergency Assistance received funds to bring farm to table foods to low-income communities in NE FL. Congrats!","Twitter Web Client",,,,FALSE,FALSE,8,1,,,,,,,,,,,,,,"x61853389","USDA","en",,,,,,,,,,,,,
"x925485296866725889",2017-10-31 22:11:04,"x828977216595849216","RepRutherfordFL","Our prayers are with the victims &amp; families of this act of terror in New York City. Thank you to all the first responders.","Twitter for iPhone",,,,FALSE,FALSE,12,5,,,,,,,,,,,,,,,,"en",,,,,"https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json","Washington","Washington, DC","city","United States","US",,,"-77.119401 -76.909396 -76.909396 -77.119401 38.801826 38.801826 38.9953797 38.9953797"
"x923628310764146688",2017-10-26 19:12:04,"x828977216595849216","RepRutherfordFL","Thank you @POTUS for your commitment to fighting the opioid crisis. We must ensure vulnerable Americans have support to overcome addiction.","Twitter Web Client",,,,FALSE,FALSE,20,8,,,,,,,,,,,,,,"x822215679726100480","POTUS","en",,,,,,,,,,,,,
