"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x966339854043934725",2018-02-21 15:52:29,"x190328374","RepTomGraves","Billy Graham inspired hope, gave comfort in moments of tragedy &amp; was an example to us all. He truly made the world a better place.","Twitter Web Client",,,,FALSE,FALSE,20,8,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x958778675322859520",2018-01-31 19:07:04,"x190328374","RepTomGraves","Took alternative transportation to WV. Praying for all those involved in the accident.","Twitter Web Client",,,,FALSE,FALSE,7,6,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x958072182726414338",2018-01-29 20:19:43,"x190328374","RepTomGraves","Wishing Chairman @USRepRodney all the best in the next phase of his life","Twitter Web Client",,,,FALSE,FALSE,2,3,,,,,,,,,,,,,,"x1382011333","USRepRodney","en",,,,,,,,,,,,,
"x958072107753238532",2018-01-29 20:19:25,"x190328374","RepTomGraves","I'm especially grateful for @USRepRodney support &amp; leadership last year in passing all 12 annual approps bills before the end of the fiscal year for the first time in nearly a decade. Look forward to repeating that effort this year!","Twitter Web Client",,,,FALSE,FALSE,4,3,,,,,,,,,,,,,,"x1382011333","USRepRodney","en",,,,,,,,,,,,,
"x958071531606769669",2018-01-29 20:17:07,"x190328374","RepTomGraves","Chairman @USRepRodney served his constituents honorably in the House for 2+ decades. Throughout my time serving with him, I always appreciated his honesty, inclusiveness &amp; good sense of humor","Twitter Web Client",,,,FALSE,FALSE,3,3,,,,,,,,,,,,,,"x1382011333","USRepRodney","en",,,,,,,,,,,,,
"x955580320111366144",2018-01-22 23:17:56,"x190328374","RepTomGraves","I hope we can move past this weekend’s drama &amp; focus on issues that matter. But if Dems decide to use shutdown tactics again, I urge the Senate to modernize procedures so govt funding bills can pass with a simple majority. Dem abuse of the filibuster is failing the American ppl","Twitter Web Client",,,,FALSE,FALSE,18,11,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x955579517619318784",2018-01-22 23:14:45,"x190328374","RepTomGraves","The #SchumerShutdown was a reckless ploy by Democrats to score political points against @POTUS &amp; Republicans in Congress. Their sole accomplishment was creating uncertainty for the troops, sick children &amp; all Americans. This shutdown didn’t need to happen.","Twitter Web Client",,,,FALSE,FALSE,9,6,"SchumerShutdown",,,,,,,,,,,,,"x822215679726100480","POTUS","en",,,,,,,,,,,,,
"x954910963454574592",2018-01-21 02:58:09,"x190328374","RepTomGraves","Time for Senate to use nuclear option on govt funding bills. Dem abuse of 60 vote threshold is failing troops, sick children &amp; all Americans. 
#schumershudown","Twitter for iPhone",,,,FALSE,FALSE,403,241,"schumershudown",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x954790984583442433",2018-01-20 19:01:24,"x190328374","RepTomGraves","94% of Republicans in Congress voted to keep govt open. 95% of Democrats in Congress voted to shut it down. Let's be clear on this. #SchumerShutdown","Twitter Web Client",,,,FALSE,FALSE,1556,981,"SchumerShutdown",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x954769028471578627",2018-01-20 17:34:09,"x190328374","RepTomGraves","3/3 The bottom line: few people understand why Democrats want to disrupt life for Americans, put national security at risk &amp; put sick children at risk over illegal immigration. There’s no pressing deadline &amp; no reason for them to abandon talks. #SchumerShutdown","Twitter Web Client",,,,FALSE,FALSE,22,24,"SchumerShutdown",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x954768761923522560",2018-01-20 17:33:06,"x190328374","RepTomGraves","2/ Democrats are holding the entire govt hostage for a completely unrelated issue that doesn't have an immediate deadline – DACA. There have been high-level negotiations over illegal immigration &amp; border security for months. There’s just not an agreement yet. #SchumerShutdown","Twitter Web Client",,,,FALSE,FALSE,13,13,"SchumerShutdown",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x954768504389062656",2018-01-20 17:32:04,"x190328374","RepTomGraves","1/ I supported the short-term govt funding bill that passed the House Thursday, which delays harmful #Obamacare taxes &amp; extends children’s health insurance for 6 yrs. The House did its job. #SchumerShutdown","Twitter Web Client",,,,FALSE,FALSE,325,105,"Obamacare SchumerShutdown",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x953760778984808451",2018-01-17 22:47:44,"x190328374","RepTomGraves","#CyberDiplomacyAct is an important step forward for U.S. cyber policy. 

Look forward to making more progress on cyber issues this yr, including the bill @RepSinema &amp; I introduced to give Americans more tools to protect themselves online #ACDC","Twitter Web Client",,,,FALSE,FALSE,4,5,"CyberDiplomacyAct ACDC",,,,,,,,,,,,,"x1080844782","RepSinema","en",,,,,,,,,,,,,
"x948017678601551872",2018-01-02 02:26:42,"x190328374","RepTomGraves","Incredible @FootballUGA! Georgia strong. See ya in ATL. #GoDawgs #RoseBowlUGA","Twitter for iPhone",,,,FALSE,FALSE,26,4,"GoDawgs RoseBowlUGA",,,,,,,,,,,,,"x321586997","FootballUGA","en",,,,,,,,,,,,,
"x947948260177694722",2018-01-01 21:50:51,"x190328374","RepTomGraves","It’s time @FootballUGA! #GoDawgs #RoseBowlUGA #RoseBowl","Twitter for iPhone",,,,FALSE,FALSE,8,3,"GoDawgs RoseBowlUGA RoseBowl",,,,,,,,,,,,,"x321586997","FootballUGA","en",,,,,,,,,,,,,
"x943513942177079296",2017-12-20 16:10:28,"x190328374","RepTomGraves","Proud to support #HR3312, which establishes a process for banking regulators to review institutions under a risk-based &amp; individually tailored structure - not solely based on size. This will help banks provide loans &amp; other financial services to American consumers &amp; businesses.","Twitter Web Client",,,,FALSE,FALSE,3,1,"HR3312",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x943208925553479680",2017-12-19 19:58:26,"x190328374","RepTomGraves","#TaxCutsandJobsAct is a #Christmas present for every American family &amp; business. Beginning on on January 1, 2018, the new tax code will take effect, meaning Americans will start taking home more of their hard-earned money as soon as February.","Twitter Web Client",,,,FALSE,FALSE,9,6,"TaxCutsandJobsAct Christmas",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x943208271191707648",2017-12-19 19:55:50,"x190328374","RepTomGraves","#TaxCutsandJobsAct creates a simpler, flatter &amp; fairer tax code. It puts more money in the pockets of hard-working Georgia families &amp; spurs economic growth and private-sector job creation.","Twitter Web Client",,,,FALSE,FALSE,8,5,"TaxCutsandJobsAct",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x943207938092617728",2017-12-19 19:54:31,"x190328374","RepTomGraves","This is a historic moment for our country. When @POTUS signs the #TaxCutsandJobsAct into law later this week, it will mark the first time the tax code was reformed in more than three decades.","Twitter Web Client",,,,FALSE,FALSE,9,4,"TaxCutsandJobsAct",,,,,,,,,,,,,"x822215679726100480","POTUS","en",,,,,,,,,,,,,
"x942787953021149185",2017-12-18 16:05:38,"x190328374","RepTomGraves","TOMORROW the House will vote on @POTUS tax cuts &amp; jobs plan. Here are some highlights for your family:
✔️Cuts tax rates for every bracket 
✔️Nearly doubles the standard deduction for individuals and married couples
✔️Increases the Child Tax Credit from $1,000 to $2,000","Twitter Web Client",,,,FALSE,FALSE,11,3,,,,,,,,,,,,,,"x822215679726100480","POTUS","en",,,,,,,,,,,,,
"x941378114478858241",2017-12-14 18:43:27,"x190328374","RepTomGraves","I commend @AjitPaiFCC &amp; @FCC for approving a plan to restore internet freedom. It’s the result of an open and transparent process that provided all relevant documents and information to the public ahead of the vote. The plan will repeal Obama-era #NetNeutrality regulations.","Twitter Web Client",,,,FALSE,FALSE,17,12,"NetNeutrality",,,,,,,,,,,,,"x575658149 66369206","AjitPaiFCC FCC","en",,,,,,,,,,,,,
"x941377913647173632",2017-12-14 18:42:39,"x190328374","RepTomGraves","#NetNeutrality regulations stifled innovation and competition on the internet and did nothing to protect consumers. Returning to a free and open internet will ensure the online marketplace continues to flourish while increasing broadband access for rural and low-income Americans.","Twitter Web Client",,,,FALSE,FALSE,14,11,"NetNeutrality",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x940689310822666241",2017-12-12 21:06:23,"x190328374","RepTomGraves","House responsibly funded @realDonaldTrump priorities: the wall, troop pay raise, strong defense &amp; takes care of veterans. Time for Senate to pass or amend.","Twitter Web Client",,,,FALSE,FALSE,9,1,,,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,
"x940688903144726528",2017-12-12 21:04:46,"x190328374","RepTomGraves","So what's a CR? A ""Continuing Resolution"" or the continuance of Obama-era policies = postponement of @realDonaldTrump priorities.","Twitter Web Client",,,,FALSE,FALSE,2,2,,,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,
"x940673125209071617",2017-12-12 20:02:04,"x190328374","RepTomGraves","#NDAA increases funding for national defense by $88.4 billion &amp; authorizes 20k more servicemembers. Importantly, it also provides a 2.4% pay raise for the troops - the largest in 8 years. Our men &amp; women in uniform deserve nothing less for the sacrifices they make to protect us.","Twitter Web Client",,,,FALSE,FALSE,22,16,"NDAA",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x940672299308634114",2017-12-12 19:58:47,"x190328374","RepTomGraves","Today @potus signed #NDAA into law, which sends a powerful bipartisan message to our servicemembers that national defense is a national priority again. The bill greenlights the president's plan to rebuild the military.","Twitter Web Client",,,,FALSE,FALSE,17,15,"NDAA",,,,,,,,,,,,,"x822215679726100480","POTUS","en",,,,,,,,,,,,,
"x940616681357004801",2017-12-12 16:17:47,"x190328374","RepTomGraves",".@realDonaldTrump @VP lots of talk of sending Senate another CR. No need. House passed Make America Secure Approps Act in July &amp; Make America Secure and Prosperous Approps Act in Sept. Senate should take one up, amend &amp; pass. @SenateMajLdr House floor time is valuable too","Twitter Web Client",,,,FALSE,FALSE,13,7,,,,,,,,,,,,,,"x25073877 818910970567344128 1249982359","realDonaldTrump VP SenateMajLdr","en",,,,,,,,,,,,,
"x938529658672467968",2017-12-06 22:04:42,"x190328374","RepTomGraves","With concealed carry reciprocity, those who legally hold a concealed carry permit in one state can carry in another state without fear of accidentally breaking its laws. #HR38","Twitter Web Client",,,,FALSE,FALSE,13,9,"HR38",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x936609698106806277",2017-12-01 14:55:28,"x190328374","RepTomGraves","#NetNeutrality regulations stifle innovation &amp; competition on the internet, while doing nothing to protect consumers. They’re regulations in search of a problem. Thanks @FCC​ @AjitPaiFCC for your efforts to restore internet freedom.","Twitter Web Client",,,,FALSE,FALSE,11,5,"NetNeutrality",,,,,,,,,,,,,"x66369206 575658149","FCC AjitPaiFCC","en",,,,,,,,,,,,,
"x935893844159320064",2017-11-29 15:30:55,"x190328374","RepTomGraves",".@realDonaldTrump @RepMarkMeadows, a CR is a tool for the minority party &amp; they want to use it to stop the president’s agenda. The House did its job, the Senate needs to do theirs. They can tackle more than one task at a time.","Twitter Web Client",,,,FALSE,FALSE,7,5,,,,,,,,,,,,,,"x25073877 963480595","realDonaldTrump RepMarkMeadows","en",,,,,,,,,,,,,
"x931234135120719874",2017-11-16 18:54:53,"x190328374","RepTomGraves","Additionally, the bill promotes economic growth and private-sector job creation by slashing the corporate tax rate – currently the highest in the developed world – and cutting tax rates for small business income to the lowest levels since World War II. 3/","Twitter Web Client",,,,FALSE,FALSE,7,3,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x931233997702815745",2017-11-16 18:54:21,"x190328374","RepTomGraves","It will put more money in the pockets of hard-working #Georgia families and make the annual tax filing process a lot easier. In fact, the House Ways and Means Committee predicts the typical family could file their #taxes on a form the size of a postcard. 2/","Twitter Web Client",,,,FALSE,FALSE,4,2,"Georgia taxes",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x931233863464050688",2017-11-16 18:53:49,"x190328374","RepTomGraves","One reason the American people elected @POTUS and a Republican Congress is to cut taxes and help businesses create more American jobs. Our bill throws out the old system and creates a simpler, flatter and fairer #TaxCode. 1/","Twitter Web Client",,,,FALSE,FALSE,10,4,"TaxCode",,,,,,,,,,,,,"x822215679726100480","POTUS","en",,,,,,,,,,,,,
"x930882684947238912",2017-11-15 19:38:21,"x190328374","RepTomGraves","Under the right leadership and with real changes, the @CFPB can play an important role in protecting American consumers and ensuring free market competition. 5/5","Twitter Web Client",,,,FALSE,FALSE,0,1,,,,,,,,,,,,,,"x234826866","CFPB","en",,,,,,,,,,,,,
"x930882621973893120",2017-11-15 19:38:06,"x190328374","RepTomGraves","The change in leadership is also an opportunity to enact significant reforms, such as restoring Congress’s constitutional role in oversight by bringing the @CFPB under the regular government funding process, a reform I included in my Financial Services Appropriations bill. 4/","Twitter Web Client",,,,FALSE,FALSE,0,1,,,,,,,,,,,,,,"x234826866","CFPB","en",,,,,,,,,,,,,
"x930882499819065347",2017-11-15 19:37:37,"x190328374","RepTomGraves","For far too long, middle-class families and community financial institutions suffered at the hands of a @CFPB director who put politics above consumer needs, particularly their access to credit.  3/","Twitter Web Client",,,,FALSE,FALSE,0,2,,,,,,,,,,,,,,"x234826866","CFPB","en",,,,,,,,,,,,,
"x930882388749627393",2017-11-15 19:37:11,"x190328374","RepTomGraves","The acting director appointed by President Trump must create a culture of accountability, insist on transparency and end @CFPB’s harmful attempts at vigilante justice. 2/","Twitter Web Client",,,,FALSE,FALSE,3,3,,,,,,,,,,,,,,"x234826866","CFPB","en",,,,,,,,,,,,,
"x930882254796189696",2017-11-15 19:36:39,"x190328374","RepTomGraves","It’s time to turn the page at the rogue, unaccountable @CFPB, which spends hundreds of millions of taxpayer dollars every year without congressional approval. 1/","Twitter Web Client",,,,FALSE,FALSE,1,3,,,,,,,,,,,,,,"x234826866","CFPB","en",,,,,,,,,,,,,
"x930530207336976388",2017-11-14 20:17:44,"x190328374","RepTomGraves","I included similar provisions to the Senate financial reg reform package in my FSGG bill. While the Senate framework isn’t as robust as reforms in my bill, it’s a good starting point. I hope we can build on our common ground &amp; move these important reforms across the finish line.","Twitter Web Client",,,,FALSE,FALSE,1,2,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x930529641286262784",2017-11-14 20:15:29,"x190328374","RepTomGraves","Pleased to see Senate making progress on a financial reg reform package. It includes proposals that'll spur economic growth &amp; create jobs. I share their goals of protecting consumer access to credit &amp; modifying regs for banks &amp; credit unions to better reflect their business model","Twitter Web Client",,,,FALSE,FALSE,3,2,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x926515087590019072",2017-11-03 18:23:05,"x190328374","RepTomGraves","Thanks @RepBuddyCarter @RepCuellar @TGowdySC @RepWalterJones @RepLoudermilk @RepStephMurphy @AustinScottGA08 for co-sponsoring #ACDC.","Twitter Web Client",,,,FALSE,FALSE,3,3,"ACDC",,,,,,,,,,,,,"x2973870195 210926192 237348797 26778110 2914163523 796183515998068736 234797704","RepBuddyCarter RepCuellar TGowdySC RepWalterJones RepLoudermilk RepStephMurphy AustinScottGA08","en",,,,,,,,,,,,,
"x926510275783725058",2017-11-03 18:03:58,"x190328374","RepTomGraves","2/2 CRs also slow cancer research @NIH, restrict @USDOT road&amp; infrastructure projects &amp;much more. House passed funding. Senate must act ASAP","Twitter Web Client",,,,FALSE,FALSE,7,5,,,,,,,,,,,,,,"x15134240 393562221","NIH USDOT","en",,,,,,,,,,,,,
"x926510215415070721",2017-11-03 18:03:43,"x190328374","RepTomGraves","Reminder: Govt funding expires Dec 8. As @DeptofDefense Sec Mattis warns, CRs negatively impact readiness of forces &amp; equipment. 1/2","Twitter Web Client",,,,FALSE,FALSE,5,5,,,,,,,,,,,,,,"x66369181","DeptofDefense","en",,,,,,,,,,,,,
