"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x965243022815514624",2018-02-18 15:14:04,"x1058345042","RepTomRice","I'll be on Carolina This Week with @TreyPaulTV today at 11 am. Tune In!","Twitter Web Client",,,,FALSE,FALSE,6,4,,,,,,,,,,,,,,"x24215860","TreyPaulTV","en",,,,,,,,,,,,,
"x964229980740833281",2018-02-15 20:08:36,"x1058345042","RepTomRice","About to go live on @FoxBusiness! Tune in!","Twitter for iPhone",,,,FALSE,FALSE,1,3,,,,,,,,,,,,,,"x56413858","FoxBusiness","en",,,,,,,,,,,,,
"x963957017906905089",2018-02-15 02:03:57,"x1058345042","RepTomRice","Praying for students and their families in Parkland, Florida. Our hearts are with you during this time.","Twitter for iPhone",,,,FALSE,FALSE,5,3,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x961028888225775618",2018-02-07 00:08:36,"x1058345042","RepTomRice","The House just voted to fully fund our military and keep our government open. I hope the Senate does the same.","Twitter for iPhone",,,,FALSE,FALSE,20,1,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x960293549857271808",2018-02-04 23:26:38,"x1058345042","RepTomRice","A Patriot and an Eagle.. the #SuperBowl can’t get more American than that! Who are you rooting for?","Twitter for iPhone",,,,FALSE,FALSE,10,3,"SuperBowl",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x958534473599143938",2018-01-31 02:56:41,"x1058345042","RepTomRice",".@POTUS “As tax cuts create new jobs, let’s  invest in workforce development and let’s invest in job training, which we need so badly.” #SOTU","Twitter for iPhone",,,,FALSE,FALSE,13,4,"SOTU",,,,,,,,,,,,,"x822215679726100480","POTUS","en",,,,,,,,,,,,,
"x958528201378160642",2018-01-31 02:31:46,"x1058345042","RepTomRice","“We all share the same great American flag” #SOTU  🇺🇸🇺🇸","Twitter for iPhone",,,,FALSE,FALSE,15,2,"SOTU",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x958513061337419776",2018-01-31 01:31:36,"x1058345042","RepTomRice","I'm excited to hear President Trump talk about a year of major accomplishments at #SOTU. Tune in!","Twitter Web Client",,,,FALSE,FALSE,12,3,"SOTU",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x954440104571035651",2018-01-19 19:47:08,"x1058345042","RepTomRice","The House passed a spending bill that keeps spending at current levels, funds CHIP, and delays a few harmful Obamacare taxes. Now, Senate Democrats are holding CHIP, our government, and military hostage unless we cave to their demands for amnesty. #SchumerShutdown","Twitter Web Client",,,,FALSE,FALSE,9,10,"SchumerShutdown",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x952558545786015744",2018-01-14 15:10:29,"x1058345042","RepTomRice","TUNE IN: Joining @TreyPaulTV on Carolina this Week today at 11 am!","Twitter for iPhone",,,,FALSE,FALSE,4,4,,,,,,,,,,,,,,"x24215860","TreyPaulTV","en",,,,,,,,,,,,,
"x943212425100365824",2017-12-19 20:12:20,"x1058345042","RepTomRice","The House just passed HR-1! 
This legislation WILL:
-Bring American jobs back to America
-Grow our middle class
-Give our middle class the pay raise it deserves!
#TaxReform","Twitter Web Client",,,,FALSE,FALSE,26,13,"TaxReform",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x928720747689897985",2017-11-09 20:27:35,"x1058345042","RepTomRice","What our bill offers is opportunity. What our bill offers is a future for our children and our grandchildren. I am proud to be a part of it. #TaxReform","TweetDeck",,,,FALSE,FALSE,6,2,"TaxReform",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x927660689723883520",2017-11-06 22:15:18,"x1058345042","RepTomRice","We need to focus on the facts. The facts are the American people have had enough of the ""more tax, more regulation"" government. #TaxRefom","TweetDeck",,,,FALSE,FALSE,11,6,"TaxRefom",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x923568310968553472",2017-10-26 15:13:39,"x1058345042","RepTomRice","U.S. workers &amp; businesses have been at a disadvantage for too long. We have to do better with our tax code &amp; this #budget helps us do that.","TweetDeck",,,,FALSE,FALSE,16,3,"budget",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
