"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x963801498873483265",2018-02-14 15:45:58,"x14275291","RosLehtinen","Last week, @HouseFloor passed my bill calling for a new, robust #MOU w our ally #Jordan in order to help the Kingdom remain secure + stable. Pleased to see Admin announce today it has signed a new 5-year agreement. Looking forward to strengthening our bilateral relations.","Twitter Web Client",,,,FALSE,FALSE,21,20,"MOU Jordan",,,,,,,,,,,,,"x7402662","HouseFloor","en",,,,,,,,,,,,,
"x962732773692846080",2018-02-11 16:59:14,"x14275291","RosLehtinen","Reporta @jangelmoya q operativo en contra d sede d @DamasdBlanco sigue. #TodosMarchamos porque los tiranos le temen al pueblo #cubano","Twitter for iPhone",,,,FALSE,FALSE,24,45,"TodosMarchamos cubano",,,,,,,,,,,,,"x301101385 137763526","jangelmoya DamasdBlanco","es",,,,,,,,,,,,,
"x961996379743801344",2018-02-09 16:13:04,"x14275291","RosLehtinen","#FARC suspende su campaña política por protestas del pueblo. Y que de sus víctimas heridas y muertas por la secuestros, bombas y asesinatos q cometieron? El pueblo #colombiano rechaza convertir a terroristas en políticos.","Twitter Web Client",,,,FALSE,FALSE,1533,1766,"FARC colombiano",,,,,,,,,,,,,,,"es",,,,,,,,,,,,,
"x961798211957600256",2018-02-09 03:05:37,"x14275291","RosLehtinen","El régimen de #Castro miente una vez más, a como confirma el doctor de @univmiami tras descubrir q ataques a diplomáticos de #EEUU no fueron causados por estrés. No cabe duda que Castro y sus compinches estuvieron detrás de esto y vamos a encargarnos de responsabilizarlos","Twitter for iPhone",,,,FALSE,FALSE,201,257,"Castro EEUU",,,,,,,,,,,,,"x15585350","univmiami","es",,,,,,,,,,,,,
"x961346834965975042",2018-02-07 21:12:01,"x14275291","RosLehtinen",".@StateDept’s #Cuba internet task force meets for 1st time 2day. It's vital that it works 2 counter #Castro regime’s control over airwaves +its political propaganda. It must ensure our commitment is ONLY in support of Cuban people +their pursuit 4 #freedom #democracy #humanrights","Twitter Web Client",,,,FALSE,FALSE,23,36,"Cuba Castro freedom democracy humanrights",,,,,,,,,,,,,"x9624742","StateDept","en",,,,,,,,,,,,,
"x961027904212733952",2018-02-07 00:04:42,"x14275291","RosLehtinen","I again voted no on the Continuing Resolution because we have yet to debate and vote on a bill that would provide legal status to our DREAMers. I remain committed in keeping my pledge to vote no on any funding bill until Congressional leadership brings a DREAMers fix to the floor","Twitter Web Client",,,,FALSE,FALSE,466,109,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x961007380606717953",2018-02-06 22:43:08,"x14275291","RosLehtinen","Last week, our bipartisan taskforce for combating #AntiSemitism urged #Poland President 2 oppose bill criminalizing references to Polish complicity in atrocities of #Holocaust. I condemn his decision 2 sign this bill that is offensive 2 all who suffered under #Nazis. #WeRemember","Twitter Web Client",,,,FALSE,FALSE,68,39,"AntiSemitism Poland Holocaust Nazis WeRemember",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x961002464915918849",2018-02-06 22:23:36,"x14275291","RosLehtinen","Condeno los repetidos ataques del gobierno d #Guatemala hacia trabajo d @CICIGgt Comisionado Velásquez. Combatir la corrupción, promover transparencia y responsabilizar a personas e instituciones gubernamentales son pasos fundamentales p lograr #democracia a beneficio del pueblo","Twitter Web Client",,,,FALSE,FALSE,1207,636,"Guatemala democracia",,,,,,,,,,,,,"x148058371","CICIGgt","es",,,,,,,,,,,,,
"x960366732094386176",2018-02-05 04:17:26,"x14275291","RosLehtinen","Congratulations to the people of #Ecuador for saying no to #Correa’s attempt to undermine #democracy. This referendum is an important step in the fight against corruption.","Twitter for iPhone",,,,FALSE,FALSE,366,286,"Ecuador Correa democracy",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x960360053592281089",2018-02-05 03:50:54,"x14275291","RosLehtinen","Felicito al pueblo de #Ecuador por enviarle mensaje claro a #Correa en contra de su reelección presidencial. Este es un paso importante para prevenir #corrupcion y abuso de #DDHH de este tirano. Los ecuatorianos merecen vivir en #libertad y #democracia.","Twitter for iPhone",,,,FALSE,FALSE,2741,2534,"Ecuador Correa corrupcion DDHH libertad democracia",,,,,,,,,,,,,,,"es",,,,,,,,,,,,,
