"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x966440898723745795",2018-02-21 22:34:00,"x17976923","cathymcmorris","Wishing @RepShimkus, @DesJarlaisTN04, &amp; @CongPalazzo very happy birthdays today! Hope they were great!","TweetDeck",,,,FALSE,FALSE,5,2,,,,,,,,,,,,,,"x15600527 235312723 299883942","RepShimkus DesJarlaisTN04 CongPalazzo","en",,,,,,,,,,,,,
"x966364646616678401",2018-02-21 17:31:00,"x17976923","cathymcmorris","Billy Graham truly was “America’s Pastor.” I’m grateful for his faithful service and ministry that brought people together. Rest in Peace.","TweetDeck",,,,FALSE,FALSE,146,37,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x965227654315061248",2018-02-18 14:13:00,"x17976923","cathymcmorris","HBD to @RepGuthrie &amp; @Rep_SteveWomack. Hope it’s great! 🎉","TweetDeck",,,,FALSE,FALSE,6,3,,,,,,,,,,,,,,"x1908143071 234469322","RepGuthrie rep_stevewomack","en",,,,,,,,,,,,,
"x964597893146570753",2018-02-16 20:30:33,"x17976923","cathymcmorris","This week, @HouseGOP took additional action on several bills to grow the economy, eliminate burdensome red tape, and increase competition. ⬇️","Twitter Web Client",,,,FALSE,FALSE,9,4,,,,,,,,,,,,,,"x15207668","HouseGOP","en",,,,,,,,,,,,,
"x964518481256374272",2018-02-16 15:15:00,"x17976923","cathymcmorris","Happy Birthday, @RepByrne, @RepDavidRouzer, @RepKenBuck &amp; @DrNealDunnFL2!","TweetDeck",,,,FALSE,FALSE,5,2,,,,,,,,,,,,,,"x2253968388 834069080 2862577383 815952318487298048","RepByrne RepDavidRouzer RepKenBuck DrNealDunnFL2","en",,,,,,,,,,,,,
"x963928342230544384",2018-02-15 00:10:00,"x17976923","cathymcmorris","School should be a place of joy and friendship– not fear and terror. My heart is breaking for the Parkland community and today’s victims. It’s an horrific day for so many. We have more to learn and as we wait, my prayers are with those who were killed and with their families.","TweetDeck",,,,FALSE,FALSE,345,89,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963776090408808448",2018-02-14 14:05:00,"x17976923","cathymcmorris","Wishing you and your loved ones a Happy Valentine’s Day!","TweetDeck",,,,FALSE,FALSE,26,2,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x962713084874887168",2018-02-11 15:41:00,"x17976923","cathymcmorris","Happy Birthday, @RepRobWoodall!","TweetDeck",,,,FALSE,FALSE,5,4,,,,,,,,,,,,,,"x2382685057","RepRobWoodall","en",,,,,,,,,,,,,
"x962439783879344128",2018-02-10 21:35:00,"x17976923","cathymcmorris","Hope you are having a great birthday, @RepWalterJones!","TweetDeck",,,,FALSE,FALSE,4,3,,,,,,,,,,,,,,"x26778110","RepWalterJones","en",,,,,,,,,,,,,
"x962093250717810688",2018-02-09 22:38:00,"x17976923","cathymcmorris","Wishing all the best to our athletes on @TeamUSA as they compete in the #WinterOlympics . We are proud of you! 🇺🇸","TweetDeck",,,,FALSE,FALSE,33,12,"WinterOlympics",,,,,,,,,,,,,"x21870081","TeamUSA","en",,,,,,,,,,,,,
"x961981676019740674",2018-02-09 15:14:38,"x17976923","cathymcmorris","Wishing @ToddRokita a very happy birthday today!","TweetDeck",,,,FALSE,FALSE,4,3,,,,,,,,,,,,,,"x17544524","ToddRokita","en",,,,,,,,,,,,,
"x961631442085335046",2018-02-08 16:02:56,"x17976923","cathymcmorris","The House JUST passed @RepHuizenga’s bill, the Mortgage Choice Act. Here’s why 👇.","Twitter Web Client",,,,FALSE,FALSE,38,6,,,,,,,,,,,,,,"x233949261","RepHuizenga","en",,,,,,,,,,,,,
