"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x966120283835842560",2018-02-21 01:19:59,"x29201047","SenJeffMerkley","Oregon artist and two-time Olympian Laurenne Ross competes today in Alpine Skiing for Team USA! Good luck out there, @lalalalaurenne! #PyeongChang2018","Twitter for iPhone",,,,FALSE,FALSE,177,29,"PyeongChang2018",,,,,,,,,,,,,"x54090969","lalalalaurenne","en",,,,,,,,,,,,,
"x964946247147810816",2018-02-17 19:34:47,"x29201047","SenJeffMerkley","With Mueller's indictments, will @realDonaldTrump finally admit that Russia attacked our democracy and impose the bipartisan sanctions Congress passed?","Twitter for iPhone",,,,FALSE,FALSE,2756,839,,,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,
"x963897787246096384",2018-02-14 22:08:35,"x29201047","SenJeffMerkley","Tragic and horrifying news out of Florida. We can't keep accepting this as normal. #Enough","Twitter Web Client",,,,FALSE,FALSE,1273,325,"Enough",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963533035206520832",2018-02-13 21:59:11,"x29201047","SenJeffMerkley",".@realDonaldTrump seems determined to turn the Consumer Financial Protection Bureau into the Payday Predator Protection Bureau, making state payday protections like Oregon’s all the more important. Intro'd the SAFE Lending Act today to #StopTheDebtTrap. @RepBonamici","Twitter Web Client",,,,FALSE,FALSE,329,142,"StopTheDebtTrap",,,,,,,,,,,,,"x25073877 558769636","realDonaldTrump RepBonamici","en",,,,,,,,,,,,,
"x963260944938913793",2018-02-13 03:58:00,"x29201047","SenJeffMerkley","Good luck to Oregon snowboarder Ben Ferguson, competing today for Team U.S.A. in the halfpipe event. Congratulations on your first Olympic games! #PyeongChang2018","TweetDeck",,,,FALSE,FALSE,976,127,"PyeongChang2018",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963239301961089025",2018-02-13 02:32:00,"x29201047","SenJeffMerkley","Oregon’s Kent Callister has dual citizenship and will be competing in the men’s snowboarding halfpipe event for Team Australia! Good luck @kentcallister! #PyeongChang2018","TweetDeck",,,,FALSE,FALSE,121,22,"PyeongChang2018",,,,,,,,,,,,,"x170100050","kentcallister","en",,,,,,,,,,,,,
"x963207844794281984",2018-02-13 00:27:00,"x29201047","SenJeffMerkley",".@realDonaldTrump promised to “make HBCUs a priority in the White House, an absolute priority” but his budget would cut aid for more than 50,000 #HBCU students. Is that how you prioritize? #TrumpBudget @DrMichaelLomax","Twitter Ads Composer",,,,FALSE,FALSE,274,149,"HBCU TrumpBudget",,,,,,,,,,,,,"x25073877 4054514002","realDonaldTrump DrMichaelLomax","en",,,,,,,,,,,,,
"x963166530061074433",2018-02-12 21:42:50,"x29201047","SenJeffMerkley",".@realDonaldTrump promised rural America “the forgotten… will be forgotten no longer.” Funny, because he must have forgotten that promise when he wrote the #TrumpBudget. Completely eliminates program to bring doctors and nurses to underserved rural communities.","Twitter Web Client",,,,FALSE,FALSE,1216,813,"TrumpBudget",,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,
"x963156600528752641",2018-02-12 21:03:22,"x29201047","SenJeffMerkley","This #TrumpBudget is a train wreck… no, literally, it’s a train wreck waiting to happen. After three fatal crashes in two months, why would @realDonaldTrump cut Amtrak funding in half??","Twitter Web Client",,,,FALSE,FALSE,5004,2533,"TrumpBudget",,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,
"x961854444521512960",2018-02-09 06:49:04,"x29201047","SenJeffMerkley","Voted NO because this bill once again fails our Dreamers. @realDonaldTrump has destroyed their legal status, throwing their lives into stressful chaos. This must be remedied. #DreamActNow","Twitter for iPhone",,,,FALSE,FALSE,2829,698,"DreamActNow",,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,
"x961822549049880577",2018-02-09 04:42:20,"x29201047","SenJeffMerkley","Joining @maddow on @MSNBC at 9pm PT/midnight ET to talk Rand Paul, shutdown, #DACA and more. Tune in!","Twitter Web Client",,,,FALSE,FALSE,292,49,"DACA",,,,,,,,,,,,,"x16129920 2836421","maddow MSNBC","en",,,,,,,,,,,,,
"x959492403727134721",2018-02-02 18:23:10,"x29201047","SenJeffMerkley","After all this… the #NunesMemo is a 4-page defense of Carter Page? The same guy who was under investigation for Russia contacts as far back as 2013? Clearly the intent of this memo is nefarious, but the idea that this gives Trump his excuse to go on a firing spree is laughable.","Twitter Web Client",,,,FALSE,FALSE,1921,831,"NunesMemo",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x959254545456091136",2018-02-02 02:38:00,"x29201047","SenJeffMerkley","This #BlackHistoryMonth let’s not only remember and celebrate the enormous contributions of African Americans throughout history, but let’s also fiercely recommit to the work that lies ahead to truly meet our nation’s promise of equality for all.","Twitter Ads Composer",,,,FALSE,FALSE,709,204,"BlackHistoryMonth",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x959128307617943552",2018-02-01 18:16:22,"x29201047","SenJeffMerkley","Joining @CNN's @WolfBlitzer this hour to discuss the #NunesMemo and latest in the Russia investigation. Tune in!","Twitter Web Client",,,,FALSE,FALSE,127,29,"NunesMemo",,,,,,,,,,,,,"x759251 71294756","CNN wolfblitzer","en",,,,,,,,,,,,,
"x958544356331409408",2018-01-31 03:35:58,"x29201047","SenJeffMerkley","Reminder folks, if you hated the tweets during the speech, they were from @MikeZamore.  Otherwise, never mind.  Giving the senator his twitter account back now -- thanks for following along!","TweetDeck",,,,FALSE,FALSE,242,19,,,,,,,,,,,,,,"x534591704","MikeZamore","en",,,,,,,,,,,,,
"x958543442593943552",2018-01-31 03:32:20,"x29201047","SenJeffMerkley","Since he didn't call anyone by a demeaning nickname, are pundits now going to say he was presidential?  #SOTU","TweetDeck",,,,FALSE,FALSE,468,120,"SOTU",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x958541719724871680",2018-01-31 03:25:29,"x29201047","SenJeffMerkley","Jeff and I met with North Korean defectors a few months ago.  Incredible stories, and insights about what is happening inside NK and how it bears on the nuclear standoff.  Seems pretty clear @realDonaldTrump has not had similar conversations.  #SOTU","TweetDeck",,,,FALSE,FALSE,265,82,"SOTU",,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,
"x958540958513197056",2018-01-31 03:22:27,"x29201047","SenJeffMerkley","North Korea is everything Trump says it is.  But blustering threats  are not going to make us safer.  #SOTU","TweetDeck",,,,FALSE,FALSE,308,94,"SOTU",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x958540199373561857",2018-01-31 03:19:27,"x29201047","SenJeffMerkley","Bragging on sanctions against Cuba and Venezuela, however yesterday he declined to sanction the dictatorship in Russia that attacked the U.S.  Curious.  #SOTU","TweetDeck",,,,FALSE,FALSE,1146,601,"SOTU",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x958538897209921536",2018-01-31 03:14:16,"x29201047","SenJeffMerkley","Can we all agree that Trump saying ""we should be unified"" in the same speech that he's spreading lies about immigrants and immigration programs does NOT actually make it a unifying speech?  #SOTU","TweetDeck",,,,FALSE,FALSE,4433,1343,"SOTU",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
