"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x967109263939301376",2018-02-23 18:49:51,"x941000686275387392","SenTinaSmith","We’re still in one of the worst flu seasons in decades, and it underpins the need for bold action on disease research. I just helped introduce legislation to support a universal flu vaccine that could last a lifetime and wouldn’t need to be given every year.","Twitter Web Client",,,,FALSE,FALSE,21,3,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x966010939475718144",2018-02-20 18:05:30,"x941000686275387392","SenTinaSmith","Affordable, quality child care that’s close to home is what Minnesota families have told me is important time and time again. Yet I’ve talked to families in greater Minnesota that have to drive 50 miles to take their kids to child care.","Twitter Web Client",,,,FALSE,FALSE,32,12,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x965306743810068480",2018-02-18 19:27:16,"x941000686275387392","SenTinaSmith","In states like Minnesota, where the temperature regularly drops below zero, having a warm home isn’t an option—it’s a necessity.","Twitter for iPhone",,,,FALSE,FALSE,79,14,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x965240340918816768",2018-02-18 15:03:25,"x941000686275387392","SenTinaSmith","I’ll be on @FOX9 to talk about the latest in Washington with @LeahBenoFox9 in a few minutes. Hope you’ll tune in.","Twitter for iPhone",,,,FALSE,FALSE,16,4,,,,,,,,,,,,,,"x9229732 39667080","FOX9 LeahBenoFox9","en",,,,,,,,,,,,,
"x964992054999863298",2018-02-17 22:36:49,"x941000686275387392","SenTinaSmith","Farming is a pillar of our economy and a way of life for thousands of Minnesota families. That’s why I’m working to get things done for the farmers, ranchers, and rural businesses that keep our state strong.","Twitter Web Client",,,,FALSE,FALSE,34,13,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964577809317486592",2018-02-16 19:10:45,"x941000686275387392","SenTinaSmith","Happy #ChineseNewYear to those who are celebrating in Minnesota and around the world. #YearOfTheDog","Twitter Web Client",,,,FALSE,FALSE,90,18,"ChineseNewYear YearOfTheDog",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964550956909252609",2018-02-16 17:24:03,"x941000686275387392","SenTinaSmith","The surging cost of child care is forcing many parents in Minnesota and across the country to have to choose between going to work and paying for child care.","Twitter Web Client",,,,FALSE,FALSE,47,12,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964254148723200001",2018-02-15 21:44:38,"x941000686275387392","SenTinaSmith","This flu season has been one of the harshest in recent years, and it’s put the health of kids, seniors, and those with compromised immune systems at risk.","Twitter Web Client",,,,FALSE,FALSE,16,8,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964225004257841153",2018-02-15 19:48:50,"x941000686275387392","SenTinaSmith","The #opioid crisis has touched every community in Minnesota, and it knows no bounds. It’s past time that we strengthen the federal response.","Twitter Web Client",,,,FALSE,FALSE,16,6,"opioid",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964175806539976704",2018-02-15 16:33:20,"x941000686275387392","SenTinaSmith","My bipartisan amendment with @SteveDaines to help tribal governments access and update national criminal background databases was included in the reauthorization of the Tribal Law &amp; Order Act. This will help law enforcement access information they need to keep communities safe.","Twitter Web Client",,,,FALSE,FALSE,46,9,,,,,,,,,,,,,,"x11651202","SteveDaines","en",,,,,,,,,,,,,
"x963921824387039232",2018-02-14 23:44:06,"x941000686275387392","SenTinaSmith","Horrified by the shooting at Marjory Stoneman Douglas High School. No student—&amp; no parent, teacher, or school employee—should have to go through what happened today in Parkland, FL. This tragedy repeats itself over &amp; over in our country. We must take action &amp; address gun violence","Twitter for iPhone",,,,FALSE,FALSE,405,64,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963868206304817152",2018-02-14 20:11:02,"x941000686275387392","SenTinaSmith","The #opioid epidemic has been devastating to families all across Minnesota, and the drug companies that helped contribute to this crisis need to pitch in to help solve it.","Twitter Web Client",,,,FALSE,FALSE,18,3,"opioid",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963828419325845505",2018-02-14 17:32:56,"x941000686275387392","SenTinaSmith","My staff will be at Opportunity Center in Minneapolis (505 15th Ave) from 11:30 to 2:30pm to meet one-on-one with residents who need help working with federal agencies. Drop by anytime—no appointment necessary. As always, services are free and open to everyone.","Twitter Web Client",,,,FALSE,FALSE,18,8,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963538678516736002",2018-02-13 22:21:37,"x941000686275387392","SenTinaSmith","Equal pay for equal work is good for all Americans. We’ve made important progress in Minnesota to close the pay gap, but too many women—especially women of color—in our state and across the nation still don’t get paid the same for doing the same job.","Twitter Web Client",,,,FALSE,FALSE,72,20,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963511132446248961",2018-02-13 20:32:09,"x941000686275387392","SenTinaSmith","For thousands of years, people have treasured the #GreatLakes. From the earliest hunters and fishers, to traders, shippers, and tourists, Lake Superior and the rest of the Great Lakes chain have been a vital resource to our way of life.","Twitter Web Client",,,,FALSE,FALSE,22,8,"GreatLakes",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963497040016756738",2018-02-13 19:36:09,"x941000686275387392","SenTinaSmith","During #BlackHistoryMonth, we celebrate the accomplishments of African Americans, and their significant contributions to United States history.","Twitter Web Client",,,,FALSE,FALSE,23,7,"BlackHistoryMonth",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963184097274318848",2018-02-12 22:52:38,"x941000686275387392","SenTinaSmith","Late last week, we passed a bipartisan two-year budget outline in Congress. While it isn’t perfect, it does a lot of good things for Minnesota and creates a framework that will hopefully prevent future Congressional budget emergencies.","Twitter Web Client",,,,FALSE,FALSE,21,13,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963177848608645121",2018-02-12 22:27:48,"x941000686275387392","SenTinaSmith","Tonight, the Senate will open up immigration for debate.","Twitter Web Client",,,,FALSE,FALSE,28,9,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963155891469025280",2018-02-12 21:00:33,"x941000686275387392","SenTinaSmith","I’m committed to being a fierce advocate for economic opportunity and fairness for all Minnesotans.","Twitter Web Client",,,,FALSE,FALSE,22,3,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x962406144965824512",2018-02-10 19:21:20,"x941000686275387392","SenTinaSmith","The Minnesotans who serve our country, along with their families, make tremendous sacrifices to keep us safe. We must do everything we can to support them during and after deployment.","Twitter for iPhone",,,,FALSE,FALSE,21,3,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x962399483731611648",2018-02-10 18:54:52,"x941000686275387392","SenTinaSmith","Over the last few yrs hundreds of thousands of Minnesotans have gained access to high-quality health coverage, cutting our state’s uninsured rate by nearly half. We need to build on that success &amp; fix what needs fixing—especially the rising cost of both care &amp; prescription drugs.","Twitter for iPhone",,,,FALSE,FALSE,52,12,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x962095277925699585",2018-02-09 22:46:03,"x941000686275387392","SenTinaSmith","This week I’ve been pushing hard to restore millions in funding for Minnesota’s Community Health Centers (CHC), which provide health, dental, and mental health services to 180,000+ Minnesotans annually.","Twitter Web Client",,,,FALSE,FALSE,96,11,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x962050509283639296",2018-02-09 19:48:10,"x941000686275387392","SenTinaSmith","I thank @USRepRickNolan for his years of dedicated public service and constant advocacy for the people of Northern Minnesota. This is a bittersweet retirement. I’m happy that Rick will be able to spend more time with his wonderful family, and I know his voice will be missed.","Twitter Web Client",,,,FALSE,FALSE,41,6,,,,,,,,,,,,,,"x1055685948","USRepRickNolan","en",,,,,,,,,,,,,
"x961704458316021761",2018-02-08 20:53:05,"x941000686275387392","SenTinaSmith","I’m so proud of the Minnesota Olympians who are getting ready to put the best of our state on display in South Korea. I continue to be amazed that we’re sending 21 athletes to compete in the Winter Games—third most in the entire country—but I’m not all that surprised.","Twitter Web Client",,,,FALSE,FALSE,85,13,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x961309268954710016",2018-02-07 18:42:44,"x941000686275387392","SenTinaSmith","If you’re a restaurant worker or hold a service job, your livelihood—that means the ability to pay rent, tuition, child care, groceries, or bills—often depends on tips.","Twitter Web Client",,,,FALSE,FALSE,49,10,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x961000022765723648",2018-02-06 22:13:54,"x941000686275387392","SenTinaSmith","As a member of the Senate Education Committee, I’m working hard to improve both college affordability and access to college as we rewrite the Higher Education Act.","Twitter Web Client",,,,FALSE,FALSE,34,11,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x960942584913973249",2018-02-06 18:25:40,"x941000686275387392","SenTinaSmith","In unusually cold winter months, energy bills can add up fast. The Low Income Home Energy Assistance Program (#LIHEAP) helps make sure families in Minnesota and our nation can make ends meet and stay warm.","Twitter Web Client",,,,FALSE,FALSE,33,8,"LIHEAP",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x960935684914712576",2018-02-06 17:58:15,"x941000686275387392","SenTinaSmith","#ICYMI: Last week I delivered the Weekly Democratic Address on the President’s first official State of the Union address.","Twitter Web Client",,,,FALSE,FALSE,9,3,"ICYMI",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x960638371272982528",2018-02-05 22:16:50,"x941000686275387392","SenTinaSmith","When I became a new mom in 1987, and had my second child in 1989, I worked for myself as a small business owner and was lucky that I could take the time off to care for my newborn. But having access to paid family and medical leave shouldn’t be about luck. #FMLA25","Twitter Web Client",,,,FALSE,FALSE,280,58,"FMLA25",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
