"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x966405055497883649",2018-02-21 20:11:34,"x18695134","SenatorMenendez","So proud of students in NJ and across the US for taking a stand against gun violence. I am listening. I hear you. I will continue to do everything in my power to make you feel safe and stop the senseless violence. #ParklandStudentsSpeak #WednesdayWisdom","Twitter Web Client",,,,FALSE,FALSE,366,101,"ParklandStudentsSpeak WednesdayWisdom",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x966360523666321409",2018-02-21 17:14:37,"x18695134","SenatorMenendez","I led the effort to pass sanctions against Russia during the Obama Administration. And I helped write the #RussiaSanctions we passed during the Trump Administration last year. The big difference? Obama actually implemented them.","Twitter for iPhone",,,,FALSE,FALSE,144,46,"RussiaSanctions",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964535061285691392",2018-02-16 16:20:53,"x18695134","SenatorMenendez","Three of the 10 deadliest shootings in modern US history have been in the past five months. This is a heartbreaking, horrifying, and inexcusable statistic. We MUST ban assault weapons &amp; large capacity magazines. We MUST close background check loopholes. #GunReformNow","Twitter Web Client",,,,FALSE,FALSE,254,86,"GunReformNow",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964246885186920448",2018-02-15 21:15:46,"x18695134","SenatorMenendez","This failure lays squarely at the feet of ethno-nationalist Republicans. Subjecting immigrant youth to this public shaming is evil, destroying every attempt at compromise is irresponsible &amp; spending political capital to decimate immigrant families and communities is un-American.","TweetDeck",,,,FALSE,FALSE,201,75,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964230002895179776",2018-02-15 20:08:41,"x18695134","SenatorMenendez","If we fail to act today, the dreams of over 800,000 Dreamers will turn to nightmares. Well I refuse to be complicit in that nightmare. I refuse to be complicit in the deportation of innocent children. That's why I'm voting for the imperfect deal to #ProtectDreamers","Twitter Web Client",,,,FALSE,FALSE,57,25,"ProtectDreamers",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964224373556203520",2018-02-15 19:46:19,"x18695134","SenatorMenendez","The bipartisan agreement reached on Dreamers is not the deal I would have preferred, but we are not living in an ideal world.  It is the ONLY DEAL that Republicans and the president could possibly agree to. It is the ONLY DEAL with any hope of protecting Dreamers.","Twitter for iPhone",,,,FALSE,FALSE,45,20,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963904329756364801",2018-02-14 22:34:35,"x18695134","SenatorMenendez","Absolutely heartbroken by another school shooting in America. Thank you to the first responders, we're always so grateful for your bravery. I'm praying for the victims in Broward County, Florida, and everyone affected by this tragedy. This cannot keep happening. We must act.","TweetDeck",,,,FALSE,FALSE,131,47,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963762656795652097",2018-02-14 13:11:37,"x18695134","SenatorMenendez","Ending #DACA &amp; removing young adults who have been part of our communities would cause a loss of $1.5 billion to NJ's economy. Just one reason we need to #ProtectDreamers","Twitter for iPhone",,,,FALSE,FALSE,204,82,"DACA ProtectDreamers",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963566410629861377",2018-02-14 00:11:49,"x18695134","SenatorMenendez","Dreamers sing the Star Spangled Banner and pledge allegiance to the stars and stripes. They know no other country. They are not undocumented immigrants, they are undocumented Americans. #ProtectDreamers","Twitter for iPhone",,,,FALSE,FALSE,222,86,"ProtectDreamers",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963399092016766976",2018-02-13 13:06:57,"x18695134","SenatorMenendez","Thanks to the Trump infrastructure plan, American infrastructure will be the next thing Made in China. That’s because the plan weakens requirements to use American-made products to reconstruct our infrastructure. American infrastructure should be made in America.","Twitter for iPhone",,,,FALSE,FALSE,120,64,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963158527534686208",2018-02-12 21:11:02,"x18695134","SenatorMenendez","The #TrumpBudget:
✔️CUTS infrastructure spending
✔️Dangerously reduces the Environmental Protection Agency
✔️Ends teacher recruitment programs
✔️Adds $7 trillion to the deficit
✔️Slashes America’s diplomatic funding
✔️ Guts SSDI
✔️ Hurts👏The👏Middle👏Class👏","Twitter for iPhone",,,,FALSE,FALSE,145,121,"TrumpBudget",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963052001583140865",2018-02-12 14:07:44,"x18695134","SenatorMenendez","I am going to be vigilant this week both to protect DREAMers, and to protect the American values that make our nation great in the first place.","Twitter for iPhone",,,,FALSE,FALSE,145,30,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x961808328081915904",2018-02-09 03:45:49,"x18695134","SenatorMenendez","Here’s your friendly reminder that Sen. Rand Paul - the Republican trying to shut down the government over deficits right now - voted for a tax bill that added over $1,400,000,000 to our deficit. 😤😡","Twitter for iPhone",,,,FALSE,FALSE,985,439,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x961807765739134976",2018-02-09 03:43:35,"x18695134","SenatorMenendez","We are barreling towards the SECOND government shutdown in less than a month. 

The chaos of Republican rule is hurting our country and must end.","Twitter for iPhone",,,,FALSE,FALSE,153,54,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x960982721806962688",2018-02-06 21:05:09,"x18695134","SenatorMenendez","Trump's Interior Secretary Zinke supposedly protected Florida from offshore drilling because ""local voices count."" I'll be on the @DSenFloor at 4:30 with @EnergyDems  saying, ""if it’s good enough for Mar-a-Lago it should be good enough for the Jersey shore."" #ProtectOurCoast","Twitter Web Client",,,,FALSE,FALSE,433,184,"ProtectOurCoast",,,,,,,,,,,,,"x729177876 277124730","DSenFloor EnergyDems","en",,,,,,,,,,,,,
"x960638445424136198",2018-02-05 22:17:07,"x18695134","SenatorMenendez","The reckless action of releasing the Nunes memo will make our allies less willing to trust us, further helping Putin isolate the United States and undermining our strategic alliances. All it did was help Putin.","Twitter Web Client",,,,FALSE,FALSE,109,37,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x960533805621792769",2018-02-05 15:21:19,"x18695134","SenatorMenendez","To @MalcolmJenkins @JOEL9ONE @TorreySmithWR and any of the @Eagles considering skipping the WH visit, I’d be honored to celebrate your big win and community involvement at the Capitol and discuss how to build a more fair and just America. #FlyEaglesFly","Twitter Web Client",,,,FALSE,FALSE,103,28,"FlyEaglesFly",,,,,,,,,,,,,"x35575327 1128886760 81756964 180503626","MalcolmJenkins JOEL9ONE TorreySmithWR Eagles","en",,,,,,,,,,,,,
