"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x966366712001122308",2018-02-21 17:39:13,"x16056306","JeffFlake","A kid too young buy a handgun should be too young to buy an #AR15. Working with @SenFeinstein on a bipartisan bill that will raise the minimum purchase age for non-military buyers from 18 to 21 - the same age you currently have to be to purchase a handgun.","Twitter for iPhone",,,,FALSE,FALSE,23206,4511,"AR15",,,,,,,,,,,,,"x476256944","SenFeinstein","en",,,,,,,,,,,,,
"x964583138780315653",2018-02-16 19:31:56,"x16056306","JeffFlake","Lots of questions about next steps on DACA. For me, it'll be frequent trips to the Senate floor to try to force a vote on a #3for3 compromise to give DACA recipients a 3-year extension &amp; the Admin 3 years of full funding ($7.6 billion) for its #BorderSecurity plan","Twitter for iPhone",,,,FALSE,FALSE,550,108,"3for3 BorderSecurity",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963092167915810818",2018-02-12 16:47:20,"x16056306","JeffFlake","Saddened to hear of the death of Bill Straus, former regional director of the ADL. Arizona will miss his strong and thoughtful voice","Twitter for iPhone",,,,FALSE,FALSE,305,47,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x962471471506374656",2018-02-10 23:40:55,"x16056306","JeffFlake","Had a nice visit with @SenJohnMcCain today. He's working hard and gaining strength.","Twitter Web Client",,,,FALSE,FALSE,16623,1356,,,,,,,,,,,,,,"x19394188","SenJohnMcCain","en",,,,,,,,,,,,,
"x958775154926112768",2018-01-31 18:53:04,"x16056306","JeffFlake","Cheryl, Dallin and I are fine. Praying for those who are injured.","Twitter for iPhone",,,,FALSE,FALSE,1626,122,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x955981000143769600",2018-01-24 01:50:06,"x16056306","JeffFlake","We represent less than 5% of the world's population and just 20% of the world's economic output. To find markets for our goods &amp; services, we need to sign new trade agreements. We can't afford to be left behind by shunning these agreements.","Twitter Web Client",,,,FALSE,FALSE,4992,1097,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x955562652494942208",2018-01-22 22:07:44,"x16056306","JeffFlake","Just got off the phone with @SenJohnMcCain. He is sounding good and is pleased that the senate has voted to reopen the federal government.","Twitter Web Client",,,,FALSE,FALSE,5105,466,,,,,,,,,,,,,,"x19394188","SenJohnMcCain","en",,,,,,,,,,,,,
"x955513372614815745",2018-01-22 18:51:55,"x16056306","JeffFlake","Now that agreement has been reached to keep govt open, the real work begins. Now CR will expire on Feb 8. Need to get broader agreement on DACA legislation and prepare for floor debate.","Twitter Web Client",,,,FALSE,FALSE,1066,225,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x955485007321141248",2018-01-22 16:59:12,"x16056306","JeffFlake","I’m confident that with the senate vote at noon today we can reopen the govt and lay the groundwork for a DACA solution","Twitter for iPhone",,,,FALSE,FALSE,2158,283,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x955200021430964225",2018-01-21 22:06:46,"x16056306","JeffFlake","Senate leaders are meeting and talking!","Twitter for iPhone",,,,FALSE,FALSE,2743,368,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
