"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x964860296849428480",2018-02-17 13:53:15,"x13218102","JohnCornyn","Lawfare cont.: The[y] used these accounts to help Donald Trump, Bernie Sanders and Jill Stein, and to undermine Hillary Clinton, Marco Rubio and Ted Cruz, as well as to encourage U.S. minority groups to abstain from voting.","Twitter for iPad",,,,FALSE,FALSE,52,24,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964860026677579776",2018-02-17 13:52:11,"x13218102","JohnCornyn","Lawfare cont.: The indictment provides a rich picture “information warfare” operations. This work allegedly involved creating fictional and fraudulent American personas on Facebook, Instagram and Twitter, as well as political Facebook groups designed to attract American audiences","Twitter for iPad",,,,FALSE,FALSE,33,12,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964858782479278086",2018-02-17 13:47:14,"x13218102","JohnCornyn","Lawfare on Russian indictments: “None of th[ose] indicted Friday for their alleged influence operation against the U.S. ... is likely to ... see an American courtroom. None is in custody. None is likely to surrender... . And ... Putin will probably not race to extradite them.”","Twitter for iPad",,,,FALSE,FALSE,97,41,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963882772333985792",2018-02-14 21:08:55,"x13218102","JohnCornyn","“I am asking all senators, in both parties, to support the Grassley bill and to oppose any legislation that fails to fulfill these four pillars — that includes opposing any short-term ‘Band-Aid’ approach,” Trump said in a statement Wednesday. #DACA","Twitter for iPad",,,,FALSE,FALSE,128,60,"DACA",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963740811677577216",2018-02-14 11:44:49,"x13218102","JohnCornyn","NEW POLITICO/MORNING CONSULT POLL: GOP gains on generic ballot, Trump approval ticks upward,"" by Steve Shepard: ""Fully 39 percent of registered voters say they would support the GOP candidate for Congress in their district, while 38 percent would back the Democratic candidate.","Twitter Web Client",,,,FALSE,FALSE,93,43,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963487132445798400",2018-02-13 18:56:47,"x13218102","JohnCornyn","#TaxCutsandJobsAct created an incentive for employers to offer up to 12 weeks of paid family leave.","Twitter for iPhone",,,,FALSE,FALSE,25,9,"TaxCutsandJobsAct",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963445105670672389",2018-02-13 16:09:47,"x13218102","JohnCornyn","This is not a strategy to make a law: Democratic Senator Dick Durbin told reporters he hoped a combination of the Senate's 49 Democrats and independents, coupled with 11 Republicans, could get behind a bill, propelling it to passage.","Twitter for iPad",,,,FALSE,FALSE,55,18,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x962859721890914306",2018-02-12 01:23:41,"x13218102","JohnCornyn","Curling has to be the most obscure  olympic sport. What is the point?","Twitter for iPhone",,,,FALSE,FALSE,466,67,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x962083180298850304",2018-02-09 21:57:59,"x13218102","JohnCornyn","Looking forward to watching Texans @jagarcia23 @justinbolsen and @sam_mcguffie compete in @pyeongchang2018. #TexasForever","Twitter for iPad",,,,FALSE,FALSE,12,4,"TexasForever",,,,,,,,,,,,,"x270544388 89505304 4072547892 83529162","jagarcia23 justinbolsen sam_mcguffie pyeongchang2018","en",,,,,,,,,,,,,
"x960679246493573121",2018-02-06 00:59:15,"x13218102","JohnCornyn","After two more serious train accidents focus is now on why Ron Batory, nominee for head of the Federal Rail Administration (FRA) has been held up over eight months. More politics over public safety?","Twitter for iPhone",,,,FALSE,FALSE,178,75,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
