"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x963153080194879488",2018-02-12 20:49:23,"x339822881","McConnellPress","With a bipartisan funding agreement in place, Congress and the White House can now work together to begin rebuilding our military, improve care for veterans, and tackle other urgent matters from disaster relief to the fight against drug addiction.
#Budget","TweetDeck",,,,FALSE,FALSE,4,5,"Budget",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x961311551281156097",2018-02-07 18:51:48,"x339822881","McConnellPress",".@SenateMajLdr: ""This agreement will also bolster our ongoing national struggle against #opioid addiction and substance abuse. It will fund new grants, prevention programs, and law enforcement efforts in vulnerable communities across the country""","TweetDeck",,,,FALSE,FALSE,8,8,"opioid",,,,,,,,,,,,,"x1249982359","SenateMajLdr","en",,,,,,,,,,,,,
"x958706919321079808",2018-01-31 14:21:56,"x339822881","McConnellPress",".@SenateMajLdr McConnell talks #TaxCutsandJobsAct on @GregDunkerShow  @WKYXNEWS &amp; says @POTUS @realdonaldtrump #SOTU speech last night designed to bring America together.","TweetDeck",,,,FALSE,FALSE,6,5,"TaxCutsandJobsAct SOTU",,,,,,,,,,,,,"x1249982359 38178997 38282024 822215679726100480 25073877","SenateMajLdr GregDunkerShow WKYXNEWS POTUS realDonaldTrump","en",,,,,,,,,,,,,
"x958705809998925825",2018-01-31 14:17:31,"x339822881","McConnellPress",".@SenateMajLdr McConnell calls @POTUS @realDonaldTrump #SOTU ""unifying and uplifting"" on @wkdzradio in Cadiz, #Kentucky this am.","TweetDeck",,,,FALSE,FALSE,14,6,"SOTU Kentucky",,,,,,,,,,,,,"x1249982359 822215679726100480 25073877 41387688","SenateMajLdr POTUS realDonaldTrump wkdzradio","en",,,,,,,,,,,,,
"x953741222815911937",2018-01-17 21:30:01,"x339822881","McConnellPress",".@WPSDLocal6: “More money in your paycheck, that’s what @SenateMajLdr Mitch McConnell says the new tax law means for people in #Kentucky...”","TweetDeck",,,,FALSE,FALSE,3,2,"Kentucky",,,,,,,,,,,,,"x39533358 1249982359","WPSDLocal6 SenateMajLdr","en",,,,,,,,,,,,,
"x953726122361049091",2018-01-17 20:30:01,"x339822881","McConnellPress",".@WDRBNews: ""Some @Humana workers will get a pay bump, thanks to the GOP #TaxReform plan.""
#TaxCutsandJobsAct","TweetDeck",,,,FALSE,FALSE,5,7,"TaxReform TaxCutsandJobsAct",,,,,,,,,,,,,"x43930301 24160942","WDRBNews Humana","en",,,,,,,,,,,,,
"x953715650568114177",2018-01-17 19:48:24,"x339822881","McConnellPress",".@wave3news: ""About 150 American-based companies have credited the recently passed GOP #TaxCutsandJobsAct for hiking wages, giving bonuses or increasing retirement contributions. @SenateMajLdr McConnell went to the Senate floor today to announce that @Humana is now on that list""","TweetDeck",,,,FALSE,FALSE,10,6,"TaxCutsandJobsAct",,,,,,,,,,,,,"x16362924 1249982359 24160942","wave3news SenateMajLdr Humana","en",,,,,,,,,,,,,
"x953656387887869952",2018-01-17 15:52:55,"x339822881","McConnellPress",".@SenateMajLdr: Just yesterday, I was pleased to announce that Humana – which employs more than 12,000 Kentuckians – is accelerating pay incentives and increasing its minimum hourly wage because of #taxreform.","TweetDeck",,,,FALSE,FALSE,9,6,"taxreform",,,,,,,,,,,,,"x1249982359","SenateMajLdr","en",,,,,,,,,,,,,
"x953381122305601536",2018-01-16 21:39:07,"x339822881","McConnellPress",".@SenateMajLdr: Earlier today, I spoke w/ the leadership of @Humana, which employs more than 12,000 people in #Kentucky. They will be accelerating pay incentives for associates &amp; raising minimum hourly wages for both part-time &amp; full-time employees — thanks to #TaxCutsandJobsAct","TweetDeck",,,,FALSE,FALSE,20,15,"Kentucky TaxCutsandJobsAct",,,,,,,,,,,,,"x1249982359 24160942","SenateMajLdr Humana","en",,,,,,,,,,,,,
"x944249239001010176",2017-12-22 16:52:16,"x339822881","McConnellPress","Senate Confirmed! Congrats to Kenny Allen of Hopkins County, who @POTUS nominated to serve on the Board of Directors of the @TVAnews. As a native of western #Kentucky, he will help govern TVA well &amp; serve as a prudent caretaker of TVA-managed land in KY &amp; throughout the Southeast","TweetDeck",,,,FALSE,FALSE,10,7,"Kentucky",,,,,,,,,,,,,"x822215679726100480 93688013","POTUS TVAnews","en",,,,,,,,,,,,,
