"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x965680899202387969",2018-02-19 20:14:02,"x11651202","SteveDaines","From George Washington to President Trump, today we honor those who have served our country in the highest office. #PresidentsDay2018","Twitter Web Client",,,,FALSE,FALSE,65,16,"PresidentsDay2018",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964682520120893441",2018-02-17 02:06:50,"x11651202","SteveDaines","Two Montanans competing at the Olympics tonight in slopestyle, let’s go Darian and Maggie! #MTProud","Twitter for iPhone",,,,FALSE,FALSE,41,12,"MTProud",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964527861649559552",2018-02-16 15:52:16,"x11651202","SteveDaines","This week, my legislation to curb the tragic epidemic of native women and girls who go missing or are murdered passed @IndianCommittee. We must empower MT's tribes to keep their citizens safe.","Twitter Web Client",,,,FALSE,FALSE,45,16,,,,,,,,,,,,,,"x329761746","IndianCommittee","en",,,,,,,,,,,,,
"x964237228246433792",2018-02-15 20:37:24,"x11651202","SteveDaines","It is disappointing that a minority of the Senate blocked my bipartisan proposal to end sanctuary cities and protect the safety and security of America.","Twitter Web Client",,,,FALSE,FALSE,80,17,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963898418941906944",2018-02-14 22:11:06,"x11651202","SteveDaines","Praying for the victims and their families. Thank you to those responding to this afternoon's terrible shooting in Florida.","Twitter Web Client",,,,FALSE,FALSE,69,20,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x962861044363243520",2018-02-12 01:28:56,"x11651202","SteveDaines","My guess is that curling was invented by some ice fishermen during a day of slow fishing.","Twitter for iPhone",,,,FALSE,FALSE,131,18,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x961829883570659329",2018-02-09 05:11:28,"x11651202","SteveDaines","It may one of the Senate’s latest hours, but certainly not it’s finest hour.","Twitter for iPhone",,,,FALSE,FALSE,49,14,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x961711902563995648",2018-02-08 21:22:39,"x11651202","SteveDaines","Under this Budget Deal, we’re taking a step backwards. Instead of shrinking government, this deal grows it by 13 percent.","Twitter Web Client",,,,FALSE,FALSE,28,16,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x960942266721488901",2018-02-06 18:24:24,"x11651202","SteveDaines","Government regulation can't stand in the way of the 41% of rural Montanans who lack access to high-speed broadband. That's why I introduced the bipartisan Streamlining and Investing in Broadband Infrastructure Act – to cut red tape and streamline broadband deployment.","Twitter Web Client",,,,FALSE,FALSE,49,9,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x958743212843241473",2018-01-31 16:46:09,"x11651202","SteveDaines","On the train and okay. Prayers for the drivers of the truck.","Twitter for iPhone",,,,FALSE,FALSE,213,59,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
