"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x966799327573180424",2018-02-22 22:18:16,"x164369297","NydiaVelazquez",".@realDonaldTrump can erase the phrase “nation of immigrants” from @USCIS mission statement but he cannot erase American values – or our immigrant heritage! Immigrants already made America great, Mr. President! https://t.co/aOrlFPwooF","Twitter Web Client",,,,FALSE,FALSE,33,17,,,"bit.ly/2F0FY4U","https://t.co/aOrlFPwooF","http://bit.ly/2F0FY4U",,,,,,,,,"x25073877 14625398","realDonaldTrump USCIS","en",,,,,,,,,,,,,
"x966768015428718592",2018-02-22 20:13:51,"x164369297","NydiaVelazquez","RT @NancyPelosi: 62 years ago today, Martin Luther King, Rosa Parks, &amp; 87 other African Americans were arrested for their part in the histo…","Twitter Web Client",,,,FALSE,TRUE,0,423,,,,,,,,,,,,,,"x15764644","NancyPelosi","en",,,"x966760689128878086","62 years ago today, Martin Luther King, Rosa Parks, &amp; 87 other African Americans were arrested for their part in the historic Montgomery Bus Boycott, one of the most iconic moments of the civil rights movement. #BlackHistoryMonth https://t.co/2DNEQUXCOl",,,,,,,,,
"x966762563479523328",2018-02-22 19:52:11,"x164369297","NydiaVelazquez","Today the Trump @FCC finalized its attack on an open Internet. The loss of #NetNeutrality  means less opportunity for entrepreneurs, higher prices for consumers and less choice.  We must block this ruling &amp; I'm I am proud to cosponsor @USRepMikeDoyle's bill to reverse this policy","Twitter Web Client",,,,FALSE,FALSE,40,17,"NetNeutrality",,,,,,,,,,,,,"x66369206 39249305","FCC USRepMikeDoyle","en",,,,,,,,,,,,,
"x966750693192359936",2018-02-22 19:05:01,"x164369297","NydiaVelazquez","58 percent of Asian American women and 63 percent of Native Hawaiian and Pacific Islander women are mothers with children under the age of 19. They need #AAPIEqualPay now.","TweetDeck",,,,FALSE,FALSE,20,8,"AAPIEqualPay",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x966749935218675715",2018-02-22 19:02:00,"x164369297","NydiaVelazquez","AAPI women work 2 extra months to earn what a white man earns in a year. But on #AAPIEqualPay Day, we know there is more to the story. #NotYourModelMinority","TweetDeck",,,,FALSE,FALSE,13,10,"AAPIEqualPay NotYourModelMinority",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x966730589272453126",2018-02-22 17:45:08,"x164369297","NydiaVelazquez","RT @thebeatdc: .@NydiaVelazquez released a report showing that taking away legal protections for #Dreamers could cost the U.S. more than $4…","Twitter Web Client",,,,FALSE,TRUE,0,9,"Dreamers",,,,,,,,,,,,,"x755098969190072320 164369297","thebeatdc NydiaVelazquez","en",,,"x966730047674638336",".@NydiaVelazquez released a report showing that taking away legal protections for #Dreamers could cost the U.S. more than $460 billion in economic output over a decade. https://t.co/re4Qyhobx3 https://t.co/jOijYx0gcQ",,,,,,,,,
"x966714900067291136",2018-02-22 16:42:47,"x164369297","NydiaVelazquez",".@realDonaldTrump Mr. President, rather than tweeting about how great @NRA lobbyists are now might be a time instead to acknowledge the brave kids from #Parkland who are becoming our nation's conscience &amp; working for real action on this issue.  https://t.co/XMVS9qmUb6","Twitter Web Client",,,,TRUE,FALSE,133,57,"Parkland",,"twitter.com/realDonaldTrum…","https://t.co/XMVS9qmUb6","https://twitter.com/realDonaldTrump/status/966681883206668289",,,,,,,,,"x25073877 21829541","realDonaldTrump NRA","en","x966681883206668289","What many people don’t understand, or don’t want to understand, is that Wayne, Chris and the folks who work so hard at the @NRA are Great People and Great American Patriots. They love our Country and will do the right thing.                  MAKE AMERICA GREAT AGAIN!",,,,,,,,,,,
"x966463799753609218",2018-02-22 00:05:00,"x164369297","NydiaVelazquez","A moment of silence won’t ease the suffering in Parkland, FL. I’m calling for swift passage of gun safety legislation so no community knows this pain again. #ParklandTownHall #StudentsDemandAction https://t.co/haoYfznXb5","TweetDeck",,,,FALSE,FALSE,31,19,"ParklandTownHall StudentsDemandAction",,,,,"http://pbs.twimg.com/tweet_video_thumb/DWl2x2SWAAEV7Hy.jpg","https://t.co/haoYfznXb5","https://twitter.com/NydiaVelazquez/status/966463799753609218/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/DWl2x2SWAAEV7Hy.jpg","https://t.co/haoYfznXb5","https://twitter.com/NydiaVelazquez/status/966463799753609218/photo/1",,,,"en",,,,,,,,,,,,,
"x966462792713756672",2018-02-22 00:01:00,"x164369297","NydiaVelazquez","One week ago, these students’ lives were changed forever. Tonight, they’re speaking out for change. #ParklandTownHall https://t.co/1TpGomMg5u","TweetDeck",,,,FALSE,FALSE,38,14,"ParklandTownHall",,"bzfd.it/2HyZHar","https://t.co/1TpGomMg5u","http://bzfd.it/2HyZHar",,,,,,,,,,,"en",,,,,,,,,,,,,
"x966407578510135296",2018-02-21 20:21:36,"x164369297","NydiaVelazquez","RT @Los_Sures: Gracias a el grupo de jovenes que visitaron nuestro ""Senior Center"" para compartir alegrias y risas con nuestros envejecient…","Twitter Web Client",,,,FALSE,TRUE,0,3,,,,,,,,,,,,,,"x1089594517","Los_Sures","es",,,"x966405542154514432","Gracias a el grupo de jovenes que visitaron nuestro ""Senior Center"" para compartir alegrias y risas con nuestros envejecientes. @nycgov @CMReynoso34 @NydiaVelazquez #SeniorCitizens #aging #funday #volunteering #Brooklyn https://t.co/LPeK8EsmgI",,,,,,,,,
