"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x966420639224545280",2018-02-21 21:13:30,"x818536152588238849","RepGonzalez","It was an honor to visit with Hermelinda Walking Woman, a delegate for the @LipanTribe at the @NCAI1944 last week. I am proud to support Native American tribes in #TX15 &amp; #USA https://t.co/ciDyjXHWWv","Twitter for Android",,,,FALSE,FALSE,3,2,"TX15 USA",,,,,"http://pbs.twimg.com/media/DWlqae_XcAAJSeM.jpg","https://t.co/ciDyjXHWWv","https://twitter.com/RepGonzalez/status/966420639224545280/photo/1","photo","http://pbs.twimg.com/media/DWlqae_XcAAJSeM.jpg","https://t.co/ciDyjXHWWv","https://twitter.com/RepGonzalez/status/966420639224545280/photo/1",,"x2565761352 61226587","LipanTribe NCAI1944","en",,,,,,,,,,,,,
"x966052481728950277",2018-02-20 20:50:34,"x818536152588238849","RepGonzalez","It’s a bird! It’s a plane! No, it’s “Super” Ted! On #LoveYourPetDay, I have to give a shout-out to our very own good boy! He really is man’s best friend. https://t.co/OlHqRMRnUq","Twitter Web Client",,,,FALSE,FALSE,4,2,"LoveYourPetDay",,,,,"http://pbs.twimg.com/media/DWgbkd9XUAAhr64.jpg","https://t.co/OlHqRMRnUq","https://twitter.com/RepGonzalez/status/966052481728950277/photo/1","photo","http://pbs.twimg.com/media/DWgbkd9XUAAhr64.jpg","https://t.co/OlHqRMRnUq","https://twitter.com/RepGonzalez/status/966052481728950277/photo/1",,,,"en",,,,,,,,,,,,,
"x965630125663555585",2018-02-19 16:52:17,"x818536152588238849","RepGonzalez","I wish everyone in the 15th District of Texas a happy #PresidentsDay! Who is your favorite U.S. president? Tell me by replying! https://t.co/2oAf5BNDpb","Twitter for Android",,,,FALSE,FALSE,20,5,"PresidentsDay",,,,,"http://pbs.twimg.com/media/DWabeh_W4AM-jyA.jpg","https://t.co/2oAf5BNDpb","https://twitter.com/RepGonzalez/status/965630125663555585/photo/1","photo","http://pbs.twimg.com/media/DWabeh_W4AM-jyA.jpg","https://t.co/2oAf5BNDpb","https://twitter.com/RepGonzalez/status/965630125663555585/photo/1",,,,"en",,,,,,,,,,,,,
"x965295456019460097",2018-02-18 18:42:25,"x818536152588238849","RepGonzalez","Congrats to McAllen resident and small business owner, German Madrazo of Mexico, for competing in the men’s 15k freestyle cross-country skiing competition at the 2018 Winter Olympics.
https://t.co/rV4slJpAFD","Twitter Web Client",,,,FALSE,FALSE,45,15,,,"bit.ly/2C4FsC5","https://t.co/rV4slJpAFD","http://bit.ly/2C4FsC5",,,,,,,,,,,"en",,,,,,,,,,,,,
"x964896635292733441",2018-02-17 16:17:39,"x818536152588238849","RepGonzalez","During Black History Month, we celebrate the diversity, innovation, and achievements of the African-American community. Watch my video message: https://t.co/D3F8kMBNjM","Twitter Web Client",,,,FALSE,FALSE,4,3,,,"bit.ly/2GocTNX","https://t.co/D3F8kMBNjM","http://bit.ly/2GocTNX",,,,,,,,,,,"en",,,,,,,,,,,,,
"x964594156315336704",2018-02-16 20:15:42,"x818536152588238849","RepGonzalez","My fight in Congress to #RepatriateOurPatriots continues. Watch the video below to hear accounts from veterans in the San Antonio area who have seen the deportation of veterans first-hand: https://t.co/VQLNSTbctN","Twitter Web Client",,,,FALSE,FALSE,5,6,"RepatriateOurPatriots",,,,,"http://pbs.twimg.com/ext_tw_video_thumb/964594059791753216/pu/img/GRTERfTs3R8QX5pW.jpg","https://t.co/VQLNSTbctN","https://twitter.com/RepGonzalez/status/964594156315336704/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/964594059791753216/pu/img/GRTERfTs3R8QX5pW.jpg","https://t.co/VQLNSTbctN","https://twitter.com/RepGonzalez/status/964594156315336704/video/1",,,,"en",,,,,,,,,,,,,
"x964228395486863361",2018-02-15 20:02:18,"x818536152588238849","RepGonzalez","Today, I had the pleasure of meeting with 30 students from IDEA Public Schools in Mission and Edinburg, Texas. I am confident that these insightful and intelligent students will go far in life. #TX15 https://t.co/hbwwp5j6AV","Twitter Web Client",,,,FALSE,FALSE,9,5,"TX15",,,,,"http://pbs.twimg.com/media/DWGgf2lW4AAorgz.jpg","https://t.co/hbwwp5j6AV","https://twitter.com/RepGonzalez/status/964228395486863361/photo/1","photo","http://pbs.twimg.com/media/DWGgf2lW4AAorgz.jpg","https://t.co/hbwwp5j6AV","https://twitter.com/RepGonzalez/status/964228395486863361/photo/1",,,,"en",,,,,,,,,,,,,
"x963912792544817152",2018-02-14 23:08:13,"x818536152588238849","RepGonzalez","Thanks to: @AmericanLegion @WWP @VFWHQ @PVA1946 @DAVHQ @Vets4AmerIdeals @AMVETSHQ @VeteransHealth @VAVetBenefits @MOPH_HQ https://t.co/jYeWLtHeS9","Twitter Web Client","x963912700324646912","x818536152588238849","RepGonzalez",FALSE,FALSE,17,6,,,,,,"http://pbs.twimg.com/media/DWCBjVYW4AEMMPL.jpg","https://t.co/jYeWLtHeS9","https://twitter.com/RepGonzalez/status/963912792544817152/photo/1","photo","http://pbs.twimg.com/media/DWCBjVYW4AEMMPL.jpg","https://t.co/jYeWLtHeS9","https://twitter.com/RepGonzalez/status/963912792544817152/photo/1",,"x27048645 33600887 22650398 15946841 22139417 4181734883 776440918467411968 17346287 83922884 3060601913","AmericanLegion wwp VFWHQ PVA1946 DAVHQ Vets4AmerIdeals AMVETSHQ VeteransHealth VAVetBenefits MOPH_HQ","en",,,,,,,,,,,,,
"x963912700324646912",2018-02-14 23:07:51,"x818536152588238849","RepGonzalez","Today, I was honored to sit down with @RepMarkTakano &amp; ten VSOs to discuss the #RepatriateOurPatriots Act, legislation I have introduced to bring home deported veterans. https://t.co/a7sjkF8bwS","Twitter Web Client",,,,FALSE,FALSE,26,11,"RepatriateOurPatriots",,,,,"http://pbs.twimg.com/media/DWCBbpYX4AA1zvQ.jpg","https://t.co/a7sjkF8bwS","https://twitter.com/RepGonzalez/status/963912700324646912/photo/1","photo","http://pbs.twimg.com/media/DWCBbpYX4AA1zvQ.jpg","https://t.co/a7sjkF8bwS","https://twitter.com/RepGonzalez/status/963912700324646912/photo/1",,"x1037321378","RepMarkTakano","en",,,,,,,,,,,,,
"x963846198925852672",2018-02-14 18:43:35,"x818536152588238849","RepGonzalez","Happy #ValentinesDay to my intelligent, compassionate, and beautiful wife, Lorena. Today, I wish you and your loved ones a joyous Valentine’s Day! https://t.co/O9o4Wt2XkW","Twitter Web Client",,,,FALSE,FALSE,5,2,"ValentinesDay",,,,,"http://pbs.twimg.com/media/DWBFAIsWkAAC5wv.jpg","https://t.co/O9o4Wt2XkW","https://twitter.com/RepGonzalez/status/963846198925852672/photo/1","photo","http://pbs.twimg.com/media/DWBFAIsWkAAC5wv.jpg","https://t.co/O9o4Wt2XkW","https://twitter.com/RepGonzalez/status/963846198925852672/photo/1",,,,"en",,,,,,,,,,,,,
"x963535797382238209",2018-02-13 22:10:10,"x818536152588238849","RepGonzalez","Glad to announce that @FEMA has started accepting applications for Fire Prevention and Safety Grants. I encourage eligible entities to visit https://t.co/sxEwPKuqag to apply. https://t.co/fSKbGUXXuw","Twitter Web Client",,,,FALSE,FALSE,0,2,,,"fema.gov/fire-preventio…","https://t.co/sxEwPKuqag","http://fema.gov/fire-prevention-safety-grants","http://pbs.twimg.com/media/DV8or_9W0AAtIm2.jpg","https://t.co/fSKbGUXXuw","https://twitter.com/RepGonzalez/status/963535797382238209/photo/1","photo","http://pbs.twimg.com/media/DV8or_9W0AAtIm2.jpg","https://t.co/fSKbGUXXuw","https://twitter.com/RepGonzalez/status/963535797382238209/photo/1",,"x16669075","fema","en",,,,,,,,,,,,,
"x963413831446880256",2018-02-13 14:05:31,"x818536152588238849","RepGonzalez","Proud to present Edcouch-Elsa ISD with a check for $8.5 million to build state-of-the-art facilities for its Career and Technology Program. Thank you to the Edcouch-Elsa ISD leaders and students in attendance! https://t.co/gJVFcW0enI","Twitter Web Client",,,,FALSE,FALSE,9,3,,,,,,"http://pbs.twimg.com/media/DV67vDHX0AASZvu.jpg","https://t.co/gJVFcW0enI","https://twitter.com/RepGonzalez/status/963413831446880256/photo/1","photo","http://pbs.twimg.com/media/DV67vDHX0AASZvu.jpg","https://t.co/gJVFcW0enI","https://twitter.com/RepGonzalez/status/963413831446880256/photo/1",,,,"en",,,,,,,,,,,,,
"x963180034986070016",2018-02-12 22:36:30,"x818536152588238849","RepGonzalez","Today, I had the pleasure of speaking with the 6th, 7th, and 8th grade classes at Our Lady of Sorrows Catholic School in McAllen, Texas. I enjoyed hearing their thoughts on #democracy and the #Constitution. https://t.co/u5qW0nzFLX","Twitter Web Client",,,,FALSE,FALSE,4,5,"democracy Constitution",,,,,"http://pbs.twimg.com/media/DV3nH0iX4AAmFR4.jpg","https://t.co/u5qW0nzFLX","https://twitter.com/RepGonzalez/status/963180034986070016/photo/1","photo","http://pbs.twimg.com/media/DV3nH0iX4AAmFR4.jpg http://pbs.twimg.com/media/DV3nH0jX4AEO8i1.jpg","https://t.co/u5qW0nzFLX https://t.co/u5qW0nzFLX","https://twitter.com/RepGonzalez/status/963180034986070016/photo/1 https://twitter.com/RepGonzalez/status/963180034986070016/photo/1",,,,"en",,,,,,,,,,,,,
"x963134290241445891",2018-02-12 19:34:43,"x818536152588238849","RepGonzalez","LIVE: Watch my press conference with Edcouch-Elsa ISD leadership announcing the $8.5 million @USDA loan for a new Career and Technology Program building. Click here to watch: https://t.co/gIgSXxRQKw","Twitter Web Client",,,,FALSE,FALSE,0,2,,,"bit.ly/2sph22d","https://t.co/gIgSXxRQKw","http://bit.ly/2sph22d",,,,,,,,,"x61853389","USDA","en",,,,,,,,,,,,,
