"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x966828524484136960",2018-02-23 00:14:17,"x258900199","RepMaloney","What a pleasure to join so many engaged and active constituents and community leaders at @CB2_Manhattan tonight! Your commitment to our community is wonderful to see. I look forward to continuing to work together on the critical issues facing the #Village #NOHO and #SOHO https://t.co/FrtP56Iqew","Twitter for iPhone",,,,FALSE,FALSE,5,3,"Village NOHO SOHO",,,,,"http://pbs.twimg.com/media/DWrdZ5EVMAA79jA.jpg","https://t.co/FrtP56Iqew","https://twitter.com/RepMaloney/status/966828524484136960/photo/1","photo","http://pbs.twimg.com/media/DWrdZ5EVMAA79jA.jpg","https://t.co/FrtP56Iqew","https://twitter.com/RepMaloney/status/966828524484136960/photo/1",,"x3173949178","CB2_Manhattan","en",,,,,,,,,,,,,
"x966784138404683777",2018-02-22 21:17:55,"x258900199","RepMaloney","RT @AAUWPolicy: One way to do that? Pass strong #equalpay legislation like the Paycheck Fairness Act! TY @RepMaloney for your commitment to…","Twitter Web Client",,,,FALSE,TRUE,0,5,"equalpay",,,,,,,,,,,,,"x20015188 258900199","AAUWPolicy RepMaloney","en",,,"x966751353983913985","One way to do that? Pass strong #equalpay legislation like the Paycheck Fairness Act! TY @RepMaloney for your commitment to close the #paygap! #AAPIEqualPay https://t.co/pGh3ulvf40",,,,,,,,,
"x966783777581228032",2018-02-22 21:16:29,"x258900199","RepMaloney","RT @rubendiazjr: Thank you @repjoecrowley @RepEliotEngel @RepMaloney for joining our call to have #NYCHA declare an emergency and fix broke…","Twitter Web Client",,,,FALSE,TRUE,0,6,"NYCHA",,,,,,,,,,,,,"x43763852 111635980 164007407 258900199","rubendiazjr repjoecrowley RepEliotEngel RepMaloney","en",,,"x966720583567323136","Thank you @repjoecrowley @RepEliotEngel @RepMaloney for joining our call to have #NYCHA declare an emergency and fix broken boilers faster! #SOTBx18 https://t.co/gVMenjPfy3",,,,,,,,,
"x966783381483741184",2018-02-22 21:14:54,"x258900199","RepMaloney","RT @cheddar: New York Congresswoman @RepMaloney lays out the steps needed for gun safety which starts with banning 'weapons of war' like ma…","Twitter Web Client",,,,FALSE,TRUE,0,18,,,,,,,,,,,,,,"x700784500658208768 258900199","cheddar RepMaloney","en",,,"x966698579573145600","New York Congresswoman @RepMaloney lays out the steps needed for gun safety which starts with banning 'weapons of war' like machine guns and assault rifles. #CheddarLIVE https://t.co/dlx9wteH03",,,,,,,,,
"x966779808792416256",2018-02-22 21:00:42,"x258900199","RepMaloney","I stand w/ the @FDNY union; we wont allow Trump to jeopardize the healthcare of our #911Heroes. The 83K first responders who risked their lives deserve the best care for prolonged injuries &amp; health issues sustained b/c of their selflessness. #ThankYou https://t.co/c2ob9DPXKq","Hootsuite",,,,FALSE,FALSE,15,14,"911Heroes ThankYou",,"nydailynews.com/new-york/fdny-…","https://t.co/c2ob9DPXKq","http://www.nydailynews.com/new-york/fdny-union-calls-trump-proposal-hit-9-11-responder-agency-article-1.3834623",,,,,,,,,"x134846593","FDNY","en",,,,,,,,,,,,,
"x966764714071031810",2018-02-22 20:00:44,"x258900199","RepMaloney","No topic should ever be considered to controversial to even study. We must repeal the Dickey Amendment, allow nonpartisan CDC research and properly fund it. @SpeakerRyan has said we need data - if he means it, let’s vote on it. #NeverAgain #EndGunViolence https://t.co/Laj1UGD5u5","Hootsuite",,,,FALSE,FALSE,37,21,"NeverAgain EndGunViolence",,"thehill.com/policy/healthc…","https://t.co/Laj1UGD5u5","http://thehill.com/policy/healthcare/374955-house-dems-call-for-vote-on-lifting-gun-violence-research-limits",,,,,,,,,"x18916432","SpeakerRyan","en",,,,,,,,,,,,,
"x966758274640023553",2018-02-22 19:35:08,"x258900199","RepMaloney","Americans are 25X more likely to be shot &amp; killed w/ a gun than people in other developed countries (h/t @Everytown). #Parkland victims need more than thoughts &amp; prayers, they need action. Let's pass @RepCarbajal, @RepEsty &amp; @RepDonBeyer's #GVRO Act now. https://t.co/ONhqVQRt7Q","Hootsuite",,,,FALSE,FALSE,47,30,"Parkland GVRO",,"reuters.com/article/us-flo…","https://t.co/ONhqVQRt7Q","https://www.reuters.com/article/us-florida-shooting-law-analysis/gun-restraining-order-might-have-thwarted-florida-shooting-experts-idUSKCN1FZ30X",,,,,,,,,"x250386727 816157667882373120 1060984272 2962868158","Everytown RepCarbajal RepEsty RepDonBeyer","en",,,,,,,,,,,,,
"x966749557827756033",2018-02-22 19:00:30,"x258900199","RepMaloney","AAPI women work 2 extra months to be paid what a white man is paid in a year. Unacceptable. 58% of Asian American women and 63% of Native Hawaiian and Pacific Islander women are mothers with children under the age of 19. They need #AAPIEqualPay now.","Hootsuite",,,,FALSE,FALSE,18,9,"AAPIEqualPay",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x966720563187154945",2018-02-22 17:05:17,"x258900199","RepMaloney",".@marcorubio should be less concerned about whether “people buy into [his] agenda” &amp; more concerned about buying into FL’s agenda! He swore to serve &amp; protect, yet children are being murdered. We must #EndGunViolenceNow. #NoNRAMoney https://t.co/USSetxlXEi","Hootsuite",,,,FALSE,FALSE,17,5,"EndGunViolenceNow NoNRAMoney",,"cnn.com/2018/02/21/pol…","https://t.co/USSetxlXEi","https://www.cnn.com/2018/02/21/politics/rubio-nra-money-cameron-kasky/index.html",,,,,,,,,"x15745368","marcorubio","en",,,,,,,,,,,,,
"x966711741815115776",2018-02-22 16:30:14,"x258900199","RepMaloney","Such an honor &amp; delight to meet Chris @mazdzer this AM! Congrats to the first American to win Olympic silver in men’s singles luge competition! Proud that he was able to train with Team USA Luge in Lake Placid thanks to investment from @NYGovCuomo! #TeamUSA #Pyeongchang2018 #Luge https://t.co/qk1Sx0KMDM","Twitter for iPhone",,,,FALSE,FALSE,8,2,"TeamUSA Pyeongchang2018 Luge",,,,,"http://pbs.twimg.com/media/DWpzMCrXkAEDLtq.jpg","https://t.co/qk1Sx0KMDM","https://twitter.com/RepMaloney/status/966711741815115776/photo/1","photo","http://pbs.twimg.com/media/DWpzMCrXkAEDLtq.jpg","https://t.co/qk1Sx0KMDM","https://twitter.com/RepMaloney/status/966711741815115776/photo/1",,"x886896218 232268199","mazdzer NYGovCuomo","en",,,,,,,,,,,,,
