"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x966792692024954885",2018-02-22 21:51:54,"x2953713339","RepEvanJenkins",".@MarshallU Professor Burnis Morris organizes the Carter G. Woodson Lyceum to honor Black History Month, and this year, it was my honor to invite @LibnOfCongress Carla Hayden to join us for this important event. Thank you, Dr. Hayden, for inspiring our students! @MarshalluPres https://t.co/wb5zzvhzbS","Twitter Web Client",,,,FALSE,FALSE,9,4,,,,,,"http://pbs.twimg.com/media/DWq8rXrWAAETV5u.jpg","https://t.co/wb5zzvhzbS","https://twitter.com/RepEvanJenkins/status/966792692024954885/photo/1","photo","http://pbs.twimg.com/media/DWq8rXrWAAETV5u.jpg http://pbs.twimg.com/media/DWq8wH_XkAA3GdF.jpg http://pbs.twimg.com/media/DWq8vpNXcAAgRf2.jpg http://pbs.twimg.com/media/DWq8vowWkAoWJ5x.jpg","https://t.co/wb5zzvhzbS https://t.co/wb5zzvhzbS https://t.co/wb5zzvhzbS https://t.co/wb5zzvhzbS","https://twitter.com/RepEvanJenkins/status/966792692024954885/photo/1 https://twitter.com/RepEvanJenkins/status/966792692024954885/photo/1 https://twitter.com/RepEvanJenkins/status/966792692024954885/photo/1 https://twitter.com/RepEvanJenkins/status/966792692024954885/photo/1",,"x18009532 774337933893636096 2980244049","marshallu LibnOfCongress MarshalluPres","en",,,,,,,,,,,,,
"x966760583600144384",2018-02-22 19:44:19,"x2953713339","RepEvanJenkins","I’m saddened to learn of the death of James Whitlock, one of West Virginia’s hardworking miners. Coal miners are truly a family, and today, that family is united in sorrow. I join all West Virginians in sending our condolences and prayers to his family, friends and fellow miners.","Twitter Web Client",,,,FALSE,FALSE,12,10,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x966424125823623168",2018-02-21 21:27:21,"x2953713339","RepEvanJenkins","RT @LibnOfCongress: Minutes before the Black History Month Celebration at @marshallu @woodsonlyceum.  I’m joined by @SenCapito @HuntingtonM…","Twitter Web Client",,,,FALSE,TRUE,0,14,,,,,,,,,,,,,,"x774337933893636096 18009532 744610632348086272 193794406","LibnOfCongress marshallu woodsonlyceum SenCapito","en",,,"x966419672446001152","Minutes before the Black History Month Celebration at @marshallu @woodsonlyceum.  I’m joined by @SenCapito @HuntingtonMayor @RepEvanJenkins @MarshalluPres and Prof Burnis Morris. https://t.co/1F6VShop50",,,,,,,,,
"x966414819820650496",2018-02-21 20:50:22,"x2953713339","RepEvanJenkins","Today I joined @SenCapito and local business leaders to discuss how the recently passed Tax Cuts &amp; Jobs Act will help small businesses grow, hire, and invest more back into their companies. Families are seeing more money in their paychecks now! https://t.co/ElixuECpA5","Twitter Web Client",,,,FALSE,FALSE,9,5,,,,,,"http://pbs.twimg.com/media/DWlk_PTXkAEaE7y.jpg","https://t.co/ElixuECpA5","https://twitter.com/RepEvanJenkins/status/966414819820650496/photo/1","photo","http://pbs.twimg.com/media/DWlk_PTXkAEaE7y.jpg http://pbs.twimg.com/media/DWllC7PXUAEVI9b.jpg http://pbs.twimg.com/media/DWllDX0W4AIcYuv.jpg http://pbs.twimg.com/media/DWllD7pX0AA1crL.jpg","https://t.co/ElixuECpA5 https://t.co/ElixuECpA5 https://t.co/ElixuECpA5 https://t.co/ElixuECpA5","https://twitter.com/RepEvanJenkins/status/966414819820650496/photo/1 https://twitter.com/RepEvanJenkins/status/966414819820650496/photo/1 https://twitter.com/RepEvanJenkins/status/966414819820650496/photo/1 https://twitter.com/RepEvanJenkins/status/966414819820650496/photo/1",,"x193794406","SenCapito","en",,,,,,,,,,,,,
"x966413864882593792",2018-02-21 20:46:35,"x2953713339","RepEvanJenkins","RT @NINDSdirector: “Thank you @RepEvanJenkins for inviting us to visit with the many heroes in Huntington #WestVirginia who are role models…","Twitter Web Client",,,,FALSE,TRUE,0,2,"WestVirginia",,,,,,,,,,,,,"x2980236053 2953713339","NINDSdirector RepEvanJenkins","en",,,"x966400150573694978","“Thank you @RepEvanJenkins for inviting us to visit with the many heroes in Huntington #WestVirginia who are role models for anyone passionate about turning back the tied of #opioid use disorder in our country. https://t.co/wJbYCPPgrt",,,,,,,,,
"x966377293198385152",2018-02-21 18:21:15,"x2953713339","RepEvanJenkins","RT @ChamberAlerts: U.S. Senator Shelley Moore Capito and Congressman Evan Jenkins met with Huntington business leaders today to discuss tax…","Twitter Web Client",,,,FALSE,TRUE,0,4,,,,,,,,,,,,,,"x179188277","ChamberAlerts","en",,,"x966364537581719552","U.S. Senator Shelley Moore Capito and Congressman Evan Jenkins met with Huntington business leaders today to discuss tax reform and address questions concerning the changes. https://t.co/XybiGyGjfl",,,,,,,,,
"x966376016712265729",2018-02-21 18:16:11,"x2953713339","RepEvanJenkins","RT @SenCapito: .@RepEvanJenkins and I sat down with small business owners and other local leaders over lunch to talk about how #taxreform i…","Twitter Web Client",,,,FALSE,TRUE,0,8,"taxreform",,,,,,,,,,,,,"x193794406 2953713339","SenCapito RepEvanJenkins","en",,,"x966372837765386241",".@RepEvanJenkins and I sat down with small business owners and other local leaders over lunch to talk about how #taxreform is creating new opportunities in the Huntington area, as well as other solutions that can help our economy continue to grow. https://t.co/5tT2DqpmG9",,,,,,,,,
"x966375539756994560",2018-02-21 18:14:17,"x2953713339","RepEvanJenkins","President Trump’s infrastructure plan prioritizes local priorities and local decision making – after all, who knows better what West Virginia needs than the people who call West Virginia home. @BDTonline https://t.co/AzjPkIGrsF","Twitter Web Client",,,,FALSE,FALSE,3,2,,,"bdtonline.com/opinion/column…","https://t.co/AzjPkIGrsF","http://www.bdtonline.com/opinion/columns/trump-s-infrastructure-plan-fits-w-va/article_be6183f8-493e-558b-a87d-1a0bfe7353a4.html",,,,,,,,,"x140628376","BDTonline","en",,,,,,,,,,,,,
"x966317477209796608",2018-02-21 14:23:34,"x2953713339","RepEvanJenkins","Rev. Billy Graham ministered to presidents &amp; parishioners alike, encouraging millions to deepen their walk with the Lord. His compassion, humility &amp; faith inspire us all. We give thanks for his life and know that he will hear the words, “Well done, my good and faithful servant.”","Twitter Web Client",,,,FALSE,FALSE,14,6,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x966071580894822405",2018-02-20 22:06:28,"x2953713339","RepEvanJenkins","I invited Dr. Walter Koroshetz, director of the NIH’s National Institute of Neurological Disorders and Stroke, to Huntington today to see how we are combating the drug epidemic on the front lines. @lilysplacewv @marshallu @CHHNews https://t.co/b1j3A73Foh","Twitter for iPhone",,,,FALSE,FALSE,6,3,,,,,,"http://pbs.twimg.com/media/DWgs-G2UQAAART-.jpg","https://t.co/b1j3A73Foh","https://twitter.com/RepEvanJenkins/status/966071580894822405/photo/1","photo","http://pbs.twimg.com/media/DWgs-G2UQAAART-.jpg http://pbs.twimg.com/media/DWgs-G3VwAEYA4f.jpg http://pbs.twimg.com/media/DWgs-G4VQAAi5jw.jpg http://pbs.twimg.com/media/DWgs-G3VMAA1rNF.jpg","https://t.co/b1j3A73Foh https://t.co/b1j3A73Foh https://t.co/b1j3A73Foh https://t.co/b1j3A73Foh","https://twitter.com/RepEvanJenkins/status/966071580894822405/photo/1 https://twitter.com/RepEvanJenkins/status/966071580894822405/photo/1 https://twitter.com/RepEvanJenkins/status/966071580894822405/photo/1 https://twitter.com/RepEvanJenkins/status/966071580894822405/photo/1",,"x1259766421 18009532 33663014","LilysPlaceWV marshallu CHHnews","en",,,,,,,,,,,,,
"x966069079479144448",2018-02-20 21:56:31,"x2953713339","RepEvanJenkins","RT @MUSOMWV: Thank you @RepEvanJenkins for your efforts in arranging this visit.","Twitter Web Client",,,,FALSE,TRUE,0,2,,,,,,,,,,,,,,"x2420915022 2953713339","MUSOMWV RepEvanJenkins","en",,,"x966068432608419846","Thank you @RepEvanJenkins for your efforts in arranging this visit.",,,,,,,,,
"x966068663177678849",2018-02-20 21:54:52,"x2953713339","RepEvanJenkins","RT @MUSOMWV: .@NIH's Koroshetz, his team and @RepEvanJenkins met with @MUSOMWV researchers, clinicians and students during the visit. The g…","Twitter Web Client",,,,FALSE,TRUE,0,4,,,,,,,,,,,,,,"x2420915022 15134240 2953713339 2420915022","MUSOMWV NIH RepEvanJenkins MUSOMWV","en",,,"x966068254669262853",".@NIH's Koroshetz, his team and @RepEvanJenkins met with @MUSOMWV researchers, clinicians and students during the visit. The group also visited @LilysPlaceWV and @CHHnews. @CharlotteRCBI https://t.co/qmUbf45GhX",,,,,,,,,
"x966068652012396545",2018-02-20 21:54:49,"x2953713339","RepEvanJenkins","RT @MUSOMWV: Walter Koroshetz, MD, of @NIH's National Institute of Neurological Disorders &amp; Stroke, other health care officials from NIH an…","Twitter Web Client",,,,FALSE,TRUE,0,7,,,,,,,,,,,,,,"x2420915022 15134240","MUSOMWV NIH","en",,,"x966067563145973760","Walter Koroshetz, MD, of @NIH's National Institute of Neurological Disorders &amp; Stroke, other health care officials from NIH and @RepEvanJenkins visited @MUSOMWV today to learn more about our #research &amp; clinical outreach related to #addiction. @CharlotteRCBI @MarshalluPres https://t.co/yyMGISLn98",,,,,,,,,
