"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x966850873413525505",2018-02-23 01:43:06,"x815931811348017152","RepJohnFaso","The Coast Guard plays an important role in managing the waterways of Upstate New York. I joined one of their teams on the Hudson River to learn more about their operations. https://t.co/l5ft9BN3UK","Twitter Web Client",,,,FALSE,FALSE,3,4,,,,,,"http://pbs.twimg.com/media/DWrxDVIU8AA7KEQ.jpg","https://t.co/l5ft9BN3UK","https://twitter.com/RepJohnFaso/status/966850873413525505/photo/1","photo","http://pbs.twimg.com/media/DWrxDVIU8AA7KEQ.jpg","https://t.co/l5ft9BN3UK","https://twitter.com/RepJohnFaso/status/966850873413525505/photo/1",,,,"en",,,,,,,,,,,,,
"x966722891168575488",2018-02-22 17:14:32,"x815931811348017152","RepJohnFaso","Angela deserves recognition and praise for bringing a potential threat to the attention of law enforcement. Thank you Angela for doing the right thing and helping to protect your community. https://t.co/BqlgROW2M4","Twitter Web Client",,,,FALSE,FALSE,8,5,,,"poughkeepsiejournal.com/story/news/loc…","https://t.co/BqlgROW2M4","https://www.poughkeepsiejournal.com/story/news/local/2018/02/21/arlington-student-vermont-school-shooting/351429002/",,,,,,,,,,,"en",,,,,,,,,,,,,
"x966436623381561345",2018-02-21 22:17:01,"x815931811348017152","RepJohnFaso","Local baseball bat producer Tim Haney of Cooperstown Bat Company brought some of his bats to spring training for the professionals to try out. He caught the attention of Jose Altuve of the Astros and @ESPN. Read more about Tim’s trip to Spring Training: https://t.co/b6mrO0SBRc","Twitter Web Client",,,,FALSE,FALSE,8,3,,,"allotsego.com/cooperstown-ba…","https://t.co/b6mrO0SBRc","http://www.allotsego.com/cooperstown-bat-company-featured-on-espn-segment-at-astros-camp/",,,,,,,,,"x2557521","espn","en",,,,,,,,,,,,,
"x966340859762565126",2018-02-21 15:56:29,"x815931811348017152","RepJohnFaso","Last week, I asked an @Amtrak representative about the difficulty of implementing new rail safety measures. New technology, such as PTC, is a significant step in improving rail safety. https://t.co/lze5gFN4LO","Media Studio",,,,FALSE,FALSE,7,2,,,,,,"http://pbs.twimg.com/amplify_video_thumb/966338746621878273/img/MbBBJpLOVuQs5JwO.jpg","https://t.co/lze5gFN4LO","https://twitter.com/RepJohnFaso/status/966340859762565126/video/1","photo","http://pbs.twimg.com/amplify_video_thumb/966338746621878273/img/MbBBJpLOVuQs5JwO.jpg","https://t.co/lze5gFN4LO","https://twitter.com/RepJohnFaso/status/966340859762565126/video/1",,"x119166791","Amtrak","en",,,,,,,,,,,,,
"x966103928076054528",2018-02-21 00:15:00,"x815931811348017152","RepJohnFaso","Tax filing deadlines are approaching. The @IRSnews website contains information about numerous tax filing assistance programs. Read about these free programs for qualifying filers: https://t.co/8b3k9DJsIv","TweetDeck",,,,FALSE,FALSE,5,6,,,"irs.gov/individuals/fr…","https://t.co/8b3k9DJsIv","https://www.irs.gov/individuals/free-tax-return-preparation-for-you-by-volunteers",,,,,,,,,"x72631996","IRSnews","en",,,,,,,,,,,,,
"x966071618203279361",2018-02-20 22:06:37,"x815931811348017152","RepJohnFaso","Fully automatic weapons are subject to highly restrictive regulation and any device that essentially turns a semiautomatic weapon into an automatic weapon should be treated similarly. I agree w/ Pres. Trump's decision to direct the DoJ to ban bump stocks. https://t.co/ZajXaeBT1d","Twitter Web Client",,,,FALSE,FALSE,16,4,,,"nytimes.com/2018/02/20/us/…","https://t.co/ZajXaeBT1d","https://www.nytimes.com/2018/02/20/us/politics/trump-bump-stocks.html",,,,,,,,,,,"en",,,,,,,,,,,,,
"x966049683184504833",2018-02-20 20:39:27,"x815931811348017152","RepJohnFaso","Mail carrier Tab Eigenbrodt knew something was wrong when his customer didn’t pick up the mail for 3 days. His resulting actions saved the customer’s life. Read more about this local hero: 
https://t.co/0y6ayPT3ox","Twitter Web Client",,,,FALSE,FALSE,4,4,,,"columbiapaper.com/2018/02/mail-c…","https://t.co/0y6ayPT3ox","https://www.columbiapaper.com/2018/02/mail-carrier-eigenbrodt-receives-award-heroism/#more-12953",,,,,,,,,,,"en",,,,,,,,,,,,,
"x965649191996481536",2018-02-19 18:08:02,"x815931811348017152","RepJohnFaso","Celebrated on the third Monday of February, Presidents' Day honors all of those who have served as President of the United States and their leadership that has shaped our nation. https://t.co/4HqdOHqUIi","Twitter Web Client",,,,FALSE,FALSE,11,3,,,,,,"http://pbs.twimg.com/media/DWary0WW0AAo-Xn.jpg","https://t.co/4HqdOHqUIi","https://twitter.com/RepJohnFaso/status/965649191996481536/photo/1","photo","http://pbs.twimg.com/media/DWary0WW0AAo-Xn.jpg","https://t.co/4HqdOHqUIi","https://twitter.com/RepJohnFaso/status/965649191996481536/photo/1",,,,"en",,,,,,,,,,,,,
"x965314628740898817",2018-02-18 19:58:36,"x815931811348017152","RepJohnFaso","I had the pleasure of attending a dedication in Valatie for two new homes built by Columbia County Habitat for Humanity. This project is a wonderful example of community volunteerism. Read more:
https://t.co/q8I1vNx9fv https://t.co/ZPTjaUUEPZ","Twitter Web Client",,,,FALSE,FALSE,11,7,,,"hudsonvalley360.com/article/first-…","https://t.co/q8I1vNx9fv","https://www.hudsonvalley360.com/article/first-time-homeowners-open-door-new-life","http://pbs.twimg.com/media/DWV8g6RVQAAfkIJ.jpg","https://t.co/ZPTjaUUEPZ","https://twitter.com/RepJohnFaso/status/965314628740898817/photo/1","photo","http://pbs.twimg.com/media/DWV8g6RVQAAfkIJ.jpg","https://t.co/ZPTjaUUEPZ","https://twitter.com/RepJohnFaso/status/965314628740898817/photo/1",,,,"en",,,,,,,,,,,,,
"x965013930220425216",2018-02-18 00:03:44,"x815931811348017152","RepJohnFaso","I joined three of my New York colleagues in sending a letter to the Governor urging him to nominate Upstate New York for the new Opportunity Zones program, which will spur private investment in the region: https://t.co/7NIscbdZ1N","Twitter Web Client",,,,FALSE,FALSE,18,8,,,"auburnpub.com/blogs/eye_on_n…","https://t.co/7NIscbdZ1N","http://auburnpub.com/blogs/eye_on_ny/stefanik-ny-reps-ask-cuomo-to-nominate-upstate-for-community/article_ad497736-134a-11e8-b59c-a3e081f92ffb.html",,,,,,,,,,,"en",,,,,,,,,,,,,
