"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x966434865422979072",2018-02-21 22:10:02,"x22055226","replouiegohmert","#OnThisDay in 1885, the Washington Monument was formally dedicated. Towering over the city of Washington, D.C. at 555 feet, this monument proudly stands as a constant reminder of our nation’s first President and matchless leader, George Washington. https://t.co/mFdGOzHhbl","Twitter for iPhone",,,,FALSE,FALSE,157,61,"OnThisDay",,,,,"http://pbs.twimg.com/media/DWl3YoHXcAEOUww.jpg","https://t.co/mFdGOzHhbl","https://twitter.com/replouiegohmert/status/966434865422979072/photo/1","photo","http://pbs.twimg.com/media/DWl3YoHXcAEOUww.jpg","https://t.co/mFdGOzHhbl","https://twitter.com/replouiegohmert/status/966434865422979072/photo/1",,,,"en",,,,,,,,,,,,,
"x966322138939576320",2018-02-21 14:42:05,"x22055226","replouiegohmert","My home is in Heaven. I'm just traveling through this world. - #BillyGraham","Hootsuite",,,,FALSE,FALSE,507,132,"BillyGraham",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x966307583165456384",2018-02-21 13:44:15,"x22055226","replouiegohmert","Legendary Evangelist Billy Graham Dies at Age 99 — Here’s His Incredible Life Story https://t.co/c1Ay5tnzTP via @faithwirenews","Twitter for iPhone",,,,FALSE,FALSE,268,120,,,"faithwire.com/2018/02/21/leg…","https://t.co/c1Ay5tnzTP","http://www.faithwire.com/2018/02/21/legendary-evangelist-billy-graham-dies-at-age-99-heres-his-incredible-life-story/",,,,,,,,,"x727556269113004033","faithwirenews","en",,,,,,,,,,,,,
"x965653700319633408",2018-02-19 18:25:57,"x22055226","replouiegohmert","We take this #PresidentsDay day to honor the monumental leaders who played such an important role in the forming of our great nation. https://t.co/XTib3VFHWN","Twitter for iPhone",,,,FALSE,FALSE,301,84,"PresidentsDay",,,,,"http://pbs.twimg.com/media/DWaw6sIVoAAiZZd.jpg","https://t.co/XTib3VFHWN","https://twitter.com/replouiegohmert/status/965653700319633408/photo/1","photo","http://pbs.twimg.com/media/DWaw6sIVoAAiZZd.jpg","https://t.co/XTib3VFHWN","https://twitter.com/replouiegohmert/status/965653700319633408/photo/1",,,,"en",,,,,,,,,,,,,
"x964840630546567168",2018-02-17 12:35:06,"x22055226","replouiegohmert","RT @govtrack: H.R. 582 by @RepLouieGohmert was enacted (signed by President) yesterday. Kari’s Law Act of 2017 https://t.co/z1YpO2E5u4 🏛️","Twitter for iPhone",,,,FALSE,TRUE,0,51,,,"govtrack.us/congress/bills…","https://t.co/z1YpO2E5u4","https://www.govtrack.us/congress/bills/115/hr582",,,,,,,,,"x52052011 22055226","govtrack replouiegohmert","en",,,"x964831827604180994","H.R. 582 by @RepLouieGohmert was enacted (signed by President) yesterday. Kari’s Law Act of 2017 https://t.co/z1YpO2E5u4 🏛️",,,,,,,,,
"x964588930455785479",2018-02-16 19:54:56,"x22055226","replouiegohmert","RT @EastTexasNow: President @realDonaldTrump signed #KarisLaw this afternoon on the 50th anniversary of 911 systems in the U.S. Watch a #KL…","Twitter for iPhone",,,,FALSE,TRUE,0,32,"KarisLaw",,,,,,,,,,,,,"x887028016576163840 25073877","EastTexasNow realDonaldTrump","en",,,"x964588477089185798","President @realDonaldTrump signed #KarisLaw this afternoon on the 50th anniversary of 911 systems in the U.S. Watch a #KLTV exclusive interview with the family: https://t.co/uFu8yvUhI5 https://t.co/EsCizJpSHq",,,,,,,,,
"x964586786092716032",2018-02-16 19:46:25,"x22055226","replouiegohmert","It was my honor to present the Hunt family with an American flag flown over the United States Capitol in Washington, D.C. to commemorate the presidential signing of #KarisLaw https://t.co/3PLdaleifo","Twitter for iPhone",,,,FALSE,FALSE,166,50,"KarisLaw",,,,,"http://pbs.twimg.com/media/DWLmj_PV4AACjmU.jpg","https://t.co/3PLdaleifo","https://twitter.com/replouiegohmert/status/964586786092716032/photo/1","photo","http://pbs.twimg.com/media/DWLmj_PV4AACjmU.jpg","https://t.co/3PLdaleifo","https://twitter.com/replouiegohmert/status/964586786092716032/photo/1",,,,"en",,,,,,,,,,,,,
"x964586211061968896",2018-02-16 19:44:08,"x22055226","replouiegohmert","https://t.co/3j4aPebmrK","Twitter for iPhone",,,,FALSE,FALSE,74,26,,,,,,"http://pbs.twimg.com/media/DWLmCx1VQAENmZG.jpg","https://t.co/3j4aPebmrK","https://twitter.com/replouiegohmert/status/964586211061968896/photo/1","photo","http://pbs.twimg.com/media/DWLmCx1VQAENmZG.jpg","https://t.co/3j4aPebmrK","https://twitter.com/replouiegohmert/status/964586211061968896/photo/1",,,,"und",,,,,,,,,,,,,
"x964537707971084288",2018-02-16 16:31:24,"x22055226","replouiegohmert","Today is monumental -- no longer should a child, or anyone for that matter, pick up the phone to call for help and get nothing: https://t.co/lRaRGscKts #KarisLaw","Hootsuite",,,,FALSE,FALSE,123,46,"KarisLaw",,"gohmert.house.gov/news/documents…","https://t.co/lRaRGscKts","https://gohmert.house.gov/news/documentsingle.aspx?DocumentID=398622",,,,,,,,,,,"en",,,,,,,,,,,,,
"x964537490689482753",2018-02-16 16:30:32,"x22055226","replouiegohmert","Today is bittersweet for so many reasons. The Hunt family will witness President @realDonaldTrump signing legislation bearing their loved one’s namesake into law. Link to statement: https://t.co/uk5P4OtxRZ #KarisLaw #TX01","Hootsuite",,,,FALSE,FALSE,99,40,"KarisLaw TX01",,"bit.ly/2sBN7no","https://t.co/uk5P4OtxRZ","http://bit.ly/2sBN7no",,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,
"x964177091058130944",2018-02-15 16:38:26,"x22055226","replouiegohmert","Happy birthday, Susan B. Anthony. A woman whose courage and devotion changed the course of women's rights in America! https://t.co/9boAoMp2vr","Twitter for iPhone",,,,FALSE,FALSE,164,64,,,,,,"http://pbs.twimg.com/media/DWFx88XWkAEn4Ng.jpg","https://t.co/9boAoMp2vr","https://twitter.com/replouiegohmert/status/964177091058130944/photo/1","photo","http://pbs.twimg.com/media/DWFx88XWkAEn4Ng.jpg","https://t.co/9boAoMp2vr","https://twitter.com/replouiegohmert/status/964177091058130944/photo/1",,,,"en",,,,,,,,,,,,,
"x964170845047414789",2018-02-15 16:13:37,"x22055226","replouiegohmert","RT @NatResources: .@RepLouieGohmert, you're not wrong. 
#BorderSecurity https://t.co/Fzebpm2w8q","Twitter for iPhone",,,,FALSE,TRUE,0,63,"BorderSecurity",,,,,"http://pbs.twimg.com/media/DWFr4EhW0AAno9n.jpg","https://t.co/Fzebpm2w8q","https://twitter.com/NatResources/status/964170627144912897/photo/1","photo","http://pbs.twimg.com/media/DWFr4EhW0AAno9n.jpg","https://t.co/Fzebpm2w8q","https://twitter.com/NatResources/status/964170627144912897/photo/1",,"x41445718 22055226","NatResources replouiegohmert","en",,,"x964170627144912897",".@RepLouieGohmert, you're not wrong. 
#BorderSecurity https://t.co/Fzebpm2w8q",,,,,,,,,
"x964129117376536577",2018-02-15 13:27:48,"x22055226","replouiegohmert","TODAY at 9AM CT: @NatResources holds an oversight hearing, “The Costs of Denying Border Patrol Access: Our Environment and Security."" WATCH LIVE HERE: https://t.co/PBaKPfr50t","Hootsuite",,,,FALSE,FALSE,73,42,,,"naturalresources.house.gov/calendar/event…","https://t.co/PBaKPfr50t","https://naturalresources.house.gov/calendar/eventsingle.aspx?EventID=403933",,,,,,,,,"x41445718","NatResources","en",,,,,,,,,,,,,
"x963880161610469378",2018-02-14 20:58:33,"x22055226","replouiegohmert","Prayers for the students, teachers, families &amp; first responders in Parkland, FL. https://t.co/sQsH6W04tc","Twitter for iPhone",,,,TRUE,FALSE,541,127,,,"twitter.com/foxnews/status…","https://t.co/sQsH6W04tc","https://twitter.com/foxnews/status/963867570829971456",,,,,,,,,,,"en","x963867570829971456","BREAKING: @browardsheriff responding to report of active shooter situation at Florida high school; victims reported https://t.co/0lvduE2WHd",,,,,,,,,,,
"x963829682188759041",2018-02-14 17:37:57,"x22055226","replouiegohmert","RT @HouseGOP: Roses are red
Violets are blue
A bonus is great
And tax cuts are, too!
#ValentinesDay https://t.co/U2wmcOwANE","Twitter for iPhone",,,,FALSE,TRUE,0,232,"ValentinesDay",,,,,"http://pbs.twimg.com/media/DWAJrpmWsAA68Yi.jpg","https://t.co/U2wmcOwANE","https://twitter.com/HouseGOP/status/963827445093646336/photo/1","photo","http://pbs.twimg.com/media/DWAJrpmWsAA68Yi.jpg","https://t.co/U2wmcOwANE","https://twitter.com/HouseGOP/status/963827445093646336/photo/1",,"x15207668","HouseGOP","en",,,"x963827445093646336","Roses are red
Violets are blue
A bonus is great
And tax cuts are, too!
#ValentinesDay https://t.co/U2wmcOwANE",,,,,,,,,
"x963816307329261573",2018-02-14 16:44:49,"x22055226","replouiegohmert","Being the number one cause of death in men and women across America, we must raise awareness for such a terrible illness. Let’s stand together. #HeartDiseaseAwareness","Hootsuite",,,,FALSE,FALSE,154,42,"HeartDiseaseAwareness",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
