"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x967098458246123520",2018-02-23 18:06:54,"x293131808","PattyMurray","When it comes to the opioid epidemic, anyone who thinks it isn't impacting their community just isn’t listening. This is hurting people and families across the country. https://t.co/kw61sefgVw","TweetDeck",,,,FALSE,FALSE,72,26,,,"heraldnet.com/news/drug-abus…","https://t.co/kw61sefgVw","http://www.heraldnet.com/news/drug-abuse-victims-users-share-how-opioids-have-affected-them/",,,,,,,,,,,"en",,,,,,,,,,,,,
"x966751978532503552",2018-02-22 19:10:07,"x293131808","PattyMurray","58 percent of Asian American women and 63 percent of Native Hawaiian and Pacific Islander women are mothers with children under the age of 19. They need #AAPIEqualPay now. https://t.co/beRbQLfuOi","TweetDeck",,,,FALSE,FALSE,129,67,"AAPIEqualPay",,,,,"http://pbs.twimg.com/media/DWqXtfgWsAIJkZ4.png","https://t.co/beRbQLfuOi","https://twitter.com/PattyMurray/status/966751978532503552/photo/1","photo","http://pbs.twimg.com/media/DWqXtfgWsAIJkZ4.png","https://t.co/beRbQLfuOi","https://twitter.com/PattyMurray/status/966751978532503552/photo/1",,,,"en",,,,,,,,,,,,,
"x966709031753732096",2018-02-22 16:19:28,"x293131808","PattyMurray","She started a nonprofit to deliver supplies to veterans sleeping in tents around Seattle. Thank you, Monique, for everything you've done for our country &amp; your fellow veterans. We must all commit to do more to make sure those who served are never forced to sleep on the streets. https://t.co/gA3JuUiCvq","TweetDeck",,,,TRUE,FALSE,373,92,,,"twitter.com/PattyMurray/st…","https://t.co/gA3JuUiCvq","https://twitter.com/PattyMurray/status/966708914023813121",,,,,,,,,,,"en","x966708914023813121","Meet Monique Brown, an Army veteran who did two tours in Iraq, before dedicating her time &amp; passion to helping her fellow veterans in need. https://t.co/waMS5lTZPn",,,,,,,,,,,
"x966708914023813121",2018-02-22 16:19:00,"x293131808","PattyMurray","Meet Monique Brown, an Army veteran who did two tours in Iraq, before dedicating her time &amp; passion to helping her fellow veterans in need. https://t.co/waMS5lTZPn","TweetDeck",,,,FALSE,FALSE,144,29,,,,,,"http://pbs.twimg.com/media/DWpwg7GV4AA84p3.jpg","https://t.co/waMS5lTZPn","https://twitter.com/PattyMurray/status/966708914023813121/photo/1","photo","http://pbs.twimg.com/media/DWpwg7GV4AA84p3.jpg","https://t.co/waMS5lTZPn","https://twitter.com/PattyMurray/status/966708914023813121/photo/1",,,,"en",,,,,,,,,,,,,
"x966494753457045504",2018-02-22 02:08:00,"x293131808","PattyMurray","Sadly, the shock and pain families and students in Florida are going through right now, is not new or rare in our country. We must act to end these senseless acts of violence in our schools and communities. https://t.co/v0hC2jOFuX","TweetDeck",,,,FALSE,FALSE,339,92,,,"columbian.com/news/2018/feb/…","https://t.co/v0hC2jOFuX","http://www.columbian.com/news/2018/feb/18/in-our-view-this-is-not-normal/",,,,,,,,,,,"en",,,,,,,,,,,,,
"x966485244177088513",2018-02-22 01:30:13,"x293131808","PattyMurray","Our military caregivers do more than provide vital care—they make it possible for the men &amp; women who sacrificed for our country to live healthy, independent lives. We should be doing everything we can to support them. https://t.co/j1k6GQEyIi","Twitter Web Client",,,,TRUE,FALSE,148,49,,,"twitter.com/DoleFoundation…","https://t.co/j1k6GQEyIi","https://twitter.com/DoleFoundation/status/966443357907009536",,,,,,,,,,,"en","x966443357907009536","""The reality is, if a servicemember is hurt fighting for our country, their caregiver should never work alone. It is the responsibility of our nation to get them what they need."" - Senator @PattyMurray addressing the importance of supporting our nation’s military caregivers. https://t.co/DKaT0QCleR",,,,,,,,,,,
"x966478621299920897",2018-02-22 01:03:54,"x293131808","PattyMurray","Thank you @DoleFoundation for all you do on behalf of our veterans &amp; their families - such an honor to join you &amp; celebrate the #HometownHiddenHeroes in our communities who sacrifice so much to make sure our veterans are cared for. https://t.co/nyepxN3Ei3","TweetDeck",,,,FALSE,FALSE,61,16,"HometownHiddenHeroes",,,,,"http://pbs.twimg.com/media/DWmYVaGW4AEPZf6.jpg","https://t.co/nyepxN3Ei3","https://twitter.com/PattyMurray/status/966478621299920897/photo/1","photo","http://pbs.twimg.com/media/DWmYVaGW4AEPZf6.jpg","https://t.co/nyepxN3Ei3","https://twitter.com/PattyMurray/status/966478621299920897/photo/1",,"x891532531","DoleFoundation","en",,,,,,,,,,,,,
"x966471017915920384",2018-02-22 00:33:41,"x293131808","PattyMurray","RT @DoleFoundation: “Military caregivers don’t necessarily wear a uniform or go overseas, but they serve our country nonetheless, and they…","Twitter Web Client",,,,FALSE,TRUE,0,15,,,,,,,,,,,,,,"x891532531","DoleFoundation","en",,,"x966439505564545024","“Military caregivers don’t necessarily wear a uniform or go overseas, but they serve our country nonetheless, and they rarely get the recognition they deserve. We are here to ensure they get the support that they need."" - Senator @pattymurray. #HometownHiddenHeroes",,,,,,,,,
"x966430832230617088",2018-02-21 21:54:00,"x293131808","PattyMurray","Students and families nationwide are tired of waiting for Congress to step up, have the tough conversations, and adopt common sense gun safety and other policies. We have to act now. https://t.co/M2ve91QnFY","TweetDeck",,,,FALSE,FALSE,220,63,,,"seattletimes.com/nation-world/f…","https://t.co/M2ve91QnFY","https://www.seattletimes.com/nation-world/florida-shooting-survivors-in-capital-demand-action-on-guns/",,,,,,,,,,,"en",,,,,,,,,,,,,
"x966430101264044037",2018-02-21 21:51:06,"x293131808","PattyMurray","Students and families are making their voices heard about the need for action now. I hope @BetsyDeVos listens and works with us to hold hearings on school shootings and gun safety as soon as possible. https://t.co/o8fKuwYS1c","TweetDeck",,,,TRUE,FALSE,148,42,,,"twitter.com/CBSNews/status…","https://t.co/o8fKuwYS1c","https://twitter.com/CBSNews/status/966424329784348674",,,,,,,,,"x599530439","BetsyDeVos","en","x966424329784348674","Sec. of Education Betsy DeVos: ""What happened last week shocked us. It angers us. We are here to have an honest conversation about why this tragedy and too many others before it happened, and how we can work to find solutions."" https://t.co/qLL6Kp8HYo https://t.co/uT8suANzCJ",,,,,,,,,,,
